store_id,region,week,units_sold,revenue,cost
S01,South,1,280,3500.0,2691.44
S01,South,2,150,3600.0,1999.59
S01,South,3,87,2566.5,1687.13
S01,South,4,333,9823.5,6407.73
S01,South,5,337,4212.5,2358.47
S01,South,6,290,3625.0,2154.87
S02,South,1,257,4626.0,2921.39
S02,South,2,287,5166.0,3777.94
S02,South,3,385,11357.5,8020.06
S02,South,4,80,2360.0,1511.66
S02,South,5,346,4325.0,3317.29
S02,South,6,370,8880.0,5672.67
S03,South,1,326,4075.0,3002.64
S03,South,2,246,5904.0,4688.36
S03,South,3,111,2664.0,1809.39
S03,South,4,338,8112.0,5336.13
S03,South,5,202,4848.0,3604.05
S03,South,6,276,4968.0,3736.4
S04,Central,1,326,7824.0,4889.57
S04,Central,2,168,4956.0,2927.82
S04,Central,3,273,8053.5,5122.77
S04,Central,4,382,11269.0,9004.28
S04,Central,5,343,6174.0,3990.56
S04,Central,6,286,5148.0,3771.49
S05,North,1,111,1387.5,810.77
S05,North,2,252,6048.0,3765.58
S05,North,3,219,6460.5,4266.56
S05,North,4,307,5526.0,4251.87
S05,North,5,152,4484.0,3315.02
S05,North,6,352,8448.0,5740.4
S06,North,1,281,3512.5,2658.21
S06,North,2,239,7050.5,4157.84
S06,North,3,272,4896.0,3909.53
S06,North,4,229,5496.0,3049.42
S06,North,5,189,2362.5,1769.19
S06,North,6,142,3408.0,2556.22
S07,North,1,80,1440.0,934.14
S07,North,2,150,1875.0,1461.84
S07,North,3,259,3237.5,2110.06
S07,North,4,214,2675.0,1832.82
S07,North,5,80,1920.0,1153.53
S07,North,6,222,6549.0,4660.19
S08,Central,1,161,4749.5,2949.17
S08,Central,2,390,4875.0,3088.65
S08,Central,3,268,4824.0,2899.91
S08,Central,4,207,6106.5,4835.35
S08,Central,5,372,8928.0,5487.9
S08,Central,6,317,9351.5,6988.17
S09,South,1,176,2200.0,1223.57
S09,South,2,169,4056.0,2496.74
S09,South,3,366,8784.0,5089.98
S09,South,4,269,3362.5,2496.97
S09,South,5,267,3337.5,2136.38
S09,South,6,265,3312.5,1940.48
S10,Central,1,193,4632.0,3355.04
S10,Central,2,313,7512.0,4401.4
S10,Central,3,131,1637.5,1304.88
S10,Central,4,305,5490.0,3141.25
S10,Central,5,329,5922.0,3729.66
S10,Central,6,328,7872.0,4412.31
S11,North,1,275,4950.0,2970.95
S11,North,2,369,10885.5,7462.1
S11,North,3,208,3744.0,2196.49
S11,North,4,395,9480.0,5249.86
S11,North,5,137,4041.5,3221.57
S11,North,6,245,7227.5,5475.44
S12,North,1,388,4850.0,3687.62
S12,North,2,94,2773.0,2061.14
S12,North,3,393,7074.0,4795.16
S12,North,4,332,9794.0,6186.17
S12,North,5,320,9440.0,5256.69
S12,North,6,305,8997.5,5528.78
S13,South,1,230,4140.0,3296.1
S13,South,2,224,2800.0,1859.0
S13,South,3,95,1187.5,876.61
S13,South,4,191,5634.5,4359.06
S13,South,5,256,7552.0,4893.5
S13,South,6,168,4032.0,2966.86
S14,West,1,384,11328.0,9031.88
S14,West,2,193,5693.5,3398.09
S14,West,3,128,2304.0,1715.07
S14,West,4,245,7227.5,5045.11
S14,West,5,354,6372.0,4719.26
S14,West,6,218,3924.0,3063.43
S15,South,1,192,3456.0,2438.07
S15,South,2,391,4887.5,3309.82
S15,South,3,201,4824.0,3760.4
S15,South,4,109,2616.0,2071.3
S15,South,5,122,3599.0,2528.11
S15,South,6,215,3870.0,3089.38
S16,West,1,256,4608.0,3577.28
S16,West,2,145,3480.0,2709.89
S16,West,3,92,1656.0,1046.51
S16,West,4,196,4704.0,3616.06
S16,West,5,103,2472.0,1492.99
S16,West,6,114,1425.0,796.1
S17,Central,1,87,1087.5,776.1
S17,Central,2,345,10177.5,7086.27
S17,Central,3,139,3336.0,2598.03
S17,Central,4,157,1962.5,1161.33
S17,Central,5,100,2950.0,1857.82
S17,Central,6,332,9794.0,7605.04
S18,South,1,156,4602.0,2549.43
S18,South,2,166,3984.0,3120.97
S18,South,3,201,5929.5,4329.14
S18,South,4,364,10738.0,8064.27
S18,South,5,151,1887.5,1445.92
S18,South,6,389,9336.0,6663.75
S19,South,1,320,5760.0,3618.38
S19,South,2,278,6672.0,4063.12
S19,South,3,215,6342.5,3863.42
S19,South,4,328,7872.0,4587.58
S19,South,5,276,4968.0,3600.41
S19,South,6,397,4962.5,3206.97
S20,North,1,202,4848.0,2796.63
S20,North,2,151,1887.5,1362.21
S20,North,3,136,2448.0,1450.78
S20,North,4,391,4887.5,3223.63
S20,North,5,267,3337.5,1939.04
S20,North,6,283,6792.0,3821.47
S21,Central,1,266,3325.0,1844.12
S21,Central,2,227,6696.5,5339.44
S21,Central,3,172,2150.0,1354.34
S21,Central,4,240,7080.0,4221.57
S21,Central,5,269,6456.0,3927.03
S21,Central,6,391,11534.5,6483.48
S22,Central,1,176,4224.0,2733.57
S22,Central,2,94,2773.0,2059.09
S22,Central,3,136,4012.0,2908.26
S22,Central,4,228,6726.0,4149.25
S22,Central,5,80,1920.0,1133.69
S22,Central,6,85,1530.0,1074.34
S23,North,1,346,10207.0,7080.19
S23,North,2,132,1650.0,1134.6
S23,North,3,342,10089.0,6146.84
S23,North,4,94,1175.0,779.64
S23,North,5,292,8614.0,5658.96
S23,North,6,318,9381.0,7402.11
S24,Central,1,282,3525.0,1988.37
S24,Central,2,121,2178.0,1533.67
S24,Central,3,143,3432.0,1919.66
S24,Central,4,301,8879.5,5300.56
S24,Central,5,242,4356.0,3296.44
S24,Central,6,252,6048.0,3690.61
