customer_id,segment
CU0001,SMB
CU0002,SMB
CU0003,SMB
CU0004,SMB
CU0005,SMB
CU0006,SMB
CU0007,SMB
CU0008,SMB
CU0009,SMB
CU0010,SMB
CU0011,SMB
CU0012,SMB
CU0013,SMB
CU0014,SMB
CU0015,SMB
CU0016,SMB
CU0017,SMB
CU0018,SMB
CU0019,SMB
CU0020,SMB
CU0021,SMB
CU0022,SMB
CU0023,SMB
CU0024,SMB
CU0025,SMB
CU0026,SMB
CU0027,SMB
CU0028,SMB
CU0029,SMB
CU0030,SMB
CU0031,SMB
CU0032,SMB
CU0033,SMB
CU0034,SMB
CU0035,SMB
CU0036,SMB
CU0037,SMB
CU0038,SMB
CU0039,SMB
CU0040,SMB
CU0041,SMB
CU0042,SMB
CU0043,SMB
CU0044,SMB
CU0045,SMB
CU0046,SMB
CU0047,SMB
CU0048,SMB
CU0049,SMB
CU0050,SMB
CU0051,SMB
CU0052,SMB
CU0053,SMB
CU0054,SMB
CU0055,SMB
CU0056,SMB
CU0057,SMB
CU0058,SMB
CU0059,SMB
CU0060,SMB
CU0061,SMB
CU0062,SMB
CU0063,SMB
CU0064,SMB
CU0065,SMB
CU0066,SMB
CU0067,SMB
CU0068,SMB
CU0069,SMB
CU0070,SMB
CU0071,SMB
CU0072,SMB
CU0073,SMB
CU0074,SMB
CU0075,SMB
CU0076,SMB
CU0077,SMB
CU0078,SMB
CU0079,SMB
CU0080,SMB
CU0081,SMB
CU0082,SMB
CU0083,SMB
CU0084,SMB
CU0085,SMB
CU0086,SMB
CU0087,SMB
CU0088,SMB
CU0089,SMB
CU0090,SMB
CU0091,SMB
CU0092,SMB
CU0093,SMB
CU0094,SMB
CU0095,SMB
CU0096,SMB
CU0097,SMB
CU0098,SMB
CU0099,SMB
CU0100,SMB
CU0101,SMB
CU0102,SMB
CU0103,SMB
CU0104,SMB
CU0105,SMB
CU0106,SMB
CU0107,SMB
CU0108,SMB
CU0109,SMB
CU0110,SMB
CU0111,SMB
CU0112,SMB
CU0113,SMB
CU0114,SMB
CU0115,SMB
CU0116,SMB
CU0117,SMB
CU0118,SMB
CU0119,SMB
CU0120,SMB
CU0121,SMB
CU0122,SMB
CU0123,SMB
CU0124,SMB
CU0125,SMB
CU0126,SMB
CU0127,SMB
CU0128,SMB
CU0129,SMB
CU0130,SMB
CU0131,SMB
CU0132,SMB
CU0133,SMB
CU0134,SMB
CU0135,SMB
CU0136,SMB
CU0137,SMB
CU0138,SMB
CU0139,SMB
CU0140,SMB
CU0141,SMB
CU0142,SMB
CU0143,SMB
CU0144,SMB
CU0145,SMB
CU0146,SMB
CU0147,SMB
CU0148,SMB
CU0149,SMB
CU0150,SMB
CU0151,SMB
CU0152,SMB
CU0153,SMB
CU0154,SMB
CU0155,SMB
CU0156,SMB
CU0157,SMB
CU0158,SMB
CU0159,SMB
CU0160,SMB
CU0161,SMB
CU0162,SMB
CU0163,SMB
CU0164,SMB
CU0165,SMB
CU0166,SMB
CU0167,SMB
CU0168,SMB
CU0169,SMB
CU0170,SMB
CU0171,SMB
CU0172,SMB
CU0173,SMB
CU0174,SMB
CU0175,SMB
CU0176,SMB
CU0177,SMB
CU0178,SMB
CU0179,SMB
CU0180,SMB
CU0181,Mid-Market
CU0182,Mid-Market
CU0183,Mid-Market
CU0184,Mid-Market
CU0185,Mid-Market
CU0186,Mid-Market
CU0187,Mid-Market
CU0188,Mid-Market
CU0189,Mid-Market
CU0190,Mid-Market
CU0191,Mid-Market
CU0192,Mid-Market
CU0193,Mid-Market
CU0194,Mid-Market
CU0195,Mid-Market
CU0196,Mid-Market
CU0197,Mid-Market
CU0198,Mid-Market
CU0199,Mid-Market
CU0200,Mid-Market
CU0201,Mid-Market
CU0202,Mid-Market
CU0203,Mid-Market
CU0204,Mid-Market
CU0205,Mid-Market
CU0206,Mid-Market
CU0207,Mid-Market
CU0208,Mid-Market
CU0209,Mid-Market
CU0210,Mid-Market
CU0211,Mid-Market
CU0212,Mid-Market
CU0213,Mid-Market
CU0214,Mid-Market
CU0215,Mid-Market
CU0216,Mid-Market
CU0217,Mid-Market
CU0218,Mid-Market
CU0219,Mid-Market
CU0220,Mid-Market
CU0221,Mid-Market
CU0222,Mid-Market
CU0223,Mid-Market
CU0224,Mid-Market
CU0225,Mid-Market
CU0226,Mid-Market
CU0227,Mid-Market
CU0228,Mid-Market
CU0229,Mid-Market
CU0230,Mid-Market
