renewal_id,customer_id,subscription_id,renewal_date,amount
R00022,CU0022,SUB-CORE,2026-08-17,93.22
R00243,CU0243,SUB-CORE,2026-07-24,526.53
R00124,CU0124,SUB-CORE,2026-08-26,97.78
R00186,CU0186,SUB-CORE,2026-08-11,400.37
R00014,CU0014,SUB-CORE,2026-07-04,111.78
R00302,CU0162,ADD-ANALYTICS,2026-08-24,90.13
R00273,CU0273,SUB-CORE,2026-08-27,1454.98
R00161,CU0161,SUB-CORE,2026-07-18,78.88
R00300,CU0300,SUB-CORE,2026-07-31,2182.2
R00264,CU0264,SUB-CORE,2026-07-19,403.24
R00107,CU0107,SUB-CORE,2026-07-17,99.82
R00061,CU0061,SUB-CORE,2026-07-24,113.69
R00321,CU0170,ADD-ANALYTICS,2026-08-12,77.71
R00054,CU0054,SUB-CORE,2026-07-21,92.77
R00045,CU0045,SUB-CORE,2026-08-27,99.33
R00166,CU0166,SUB-CORE,2026-09-23,135.76
R00089,CU0089,SUB-CORE,2026-08-09,113.04
R00104,CU0104,SUB-CORE,2026-09-16,103.12
R00212,CU0212,SUB-CORE,2026-08-03,323.8
R00063,CU0063,SUB-CORE,2026-09-12,81.84
R00360,CU0108,ADD-ANALYTICS,2026-09-04,73.25
R00270,CU0270,SUB-CORE,2026-07-06,606.56
R00337,CU0282,ADD-ANALYTICS,2026-07-21,83.58
R00272,CU0272,SUB-CORE,2026-07-02,1851.21
R00032,CU0032,SUB-CORE,2026-09-28,78.25
R00163,CU0163,SUB-CORE,2026-08-23,120.29
R00100,CU0100,SUB-CORE,2026-07-03,99.01
R00037,CU0037,SUB-CORE,2026-07-10,155.13
R00140,CU0140,SUB-CORE,2026-07-25,106.4
R00207,CU0207,SUB-CORE,2026-09-25,424.91
R00280,CU0280,SUB-CORE,2026-07-01,1886.07
R00099,CU0099,SUB-CORE,2026-09-18,122.35
R00258,CU0258,SUB-CORE,2026-07-01,632.14
R00340,CU0072,ADD-ANALYTICS,2026-09-18,123.41
R00072,CU0072,SUB-CORE,2026-08-26,145.76
R00110,CU0110,SUB-CORE,2026-08-17,102.08
R00058,CU0058,SUB-CORE,2026-08-06,137.67
R00160,CU0160,SUB-CORE,2026-07-10,108.61
R00173,CU0173,SUB-CORE,2026-09-02,142.85
R00277,CU0277,SUB-CORE,2026-09-15,1921.19
R00257,CU0257,SUB-CORE,2026-07-14,444.42
R00198,CU0198,SUB-CORE,2026-09-10,433.84
R00021,CU0021,SUB-CORE,2026-09-09,109.44
R00151,CU0151,SUB-CORE,2026-09-24,94.78
R00102,CU0102,SUB-CORE,2026-08-01,130.17
R00010,CU0010,SUB-CORE,2026-09-26,120.36
R00265,CU0265,SUB-CORE,2026-07-31,479.39
R00179,CU0179,SUB-CORE,2026-09-15,115.07
R00005,CU0005,SUB-CORE,2026-09-03,117.87
R00081,CU0081,SUB-CORE,2026-07-30,113.84
R00309,CU0046,ADD-ANALYTICS,2026-09-21,79.75
R00141,CU0141,SUB-CORE,2026-09-24,94.28
R00317,CU0086,ADD-ANALYTICS,2026-07-25,94.78
R00090,CU0090,SUB-CORE,2026-07-19,120.75
R00111,CU0111,SUB-CORE,2026-08-07,151.44
R00346,CU0270,ADD-ANALYTICS,2026-07-26,79.15
R00153,CU0153,SUB-CORE,2026-09-24,103.04
R00073,CU0073,SUB-CORE,2026-09-07,115.07
R00208,CU0208,SUB-CORE,2026-08-18,472.22
R00359,CU0022,ADD-ANALYTICS,2026-09-20,62.51
R00125,CU0125,SUB-CORE,2026-07-04,148.14
R00355,CU0027,ADD-ANALYTICS,2026-07-20,68.1
R00040,CU0040,SUB-CORE,2026-08-18,113.85
R00106,CU0106,SUB-CORE,2026-08-11,117.62
R00184,CU0184,SUB-CORE,2026-08-22,408.5
R00344,CU0054,ADD-ANALYTICS,2026-09-13,113.41
R00230,CU0230,SUB-CORE,2026-08-31,563.62
R00345,CU0005,ADD-ANALYTICS,2026-07-25,73.52
R00156,CU0156,SUB-CORE,2026-07-21,115.41
R00033,CU0033,SUB-CORE,2026-07-10,111.1
R00193,CU0193,SUB-CORE,2026-07-21,488.27
R00075,CU0075,SUB-CORE,2026-09-20,128.61
R00219,CU0219,SUB-CORE,2026-07-20,466.94
R00342,CU0078,ADD-ANALYTICS,2026-09-20,89.66
R00096,CU0096,SUB-CORE,2026-09-17,132.9
R00217,CU0217,SUB-CORE,2026-08-29,539.88
R00031,CU0031,SUB-CORE,2026-08-22,93.44
R00288,CU0288,SUB-CORE,2026-09-23,1639.43
R00292,CU0292,SUB-CORE,2026-07-21,1860.33
R00038,CU0038,SUB-CORE,2026-08-19,92.47
R00335,CU0092,ADD-ANALYTICS,2026-08-09,100.7
R00294,CU0294,SUB-CORE,2026-09-01,1696.22
R00039,CU0039,SUB-CORE,2026-07-03,146.54
R00256,CU0256,SUB-CORE,2026-08-31,438.41
R00157,CU0157,SUB-CORE,2026-09-03,122.25
R00274,CU0274,SUB-CORE,2026-07-25,1784.09
R00283,CU0283,SUB-CORE,2026-08-13,2145.9
R00016,CU0016,SUB-CORE,2026-07-01,125.17
R00268,CU0268,SUB-CORE,2026-09-08,469.12
R00195,CU0195,SUB-CORE,2026-08-19,368.36
R00315,CU0261,ADD-ANALYTICS,2026-08-29,96.8
R00082,CU0082,SUB-CORE,2026-09-03,139.86
R00194,CU0194,SUB-CORE,2026-07-18,518.52
R00290,CU0290,SUB-CORE,2026-09-10,1746.87
R00245,CU0245,SUB-CORE,2026-08-15,553.9
R00182,CU0182,SUB-CORE,2026-07-09,462.0
R00190,CU0190,SUB-CORE,2026-08-12,505.46
R00172,CU0172,SUB-CORE,2026-07-05,113.78
R00084,CU0084,SUB-CORE,2026-07-09,130.69
R00189,CU0189,SUB-CORE,2026-07-01,450.83
R00253,CU0253,SUB-CORE,2026-09-26,368.21
R00197,CU0197,SUB-CORE,2026-08-29,375.81
R00250,CU0250,SUB-CORE,2026-07-24,374.91
R00018,CU0018,SUB-CORE,2026-09-10,90.47
R00123,CU0123,SUB-CORE,2026-07-23,135.2
R00176,CU0176,SUB-CORE,2026-08-05,105.06
R00247,CU0247,SUB-CORE,2026-07-26,486.92
R00003,CU0003,SUB-CORE,2026-07-23,113.14
R00052,CU0052,SUB-CORE,2026-07-02,128.39
R00296,CU0296,SUB-CORE,2026-08-15,1815.07
R00266,CU0266,SUB-CORE,2026-08-20,442.3
R00024,CU0024,SUB-CORE,2026-08-23,82.65
R00079,CU0079,SUB-CORE,2026-08-19,104.03
R00128,CU0128,SUB-CORE,2026-09-04,129.3
R00091,CU0091,SUB-CORE,2026-08-24,128.12
R00144,CU0144,SUB-CORE,2026-07-02,103.38
R00168,CU0168,SUB-CORE,2026-07-02,113.67
R00325,CU0223,ADD-ANALYTICS,2026-09-30,83.76
R00200,CU0200,SUB-CORE,2026-07-29,407.8
R00221,CU0221,SUB-CORE,2026-08-10,503.53
R00097,CU0097,SUB-CORE,2026-08-26,117.47
R00055,CU0055,SUB-CORE,2026-07-29,127.32
R00324,CU0293,ADD-ANALYTICS,2026-09-10,79.43
R00201,CU0201,SUB-CORE,2026-07-29,445.03
R00070,CU0070,SUB-CORE,2026-07-26,77.19
R00133,CU0133,SUB-CORE,2026-07-06,155.03
R00289,CU0289,SUB-CORE,2026-08-17,2067.95
R00071,CU0071,SUB-CORE,2026-07-17,107.99
R00105,CU0105,SUB-CORE,2026-09-01,119.54
R00358,CU0243,ADD-ANALYTICS,2026-09-20,78.38
R00232,CU0232,SUB-CORE,2026-07-13,398.37
R00341,CU0283,ADD-ANALYTICS,2026-09-04,74.01
R00101,CU0101,SUB-CORE,2026-07-05,112.11
R00308,CU0241,ADD-ANALYTICS,2026-08-26,72.28
R00307,CU0019,ADD-ANALYTICS,2026-08-27,83.01
R00146,CU0146,SUB-CORE,2026-09-12,111.34
R00134,CU0134,SUB-CORE,2026-09-12,134.99
R00269,CU0269,SUB-CORE,2026-07-05,484.7
R00305,CU0099,ADD-ANALYTICS,2026-09-04,83.29
R00303,CU0090,ADD-ANALYTICS,2026-08-26,93.81
R00135,CU0135,SUB-CORE,2026-07-02,95.92
R00213,CU0213,SUB-CORE,2026-08-19,553.4
R00095,CU0095,SUB-CORE,2026-08-14,119.3
R00132,CU0132,SUB-CORE,2026-09-15,131.16
R00006,CU0006,SUB-CORE,2026-08-06,139.77
R00271,CU0271,SUB-CORE,2026-09-09,1928.94
R00027,CU0027,SUB-CORE,2026-07-28,123.04
R00263,CU0263,SUB-CORE,2026-09-20,517.22
R00092,CU0092,SUB-CORE,2026-09-29,128.23
R00116,CU0116,SUB-CORE,2026-09-09,68.93
R00076,CU0076,SUB-CORE,2026-09-09,124.56
R00306,CU0087,ADD-ANALYTICS,2026-08-05,79.05
R00236,CU0236,SUB-CORE,2026-07-28,511.33
R00322,CU0185,ADD-ANALYTICS,2026-09-19,81.34
R00119,CU0119,SUB-CORE,2026-09-02,128.15
R00078,CU0078,SUB-CORE,2026-09-06,123.78
R00350,CU0153,ADD-ANALYTICS,2026-08-19,84.14
R00009,CU0009,SUB-CORE,2026-09-19,130.4
R00046,CU0046,SUB-CORE,2026-08-15,101.83
R00007,CU0007,SUB-CORE,2026-07-09,123.11
R00028,CU0028,SUB-CORE,2026-08-09,104.76
R00004,CU0004,SUB-CORE,2026-07-22,126.12
R00223,CU0223,SUB-CORE,2026-07-26,407.37
R00167,CU0167,SUB-CORE,2026-08-25,140.74
R00149,CU0149,SUB-CORE,2026-07-30,122.28
R00042,CU0042,SUB-CORE,2026-07-13,112.53
R00017,CU0017,SUB-CORE,2026-09-12,94.82
R00164,CU0164,SUB-CORE,2026-08-12,156.86
R00233,CU0233,SUB-CORE,2026-09-23,361.26
R00214,CU0214,SUB-CORE,2026-07-31,420.66
R00147,CU0147,SUB-CORE,2026-09-08,129.33
R00255,CU0255,SUB-CORE,2026-08-10,442.83
R00152,CU0152,SUB-CORE,2026-07-29,158.28
R00353,CU0011,ADD-ANALYTICS,2026-07-26,108.08
R00299,CU0299,SUB-CORE,2026-09-22,1974.72
R00192,CU0192,SUB-CORE,2026-07-06,480.66
R00333,CU0187,ADD-ANALYTICS,2026-08-24,134.28
R00175,CU0175,SUB-CORE,2026-08-05,113.77
R00077,CU0077,SUB-CORE,2026-08-02,132.19
R00286,CU0286,SUB-CORE,2026-08-17,1775.87
R00234,CU0234,SUB-CORE,2026-07-04,429.34
R00351,CU0177,ADD-ANALYTICS,2026-09-25,114.99
R00051,CU0051,SUB-CORE,2026-09-07,108.98
R00094,CU0094,SUB-CORE,2026-09-11,97.19
R00169,CU0169,SUB-CORE,2026-07-06,103.51
R00295,CU0295,SUB-CORE,2026-08-05,1703.43
R00093,CU0093,SUB-CORE,2026-09-29,146.75
R00159,CU0159,SUB-CORE,2026-07-30,126.67
R00238,CU0238,SUB-CORE,2026-08-15,409.16
R00154,CU0154,SUB-CORE,2026-07-13,121.44
R00155,CU0155,SUB-CORE,2026-08-05,133.84
R00343,CU0286,ADD-ANALYTICS,2026-08-07,79.38
R00150,CU0150,SUB-CORE,2026-08-24,118.08
R00329,CU0233,ADD-ANALYTICS,2026-08-08,122.5
R00117,CU0117,SUB-CORE,2026-08-04,133.94
R00323,CU0002,ADD-ANALYTICS,2026-09-02,71.65
R00202,CU0202,SUB-CORE,2026-07-17,518.41
R00224,CU0224,SUB-CORE,2026-09-27,399.65
R00087,CU0087,SUB-CORE,2026-08-01,115.25
R00036,CU0036,SUB-CORE,2026-09-30,102.8
R00284,CU0284,SUB-CORE,2026-07-10,2194.35
R00332,CU0048,ADD-ANALYTICS,2026-07-12,87.43
R00029,CU0029,SUB-CORE,2026-09-09,105.72
R00056,CU0056,SUB-CORE,2026-07-18,144.39
R00048,CU0048,SUB-CORE,2026-09-18,139.29
R00348,CU0133,ADD-ANALYTICS,2026-08-07,79.7
R00108,CU0108,SUB-CORE,2026-08-06,139.72
R00281,CU0281,SUB-CORE,2026-09-30,1775.98
R00356,CU0199,ADD-ANALYTICS,2026-08-16,71.1
R00026,CU0026,SUB-CORE,2026-09-07,117.22
R00181,CU0181,SUB-CORE,2026-09-13,507.39
R00098,CU0098,SUB-CORE,2026-09-10,127.74
R00326,CU0273,ADD-ANALYTICS,2026-09-14,113.85
R00080,CU0080,SUB-CORE,2026-08-23,149.3
R00180,CU0180,SUB-CORE,2026-07-16,153.67
R00199,CU0199,SUB-CORE,2026-08-09,357.7
R00012,CU0012,SUB-CORE,2026-07-03,125.99
R00143,CU0143,SUB-CORE,2026-08-12,128.43
R00139,CU0139,SUB-CORE,2026-07-23,124.81
R00035,CU0035,SUB-CORE,2026-08-28,124.15
R00260,CU0260,SUB-CORE,2026-07-23,480.7
R00030,CU0030,SUB-CORE,2026-07-26,124.07
R00068,CU0068,SUB-CORE,2026-09-27,111.78
R00011,CU0011,SUB-CORE,2026-08-28,123.56
