customer_id,segment,account_age_days,treatment,order_value_post
C0309,Delta,12,0,28.06
C0014,Core,241,0,75.78
C0415,Delta,39,1,37.16
C0033,Core,305,0,97.69
C0461,Delta,2,1,18.71
C0156,Value,273,0,53.09
C0250,Value,355,0,30.34
C0218,Value,685,1,100.34
C0222,Value,184,1,84.46
C0294,Premium,584,0,126.7
C0133,Core,597,0,84.91
C0466,Delta,14,0,29.5
C0439,Delta,16,0,63.21
C0180,Value,25,0,64.1
C0498,Delta,9,1,6.48
C0391,Delta,14,0,54.0
C0483,Delta,21,1,12.34
C0473,Delta,6,1,15.17
C0417,Delta,2,1,31.04
C0303,Delta,28,0,8.28
C0139,Core,146,0,41.97
C0229,Value,188,1,76.29
C0322,Delta,21,1,45.9
C0102,Core,880,1,97.77
C0206,Value,539,1,90.12
C0378,Delta,22,0,51.72
C0119,Core,50,0,89.87
C0061,Core,794,1,72.82
C0091,Core,95,1,80.03
C0362,Delta,2,1,8.0
C0400,Delta,24,1,35.24
C0355,Delta,3,0,19.71
C0052,Core,859,0,81.24
C0354,Delta,9,0,36.31
C0244,Value,724,1,56.95
C0468,Delta,30,1,21.52
C0447,Delta,12,1,31.94
C0213,Value,635,1,71.56
C0405,Delta,2,1,2.48
C0246,Value,700,0,46.65
C0237,Value,821,1,53.99
C0356,Delta,30,1,0.0
C0083,Core,90,1,81.52
C0364,Delta,22,0,67.52
C0295,Premium,527,1,183.88
C0116,Core,829,1,92.71
C0262,Premium,882,0,163.0
C0241,Value,783,1,71.22
C0424,Delta,29,1,18.93
C0414,Delta,6,1,45.61
C0463,Delta,27,0,46.43
C0490,Delta,18,0,27.43
C0377,Delta,26,1,32.4
C0259,Premium,76,0,157.29
C0398,Delta,23,0,50.01
C0456,Delta,14,0,71.44
C0203,Value,803,1,95.0
C0268,Premium,463,1,161.88
C0189,Value,350,0,69.66
C0163,Value,544,0,45.64
C0499,Delta,28,0,19.59
C0221,Value,64,0,60.63
C0319,Delta,33,0,58.15
C0457,Delta,13,0,43.27
C0066,Core,229,0,96.96
C0260,Premium,561,1,168.27
C0437,Delta,7,1,43.26
C0351,Delta,20,1,23.24
C0361,Delta,29,1,2.07
C0471,Delta,22,0,39.82
C0296,Premium,510,1,137.45
C0031,Core,165,0,66.57
C0023,Core,606,1,117.0
C0257,Premium,837,1,159.74
C0032,Core,462,0,92.49
C0423,Delta,4,1,7.85
C0053,Core,27,0,51.61
C0477,Delta,39,0,43.94
C0243,Value,252,1,69.55
C0265,Premium,471,1,183.36
C0090,Core,198,1,89.25
C0057,Core,483,1,91.79
C0315,Delta,26,0,20.67
C0003,Core,366,1,76.75
C0059,Core,608,0,70.16
C0214,Value,223,1,81.09
C0223,Value,121,0,66.72
C0448,Delta,7,0,47.87
C0201,Value,665,1,73.78
C0075,Core,213,1,92.39
C0320,Delta,37,0,9.83
C0249,Value,607,1,76.63
C0410,Delta,31,0,34.85
C0121,Core,737,0,72.49
C0081,Core,654,1,106.05
C0236,Value,319,1,82.43
C0027,Core,835,0,90.38
C0169,Value,156,0,29.9
C0452,Delta,4,0,26.38
C0239,Value,218,1,53.99
C0343,Delta,24,1,43.0
C0360,Delta,22,1,39.82
C0110,Core,235,1,99.76
C0051,Core,345,1,87.4
C0453,Delta,23,1,25.71
C0290,Premium,528,0,152.37
C0015,Core,219,0,45.7
C0363,Delta,17,1,22.8
C0115,Core,150,0,92.94
C0369,Delta,22,1,25.66
C0004,Core,699,0,79.28
C0205,Value,576,1,69.54
C0060,Core,680,0,80.74
C0272,Premium,271,1,176.76
C0160,Value,577,1,108.1
C0407,Delta,33,0,28.78
C0099,Core,148,0,96.5
C0147,Core,307,1,98.7
C0041,Core,367,1,114.39
C0166,Value,804,1,75.8
C0042,Core,453,0,75.06
C0341,Delta,15,0,42.06
C0188,Value,334,1,31.6
C0327,Delta,19,1,10.26
C0334,Delta,6,1,21.2
C0299,Premium,753,1,150.18
C0080,Core,136,1,103.96
C0165,Value,685,0,63.87
C0029,Core,725,1,92.59
C0146,Core,481,1,95.94
C0365,Delta,18,1,21.76
C0238,Value,805,0,62.99
C0278,Premium,380,1,174.1
C0058,Core,345,0,79.85
C0454,Delta,5,0,51.41
C0063,Core,728,0,86.7
C0112,Core,527,0,71.61
C0085,Core,792,1,91.76
C0485,Delta,19,0,41.63
C0373,Delta,16,1,0.0
C0148,Core,578,1,92.12
C0345,Delta,28,1,38.97
C0130,Core,820,0,66.98
