worker_id,treated,baseline_aptitude_score,age,years_schooling,region,proficiency_score,employed_after
0,1,41.5,57,12,North,64.5,1
1,0,34.2,54,17,North,36.0,0
2,1,65.9,44,10,North,70.1,1
3,0,33.1,51,12,North,9.5,0
4,0,23.3,43,13,East,28.7,0
5,1,59.8,50,13,West,44.4,1
6,1,62.6,27,14,North,68.4,1
7,0,35.8,50,13,South,44.6,0
8,0,41.5,36,14,West,61.5,1
9,1,91.7,37,10,West,100.0,1
10,0,34.7,43,10,West,61.3,1
11,0,42.4,54,15,West,45.7,1
12,1,67.7,57,11,West,67.5,0
13,0,61.2,42,12,North,40.9,0
14,1,74.2,41,11,South,73.7,1
15,1,62.3,56,12,North,70.1,1
16,0,43.9,24,15,South,40.5,0
17,0,51.8,42,15,South,46.5,0
18,0,41.7,29,13,West,40.2,1
19,1,62.1,43,13,West,62.4,1
20,1,57.6,47,10,West,66.2,1
21,0,31.5,40,10,South,45.6,0
22,0,57.3,41,15,East,53.5,1
23,0,37.7,46,17,South,45.9,0
24,1,51.1,33,10,South,75.6,1
25,1,44.3,53,16,East,69.6,1
26,0,54.2,39,13,East,37.7,1
27,0,11.1,23,12,West,20.7,1
28,0,56.7,40,11,North,63.3,1
29,0,28.7,33,13,East,36.3,0
30,1,67.6,31,11,North,60.9,1
31,0,32.3,40,16,West,52.1,1
32,0,42.2,34,14,North,38.8,1
33,0,39.3,36,10,South,40.2,1
34,0,53.9,30,15,North,48.7,1
35,1,65.9,59,16,East,77.7,1
36,0,53.2,48,17,South,46.6,0
37,1,49.7,26,16,North,71.7,1
38,0,52.5,22,15,West,53.0,1
39,1,48.4,37,15,East,63.2,1
40,1,50.8,45,12,North,69.0,0
41,1,38.9,23,10,South,58.4,1
42,1,48.0,31,10,South,69.0,1
43,1,72.1,28,12,South,53.0,1
44,1,66.8,53,10,North,79.9,1
45,0,24.4,27,12,North,42.2,1
46,1,46.8,45,13,South,45.6,0
47,0,53.1,59,16,North,50.7,1
48,1,42.2,54,14,East,55.2,0
49,0,40.2,54,10,North,26.5,0
50,0,49.4,53,14,West,53.1,1
51,1,65.2,52,11,North,67.2,1
52,1,66.3,49,17,East,77.1,1
53,0,50.9,30,15,West,49.0,0
54,1,62.9,38,10,East,76.7,1
55,0,48.8,50,15,North,41.8,0
56,1,56.2,38,12,North,72.9,1
57,1,47.2,42,13,East,81.4,1
58,0,27.3,41,12,West,40.6,0
59,0,40.1,54,12,South,34.4,0
60,1,56.0,23,12,North,76.5,1
61,1,67.9,39,12,East,70.2,1
62,0,55.3,32,16,North,53.6,0
63,1,81.6,39,15,North,64.4,1
64,1,64.3,39,12,North,50.6,1
65,1,51.2,55,10,South,68.7,1
66,0,43.7,34,12,North,50.2,1
67,1,84.6,32,10,North,69.0,1
68,1,47.0,34,11,South,58.1,1
69,0,33.5,59,17,East,44.5,1
70,1,56.4,24,17,North,67.1,1
71,0,42.0,57,16,West,30.2,0
72,1,59.4,37,12,East,70.4,1
73,0,27.0,52,17,West,43.0,0
74,1,64.0,22,14,South,56.4,1
75,0,65.2,31,14,North,52.4,1
76,0,44.9,45,11,West,50.9,0
77,1,35.6,59,16,West,70.9,1
78,1,52.3,29,11,West,56.0,0
79,1,67.8,24,10,North,70.8,1
80,1,41.3,26,13,East,45.3,1
81,0,47.4,33,17,West,46.0,1
82,1,67.8,51,14,East,58.3,1
83,0,59.3,25,15,North,45.1,1
84,0,48.4,39,10,West,51.0,1
85,1,55.4,39,15,North,61.9,1
86,0,52.9,38,10,South,43.7,1
87,0,43.9,33,16,South,51.1,0
88,0,48.0,49,12,West,52.1,0
89,0,10.0,33,17,North,19.3,1
90,1,52.0,48,12,East,65.6,1
91,1,63.4,38,16,West,60.7,1
92,1,60.2,30,13,West,100.0,0
93,0,43.6,39,12,West,46.5,0
94,1,75.3,27,12,North,59.1,0
95,1,70.7,49,12,East,77.7,1
96,0,37.7,31,10,West,61.6,1
97,0,49.7,52,10,West,53.4,1
98,0,43.5,40,10,South,47.0,1
99,0,37.6,41,12,West,50.3,1
100,1,65.8,36,16,West,69.0,1
101,1,65.5,44,11,North,64.4,0
102,1,39.9,33,15,East,68.7,1
103,1,47.9,56,13,North,72.4,1
104,0,56.3,50,14,West,42.0,0
105,0,45.5,56,13,South,44.4,1
106,0,64.8,27,12,East,48.1,1
107,0,55.3,46,16,East,43.0,0
108,1,55.5,37,13,West,70.9,0
109,0,27.3,59,10,South,38.4,0
110,1,68.3,47,12,West,65.5,1
111,0,16.0,49,12,South,39.4,1
112,1,49.0,32,13,North,74.3,1
113,0,66.6,48,12,North,67.3,1
114,1,51.5,26,17,South,55.9,1
115,0,38.2,44,17,East,36.4,0
116,1,43.3,24,15,North,69.7,1
117,0,31.1,32,11,East,33.8,0
118,1,68.6,39,17,East,53.4,1
119,1,56.3,32,17,West,63.8,1
120,0,36.1,57,14,East,38.9,0
121,1,77.0,25,14,East,81.2,1
122,0,41.9,42,14,East,48.0,1
123,1,55.8,27,11,North,64.9,0
124,0,22.3,50,11,East,45.6,0
125,0,49.0,56,12,South,41.5,1
126,1,59.6,41,14,West,78.3,1
127,0,51.7,22,10,North,46.6,0
128,1,37.9,29,13,South,76.0,1
129,1,65.8,46,17,East,75.6,1
130,1,33.8,39,14,North,63.6,1
131,1,70.5,46,10,East,64.2,1
132,0,47.3,29,15,West,45.8,1
133,1,48.9,50,15,West,63.3,0
134,0,55.5,37,10,North,72.0,1
135,0,56.3,24,14,North,69.5,1
136,1,80.0,36,12,North,83.8,1
137,0,52.8,34,10,East,44.5,1
138,0,26.6,45,15,South,53.2,1
139,0,55.4,23,12,South,44.9,0
140,0,35.4,34,11,West,54.6,1
141,1,43.0,22,11,West,57.1,0
142,1,43.2,57,15,East,50.1,1
143,1,51.5,29,17,West,67.1,1
144,1,68.3,41,14,West,77.9,1
145,1,51.2,41,13,South,76.6,1
146,0,43.4,28,16,South,42.5,1
147,0,37.2,29,16,West,42.7,0
148,0,37.9,59,16,South,53.9,1
149,1,42.8,40,14,East,72.3,1
150,1,53.0,29,13,South,70.0,1
151,0,51.5,35,14,North,51.7,1
152,1,61.6,43,12,West,49.3,1
153,1,17.6,38,15,South,61.3,1
154,0,61.1,58,10,North,46.7,1
155,1,59.9,30,16,East,54.1,1
156,0,14.9,40,13,East,32.5,1
157,1,66.8,56,10,East,59.2,0
158,1,49.9,46,16,West,61.5,0
159,1,28.4,25,15,North,59.7,0
160,1,54.5,45,16,South,52.1,1
161,0,31.6,44,14,East,25.2,0
162,0,46.7,54,14,West,52.1,0
163,1,58.3,54,12,South,77.1,1
164,0,66.5,50,14,West,39.9,0
165,1,65.1,51,10,North,79.1,1
166,0,46.9,28,10,North,42.7,0
167,0,16.9,38,13,North,41.4,1
168,0,39.4,45,10,East,55.7,0
169,0,54.0,34,13,West,30.6,0
170,1,61.3,42,16,North,67.6,1
171,1,51.8,54,17,West,55.6,1
172,0,33.7,23,12,North,55.9,0
173,0,43.9,47,17,South,50.4,0
174,0,33.2,58,11,South,43.4,0
175,1,48.9,34,14,North,71.3,1
176,0,22.4,58,15,North,52.3,1
177,0,48.3,50,17,North,52.3,0
178,0,61.5,48,10,West,49.4,1
179,0,33.0,54,16,West,31.5,0
180,1,66.9,47,16,South,63.0,1
181,0,12.3,59,11,North,41.2,0
182,0,59.3,30,14,North,52.1,1
183,0,31.3,37,11,West,46.6,1
184,1,44.7,37,14,West,65.8,1
185,1,54.2,42,10,North,63.6,1
186,0,59.3,38,12,West,24.5,1
187,0,22.7,33,17,West,31.7,0
188,1,53.0,42,12,West,73.8,1
189,0,22.9,44,12,South,39.2,1
190,1,51.7,52,12,East,71.2,1
191,0,45.3,55,12,South,53.1,0
192,1,54.7,41,11,North,68.7,1
193,0,33.9,42,16,South,37.7,1
194,1,44.6,43,16,West,72.9,1
195,0,31.7,47,10,East,52.3,0
196,0,49.8,28,12,North,33.0,1
197,1,60.8,25,10,North,55.3,1
198,1,58.1,47,11,North,80.6,1
199,1,46.5,38,14,South,59.4,1
200,1,66.5,31,16,East,72.6,1
201,0,57.6,57,11,West,51.7,0
202,1,68.1,30,14,South,78.9,1
203,1,55.3,57,13,North,59.6,1
204,1,45.2,36,11,South,74.0,1
205,1,57.0,26,14,North,76.3,1
206,1,67.1,28,15,West,77.9,1
207,0,46.6,43,12,East,44.2,1
208,1,54.9,33,14,East,65.8,0
209,1,37.9,28,12,North,60.9,1
210,1,65.7,41,12,North,78.2,1
211,1,40.1,54,11,West,62.1,1
212,0,20.9,27,10,West,37.5,0
213,0,62.5,51,16,East,47.0,1
214,0,29.2,39,15,East,40.0,0
215,0,70.1,52,11,West,65.3,0
216,0,39.7,37,12,North,53.0,1
217,0,30.3,37,10,East,41.5,1
218,0,34.9,45,15,North,41.2,1
219,0,59.3,59,14,South,48.1,0
220,1,41.8,35,11,West,79.7,1
221,0,60.1,22,14,East,32.6,1
222,1,33.9,37,12,East,77.5,1
223,1,62.9,25,14,West,65.8,0
224,0,51.8,43,10,East,79.5,1
225,0,51.5,25,11,West,32.2,1
226,1,100.4,50,13,North,70.0,1
227,0,29.8,23,10,North,41.9,0
228,0,62.2,32,10,North,42.7,1
229,0,26.1,41,17,East,34.1,0
230,0,43.8,22,10,East,50.9,1
231,0,33.4,30,17,South,36.9,0
232,1,40.9,31,15,East,92.0,1
233,0,50.6,55,11,South,33.3,0
234,0,30.9,57,17,West,44.0,0
235,1,58.4,46,13,South,76.0,1
236,1,35.9,40,13,East,56.8,1
237,0,62.7,44,10,East,52.1,1
238,0,39.7,56,12,East,44.3,1
239,1,46.9,37,14,West,69.5,1
240,0,50.1,59,12,North,41.8,0
241,1,46.9,26,17,North,54.4,0
242,1,64.9,41,12,North,57.6,1
243,1,95.3,56,11,North,66.6,1
244,0,49.9,33,10,West,31.7,0
245,0,40.9,43,16,West,44.1,0
246,1,50.5,55,11,North,70.8,1
247,1,56.6,50,17,North,63.2,1
248,0,42.1,56,15,South,31.0,0
249,1,89.1,29,11,North,73.1,1
250,0,33.2,34,15,East,42.0,0
251,1,55.0,50,11,South,45.1,1
252,0,31.3,51,17,North,53.5,0
253,0,63.1,56,12,South,54.4,1
254,1,73.8,59,13,North,76.1,1
255,1,42.6,48,11,South,57.2,1
256,0,53.7,58,14,East,43.3,1
257,0,40.1,46,16,South,65.1,1
258,1,73.8,38,10,South,89.6,1
259,1,59.6,28,15,West,60.6,1
260,0,50.9,58,10,West,42.1,1
261,1,47.3,36,17,South,53.4,1
262,0,62.6,50,16,North,40.3,1
263,0,42.0,31,11,South,39.5,0
264,0,52.1,28,12,South,52.1,1
265,0,26.4,59,12,East,29.5,0
266,1,49.0,40,10,East,65.0,1
267,1,58.0,57,15,North,65.9,1
268,0,33.6,47,16,South,46.0,1
269,1,62.3,38,14,North,79.8,1
270,0,34.2,41,16,North,37.4,0
271,0,36.1,35,14,West,54.9,1
272,1,40.1,33,11,East,63.2,1
273,1,57.9,51,11,West,64.0,1
274,1,49.2,32,10,South,60.8,1
275,1,70.5,33,10,West,62.5,1
276,0,7.4,37,14,West,21.7,0
277,1,44.1,39,16,North,62.7,1
278,1,71.4,31,13,West,79.2,1
279,0,39.2,27,11,North,52.1,0
280,1,72.5,31,16,South,68.5,1
281,1,46.2,26,11,South,51.7,0
282,1,91.0,26,12,East,71.1,1
283,0,17.7,34,16,West,30.8,0
284,1,69.8,46,12,South,59.4,1
285,1,73.8,26,10,West,72.2,1
286,1,69.3,37,10,West,64.1,1
287,1,27.2,28,15,South,58.4,0
288,1,67.0,40,16,North,59.8,0
289,0,16.2,57,12,West,39.9,1
290,1,52.7,40,12,South,62.9,1
291,1,70.2,39,11,South,65.9,1
292,1,64.9,33,17,South,95.4,1
293,1,58.8,47,15,West,53.2,1
294,0,60.0,40,16,East,35.2,0
295,1,60.6,35,16,South,75.9,1
296,0,28.7,32,15,North,41.7,0
297,0,22.3,56,15,East,42.8,0
298,1,51.3,41,17,South,58.1,0
299,0,49.1,52,13,South,39.4,0
300,0,43.0,33,16,South,36.8,0
301,0,48.0,27,17,West,56.0,0
302,1,57.3,42,10,East,82.2,1
303,1,47.0,34,17,West,57.3,1
304,0,35.5,22,11,West,43.1,0
305,1,53.1,59,15,North,58.1,1
306,0,49.2,41,13,North,47.1,0
307,1,44.1,47,11,North,56.3,1
308,1,54.4,35,11,West,62.7,1
309,0,37.5,44,15,North,46.9,0
310,0,52.4,33,11,West,53.7,1
311,1,55.0,47,15,North,65.6,0
312,0,53.8,36,12,East,37.1,0
313,1,48.2,51,15,South,81.0,1
314,1,50.0,22,10,South,79.7,1
315,1,57.4,44,13,North,61.5,1
316,1,78.2,25,17,West,74.2,1
317,1,68.8,41,11,West,74.5,1
318,1,39.9,24,10,South,68.8,1
319,0,50.7,50,16,East,49.8,0
320,0,12.2,22,15,North,21.7,0
321,1,41.3,22,15,South,78.3,1
