transaction_id,store_id,net_sales
T00001,S11,372.72
T00002,S18,268.05
T00003,S17,180.51
T00004,S18,249.39
T00005,S03,118.28
T00006,S19,237.52
T00007,S18,132.52
T00008,S16,167.35
T00009,S21,442.18
T00010,S13,99.68
T00011,S14,311.29
T00012,S04,209.91
T00013,S14,229.14
T00014,S14,125.86
T00015,S04,429.56
T00016,S05,301.81
T00017,S22,196.52
T00018,S08,234.14
T00019,S23,367.63
T00020,S21,98.52
T00021,S01,134.99
T00022,S20,202.12
T00023,S03,271.96
T00024,S14,361.25
T00025,S16,164.32
T00026,S11,120.39
T00027,S03,242.28
T00028,S19,294.29
T00029,S04,114.18
T00030,S16,176.23
T00031,S10,450.09
T00032,S08,295.49
T00033,S23,170.94
T00034,S02,375.88
T00035,S07,118.57
T00036,S15,106.16
T00037,S14,166.25
T00038,S06,304.72
T00039,S07,210.03
T00040,S11,256.33
T00041,S02,366.89
T00042,S23,178.76
T00043,S21,272.12
T00044,S18,103.98
T00045,S10,248.43
T00046,S11,258.83
T00047,S24,446.35
T00048,S15,291.43
T00049,S02,209.79
T00050,S13,420.79
T00051,S18,157.98
T00052,S13,400.19
T00053,S16,229.99
T00054,S05,90.46
T00055,S19,223.73
T00056,S17,226.87
T00057,S07,167.75
T00058,S04,274.18
T00059,S05,314.42
T00060,S14,244.68
T00061,S04,216.46
T00062,S14,209.31
T00063,S17,279.34
T00064,S21,241.2
T00065,S03,133.44
T00066,S08,389.15
T00067,S19,166.79
T00068,S05,238.74
T00069,S02,97.31
T00070,S13,266.35
T00071,S01,159.13
T00072,S13,246.63
T00073,S06,280.07
T00074,S09,109.03
T00075,S12,317.47
T00076,S01,262.24
T00077,S21,111.99
T00078,S04,325.37
T00079,S02,280.56
T00080,S17,373.85
T00081,S03,355.52
T00082,S11,131.92
T00083,S22,222.2
T00084,S02,182.43
T00085,S09,151.63
T00086,S17,189.24
T00087,S14,203.5
T00088,S04,264.48
T00089,S17,244.65
T00090,S22,477.74
T00091,S16,417.91
T00092,S21,146.58
T00093,S08,267.12
T00094,S09,369.15
T00095,S07,222.31
T00096,S03,306.73
T00097,S01,98.85
T00098,S21,110.14
T00099,S01,188.51
T00100,S24,143.46
T00101,S10,280.09
T00102,S22,230.12
T00103,S01,191.12
T00104,S01,580.97
T00105,S23,259.98
T00106,S06,369.1
T00107,S05,229.97
T00108,S12,251.17
T00109,S18,187.07
T00110,S21,300.13
T00111,S10,338.7
T00112,S05,293.3
T00113,S09,368.05
T00114,S04,140.87
T00115,S02,155.9
T00116,S15,331.65
T00117,S13,469.45
T00118,S17,134.09
T00119,S17,330.74
T00120,S11,452.93
T00121,S01,193.11
T00122,S17,424.06
T00123,S18,226.68
T00124,S04,276.98
T00125,S12,193.35
T00126,S01,240.85
T00127,S11,174.74
T00128,S14,189.33
T00129,S19,313.38
T00130,S13,226.85
T00131,S11,243.86
T00132,S11,226.3
T00133,S09,239.3
T00134,S06,203.49
T00135,S17,414.28
T00136,S06,230.42
T00137,S14,338.58
T00138,S23,219.64
T00139,S17,145.79
T00140,S06,262.91
T00141,S24,372.05
T00142,S12,179.79
T00143,S15,290.57
T00144,S22,48.32
T00145,S06,283.83
T00146,S14,159.59
T00147,S22,168.26
T00148,S05,313.85
T00149,S19,267.32
T00150,S13,159.87
T00151,S12,212.35
T00152,S08,137.99
T00153,S14,171.54
T00154,S09,195.29
T00155,S02,346.68
T00156,S05,168.48
T00157,S10,343.98
T00158,S09,190.63
T00159,S12,190.28
T00160,S08,139.79
T00161,S02,260.83
T00162,S11,89.17
T00163,S08,220.59
T00164,S22,247.07
T00165,S01,329.91
T00166,S19,205.81
T00167,S19,200.13
T00168,S12,83.66
T00169,S16,308.22
T00170,S13,215.92
T00171,S21,128.33
T00172,S24,351.39
T00173,S24,169.09
T00174,S03,215.64
T00175,S04,468.22
T00176,S07,150.21
T00177,S03,354.64
T00178,S01,268.51
T00179,S11,398.27
T00180,S19,377.5
T00181,S14,121.68
T00182,S18,475.75
T00183,S14,285.28
T00184,S04,223.43
T00185,S13,381.05
T00186,S16,350.55
T00187,S22,389.94
T00188,S01,206.53
T00189,S22,311.49
T00190,S05,153.65
T00191,S03,264.75
T00192,S11,346.77
T00193,S09,363.44
T00194,S09,242.74
T00195,S02,257.51
T00196,S06,232.61
T00197,S24,267.75
T00198,S21,164.53
T00199,S16,517.66
T00200,S15,198.8
T00201,S12,285.12
T00202,S04,347.12
T00203,S13,203.82
T00204,S06,197.73
T00205,S12,204.77
T00206,S13,173.26
T00207,S19,226.44
T00208,S20,330.48
T00209,S01,170.95
T00210,S19,190.41
T00211,S22,595.36
T00212,S02,188.02
T00213,S18,112.61
T00214,S14,193.17
T00215,S11,115.69
T00216,S01,336.49
T00217,S10,283.34
T00218,S22,229.4
T00219,S16,211.44
T00220,S01,366.49
T00221,S05,225.87
T00222,S05,244.17
T00223,S07,315.43
T00224,S04,152.67
T00225,S06,255.76
T00226,S05,108.19
T00227,S08,285.9
T00228,S16,134.87
T00229,S10,278.39
T00230,S19,394.34
T00231,S07,138.25
T00232,S07,250.86
T00233,S18,137.32
T00234,S19,167.11
T00235,S03,170.44
T00236,S24,293.01
T00237,S12,604.81
T00238,S24,377.26
T00239,S03,267.13
T00240,S07,236.42
T00241,S23,131.47
T00242,S11,232.05
T00243,S16,376.75
T00244,S11,122.68
T00245,S23,170.19
T00246,S12,270.6
T00247,S11,701.39
T00248,S05,285.67
T00249,S13,305.51
T00250,S11,324.83
T00251,S02,251.57
T00252,S03,277.42
T00253,S22,337.47
T00254,S11,248.11
T00255,S18,324.52
T00256,S11,265.25
T00257,S16,134.22
T00258,S16,496.47
T00259,S08,187.19
T00260,S02,154.69
T00261,S16,158.17
T00262,S18,303.77
T00263,S17,304.59
T00264,S12,237.83
T00265,S21,171.74
T00266,S09,280.49
T00267,S10,339.07
T00268,S15,217.86
T00269,S23,309.07
T00270,S06,120.56
T00271,S18,123.71
T00272,S17,236.32
T00273,S10,294.03
T00274,S04,83.96
T00275,S13,445.52
T00276,S20,225.57
T00277,S18,431.1
T00278,S09,266.02
T00279,S10,331.24
T00280,S06,355.69
T00281,S20,402.72
T00282,S16,327.19
