bid_id,treated,baseline_foot_traffic,avg_rent,population,foot_traffic_change_pct
BID000,0,923.0,23.42,25138,1.48
BID001,0,1078.0,31.15,27293,-8.8
BID002,0,987.0,27.16,32482,-0.34
BID003,1,1312.0,31.73,18386,8.77
BID004,0,1093.0,34.77,5857,1.93
BID005,1,1313.0,20.89,15930,4.71
BID006,0,590.0,30.93,24221,0.07
BID007,0,996.0,21.37,22128,3.64
BID008,0,1274.0,22.93,12588,0.25
BID009,1,853.0,15.99,36489,7.42
BID010,1,1028.0,22.44,35495,9.67
BID011,0,829.0,25.34,27034,1.25
BID012,1,996.0,26.97,17204,10.86
BID013,1,572.0,22.16,28827,3.08
BID014,1,846.0,27.81,25752,6.48
BID015,0,1174.0,44.63,10301,-1.61
BID016,0,944.0,26.56,18548,-0.05
BID017,0,850.0,26.74,10905,-0.94
BID018,1,900.0,31.07,21901,13.91
BID019,1,790.0,23.38,30749,3.23
BID020,0,726.0,23.57,31622,0.35
BID021,1,1000.0,29.38,30596,12.23
BID022,0,968.0,28.77,36275,2.2
BID023,0,1055.0,28.53,36511,2.59
BID024,0,947.0,30.49,24366,0.9
BID025,0,889.0,28.98,26105,0.07
BID026,1,1162.0,26.78,28540,8.83
BID027,1,891.0,39.24,12264,7.17
BID028,0,1017.0,18.21,25688,-4.18
BID029,1,1084.0,34.43,10225,12.29
BID030,0,980.0,23.2,12665,0.31
BID031,0,1103.0,31.86,31054,-0.56
BID032,1,859.0,23.05,16216,3.76
BID033,0,787.0,27.34,17735,3.07
BID034,0,953.0,26.68,25155,-1.79
BID035,0,1042.0,23.41,18918,-1.26
BID036,0,1029.0,25.18,5830,5.09
BID037,1,1073.0,25.24,21301,6.96
BID038,1,927.0,25.85,27739,7.6
BID039,1,1184.0,33.33,8155,7.2
BID040,1,1226.0,23.74,22317,5.32
BID041,0,1035.0,24.56,6697,5.88
BID042,0,1005.0,25.98,8373,3.64
BID043,1,830.0,20.29,24512,9.68
BID044,1,1159.0,24.75,31994,5.55
BID045,0,872.0,21.98,30016,3.18
BID046,0,1346.0,37.03,18587,2.08
BID047,0,762.0,18.34,33490,7.84
BID048,0,1132.0,26.22,15423,5.56
BID049,0,968.0,30.28,13151,-5.57
BID050,0,915.0,26.73,14541,-1.4
BID051,1,925.0,30.4,25439,7.98
BID052,0,892.0,23.18,30245,-0.52
BID053,0,981.0,26.15,34276,-0.6
BID054,1,823.0,20.42,16429,9.68
BID055,1,945.0,15.79,18461,8.4
BID056,0,1213.0,28.27,5492,4.26
BID057,0,1112.0,21.45,30574,-1.68
BID058,1,990.0,21.94,12866,9.71
BID059,0,1153.0,32.48,23926,4.32
