bid_id,parking_policy_index
BID000,0.0
BID001,0.0
BID002,29.4
BID003,77.4
BID004,16.3
BID005,74.7
BID006,26.9
BID007,43.6
BID008,19.2
BID009,64.7
BID010,76.3
BID011,8.4
BID012,95.1
BID013,76.8
BID014,58.2
BID015,32.4
BID016,8.1
BID017,2.0
BID018,91.7
BID019,56.0
BID020,28.3
BID021,83.8
BID022,25.1
BID023,30.4
BID024,12.3
BID025,14.7
BID026,88.9
BID027,45.4
BID028,5.5
BID029,90.9
BID030,0.0
BID031,26.1
BID032,58.0
BID033,23.6
BID034,0.0
BID035,29.1
BID036,18.5
BID037,69.8
BID038,72.2
BID039,68.8
BID040,68.7
BID041,15.0
BID042,34.9
BID043,68.9
BID044,66.6
BID045,43.5
BID046,5.1
BID047,36.6
BID048,7.2
BID049,31.9
BID050,26.9
BID051,94.5
BID052,2.8
BID053,18.0
BID054,65.9
BID055,56.9
BID056,17.8
BID057,1.7
BID058,96.0
BID059,22.2
