order_id,customer_id,channel,revenue,is_test_account,captured_at
ORD00048,C0110,PHONE,66.92,0,2026-07-09
ORD00218,C0089,Retail,202.2,0,2026-07-19
ORD00101,C0037,retail,119.72,0,2026-07-11
ORD00038,C0090,phone,195.62,0,2026-07-14
ORD00086,C0079,call center,161.7,0,2026-07-02
ORD00103,C0110,RETAIL,138.05,0,2026-07-01
ORD00078,C0083,webb,85.7,0,2026-07-14
ORD00200,C0081,phone,84.4,0,2026-07-07
ORD00080,C0046,App,153.91,0,2026-07-14
ORD00095,C0059,mobile app,91.6,0,2026-07-01
ORD00175,C0072,call center,155.95,0,2026-07-04
ORD00064,C0111,App,307.82,0,2026-07-10
ORD00136,C0114,app,153.59,0,2026-07-07
ORD00138,C0013,call center,153.51,0,2026-07-04
ORD00028,C0019,Retail,266.12,0,2026-07-18
ORD00153,C0004,webb,191.03,0,2026-07-25
ORD00037,C0046,call center,126.29,1,2026-07-16
ORD00087,C0085,Retail,107.05,0,2026-07-11
ORD00158,C0098,mobile app,113.38,0,2026-07-06
ORD00054,C0009,phone,20.52,0,2026-07-07
ORD00210,C0076,mobile app,186.05,0,2026-07-12
ORD00000,C0024,WEB,127.38,0,2026-07-04
ORD00217,C0028,PHONE,171.96,0,2026-07-10
ORD00071,C0040,retail,315.21,0,2026-07-04
ORD00193,C0086,PHONE,110.84,0,2026-07-09
ORD00157,C0063,web,105.26,0,2026-07-02
ORD00191,C0063,phone,65.75,0,2026-07-11
ORD00011,C0051,call center,194.66,1,2026-07-08
ORD00075,C0115,store,284.0,0,2026-07-18
ORD00167,C0039,WEB,187.27,0,2026-07-10
ORD00077,C0053,Web,171.58,0,2026-07-07
ORD00100,C0020,Web,148.19,0,2026-07-01
ORD00125,C0118,Phone,161.56,0,2026-07-18
ORD00057,C0069,webb,121.54,0,2026-07-15
ORD00081,C0044,WEB,183.66,0,2026-07-11
ORD00154,C0037,WEB,247.32,0,2026-07-19
ORD00098,C0088,PHONE,154.03,0,2026-07-05
ORD00153,C0004,webb,178.09,0,2026-07-20
ORD00009,C0066,APP,141.33,0,2026-07-11
ORD00147,C0024,APP,74.76,0,2026-07-12
ORD00181,C0023,APP,150.64,0,2026-07-16
ORD00128,C0066,Phone,283.23,0,2026-07-20
ORD00139,C0003,App,207.42,0,2026-07-11
