facility_id,lat,lon
FX000,34.19104,-118.47336
FX001,34.1262,-118.41575
FX002,34.22654,-118.45436
FX003,34.14721,-118.38098
FX004,34.27163,-118.49996
FX005,34.27476,-118.31165
FX006,34.10099,-118.46327
FX007,34.11654,-118.44205
FX008,34.1706,-118.46912
FX009,34.19413,-118.35993
FX010,34.07477,-118.33946
FX011,34.26227,-118.34594
FX012,34.11682,-118.43925
FX013,34.18343,-118.44272
FX014,34.04019,-118.5143
FX015,34.05068,-118.34543
FX016,34.08966,-118.3561
FX017,34.29916,-118.34633
FX018,34.15896,-118.56445
FX019,34.18978,-118.38306
FX020,34.09348,-118.42531
FX021,34.0213,-118.49502
FX022,34.0544,-118.36464
FX023,34.12644,-118.4453
FX024,34.10305,-118.40146
FX025,33.98655,-118.39399
FX026,34.0946,-118.36629
FX027,34.00413,-118.32429
FX028,34.24541,-118.31118
FX029,34.20883,-118.3601
FX030,34.21039,-118.37697
FX031,33.94795,-118.32031
FX032,34.24139,-118.46924
FX033,34.13519,-118.35393
FX034,34.0444,-118.48008
FX035,34.07973,-118.4575
FX036,34.21905,-118.4926
FX037,34.06046,-118.54488
FX038,34.23899,-118.49208
FX039,34.0993,-118.44872
FX040,34.16596,-118.47002
FX041,34.27388,-118.46474
FX042,34.29454,-118.39224
FX043,33.98611,-118.45749
FX044,34.22147,-118.345
FX045,34.20419,-118.55008
FX046,34.04343,-118.42904
FX047,34.26562,-118.37363
FX048,34.16486,-118.42334
FX049,34.00893,-118.33171
FX050,34.24608,-118.38512
FX051,34.25179,-118.35596
FX052,34.03386,-118.30103
FX053,34.22657,-118.34805
FX054,33.90424,-118.33354
FX055,34.16784,-118.31188
FX056,34.04252,-118.499
FX057,34.21395,-118.47093
FX058,34.0993,-118.37419
FX059,34.1918,-118.32923
FX060,34.22378,-118.40578
FX061,34.1625,-118.40562
FX062,34.0957,-118.31223
FX063,34.2367,-118.32305
FX064,34.25852,-118.31388
FX065,34.26106,-118.45279
FX066,34.22992,-118.4749
FX067,34.00064,-118.31915
FX068,34.11681,-118.36288
FX069,34.02088,-118.47813
FX070,33.95256,-118.34635
FX071,34.11997,-118.47122
FX072,34.14219,-118.39628
FX073,34.14089,-118.40833
FX074,34.02147,-118.30372
