worker_id,department,education,tenure_years,last_review_date,wage
0,Engineering,graduate,1,2026-01-22,
1,Operations,highschool,4,2026-04-29,57.0
2,Support,college,1,2026-03-25,69.4
3,Support,graduate,2,2026-04-03,
4,Operations,graduate,7,2026-06-25,98.2
5,Engineering,highschool,3,2026-04-12,35.8
6,Engineering,college,14,2026-01-27,77.3
7,Sales,college,10,2026-05-01,85.1
8,Engineering,highschool,11,2026-04-16,48.6
9,Operations,college,11,2026-03-03,93.5
10,Operations,college,3,2026-05-22,69.4
11,Sales,graduate,2,2026-01-29,
12,Support,graduate,8,2026-03-10,92.6
13,Engineering,highschool,10,2026-01-25,56.9
14,Operations,college,7,2026-01-26,86.8
15,Engineering,highschool,13,2026-06-16,58.6
16,Engineering,college,6,2026-06-13,57.1
17,Sales,highschool,11,2026-05-29,37.1
18,Sales,college,6,2026-01-06,59.7
19,Sales,highschool,5,2026-04-05,57.0
20,Engineering,highschool,3,2026-05-21,41.5
21,Operations,college,5,2026-02-02,46.8
22,Operations,graduate,3,2026-01-14,73.5
23,Support,highschool,9,2026-06-14,64.1
24,Engineering,graduate,6,2026-02-28,
25,Sales,college,1,2026-03-08,78.6
26,Engineering,highschool,3,2026-01-18,23.7
27,Engineering,college,7,2026-05-30,72.4
28,Sales,graduate,10,2026-05-17,87.1
29,Engineering,graduate,3,2026-06-21,
30,Support,college,4,2026-04-11,90.2
31,Engineering,college,6,2026-03-12,77.3
32,Engineering,college,12,2026-06-05,82.2
33,Sales,highschool,12,2026-06-08,49.1
34,Support,college,2,2026-04-11,74.3
35,Engineering,highschool,5,2026-06-13,63.1
36,Support,highschool,14,2026-06-24,41.7
37,Operations,graduate,5,2026-05-29,
38,Sales,highschool,8,2026-02-03,37.3
39,Support,graduate,3,2026-02-15,
40,Operations,graduate,10,2026-05-10,91.6
41,Operations,college,14,2026-05-14,74.2
42,Operations,highschool,4,2026-04-15,33.8
43,Support,college,1,2026-05-05,55.7
44,Engineering,college,6,2026-05-05,79.1
45,Support,highschool,5,2026-05-10,28.6
46,Operations,college,12,2026-05-04,49.3
47,Engineering,highschool,3,2026-06-22,42.7
48,Support,college,5,2026-02-18,85.3
49,Support,college,11,2026-03-17,64.6
50,Sales,highschool,3,2026-03-17,28.1
51,Support,highschool,5,2026-03-01,39.7
52,Operations,college,14,2026-03-16,81.0
53,Engineering,college,9,2026-06-22,102.5
54,Support,graduate,9,2026-03-11,95.4
55,Sales,highschool,11,2026-01-02,60.1
56,Operations,college,11,2026-02-06,63.1
57,Operations,highschool,10,2026-03-02,55.8
58,Operations,highschool,14,2026-06-07,24.5
59,Engineering,college,3,2026-03-15,77.8
60,Engineering,highschool,14,2026-05-23,45.5
61,Engineering,highschool,12,2026-04-29,49.8
62,Support,college,1,2026-03-31,83.4
63,Sales,college,6,2026-02-23,87.0
64,Sales,highschool,2,2026-02-08,45.7
65,Engineering,college,14,2026-04-24,55.5
66,Engineering,highschool,7,2026-06-23,37.9
67,Operations,highschool,8,2026-06-27,46.9
68,Sales,graduate,2,2026-06-03,83.2
69,Engineering,college,5,2026-02-14,74.9
70,Engineering,college,12,2026-05-24,78.0
71,Support,graduate,2,2026-02-16,85.2
72,Operations,highschool,7,2026-05-30,43.7
