store_id,quarterly_revenue
N000,1936.92
N001,6832.6
N002,3531.03
N003,6618.57
N004,2908.98
N005,4123.96
N006,3075.86
N007,3398.25
N008,2374.74
N009,4623.81
N010,2208.03
N011,3621.66
N012,3967.9
N013,3704.83
N014,8487.43
N015,6660.17
N016,3468.41
N017,5872.51
N018,2528.98
N019,2991.59
N020,4489.34
N021,1410.66
N022,3486.76
N023,2571.92
N024,3047.72
N025,5399.65
N026,4303.74
N027,4918.12
N028,4808.35
N029,2770.19
N030,5044.68
N031,7477.29
N032,3530.68
N033,6108.56
N034,3267.64
N035,1730.12
N036,3989.03
N037,4887.9
N038,3729.41
N039,4089.09
