store_id,store_type
N000,standard
N001,standard
N002,standard
N003,express
N004,standard
N005,flagship
N006,express
N007,standard
N008,express
N009,express
N010,standard
N011,standard
N012,express
N013,flagship
N014,standard
N015,express
N016,standard
N017,express
N018,standard
N019,express
N020,standard
N021,standard
N022,standard
N023,standard
N024,standard
N025,standard
N026,flagship
N027,standard
N028,standard
N029,standard
N030,standard
N031,standard
N032,standard
N033,standard
N034,standard
N035,express
N036,flagship
N037,standard
N038,standard
N039,standard
S000,standard
S001,standard
S002,express
S003,express
S004,express
S005,flagship
S006,standard
S007,standard
S008,standard
S009,flagship
S010,standard
S011,flagship
S012,express
S013,standard
S014,standard
S015,standard
S016,standard
S017,flagship
S018,standard
S019,standard
S020,standard
S021,standard
S022,flagship
S023,flagship
S024,express
S025,standard
S026,flagship
S027,standard
S028,standard
S029,flagship
S030,express
S031,express
S032,flagship
S033,flagship
S034,standard
W-000,standard
W-001,standard
W-002,standard
W-003,standard
W-004,standard
W-005,standard
W-006,standard
W-007,express
W-008,standard
W-009,standard
W-010,express
W-011,express
W-012,standard
W-013,standard
W-014,express
W-015,express
W-016,flagship
W-017,standard
W-018,standard
W-019,standard
W-020,standard
W-021,standard
W-022,express
W-023,standard
W-024,standard
