store_id,week,units_sold
S000,1,823
S000,2,808
S000,3,787
S000,4,771
S000,5,791
S000,6,941
S000,7,948
S000,8,937
S000,9,978
S000,10,901
S001,1,840
S001,2,825
S001,3,870
S001,4,839
S001,5,827
S001,6,808
S001,7,872
S001,8,877
S001,9,815
S001,10,878
S002,1,893
S002,2,830
S002,3,873
S002,4,857
S002,5,933
S002,6,1050
S002,7,1009
S002,8,1007
S002,9,993
S002,10,1038
S003,1,734
S003,2,767
S003,3,770
S003,4,772
S003,5,746
S003,6,773
S003,7,753
S003,8,773
S003,9,760
S003,10,793
S004,1,690
S004,2,723
S004,3,727
S004,4,699
S004,5,744
S004,6,837
S004,7,887
S004,8,831
S004,9,951
S004,10,855
S005,1,814
S005,2,897
S005,3,869
S005,4,829
S005,5,808
S005,6,813
S005,7,825
S005,8,808
S005,9,862
S005,10,807
S006,1,802
S006,2,772
S006,3,787
S006,4,805
S006,5,805
S006,6,876
S006,7,944
S006,8,938
S006,9,941
S006,10,950
S007,1,803
S007,2,730
S007,3,791
S007,4,779
S007,5,778
S007,6,714
S007,7,815
S007,8,755
S007,9,755
S007,10,769
S008,1,776
S008,2,737
S008,3,774
S008,4,842
S008,5,782
S008,6,897
S008,7,915
S008,8,1989
S008,9,886
S008,10,891
S009,1,774
S009,2,771
S009,3,767
S009,4,775
S009,5,764
S009,6,739
S009,7,750
S009,8,786
S009,9,765
S009,10,752
S010,1,853
S010,2,888
S010,3,821
S010,4,910
S010,5,859
S010,6,1064
S010,7,1029
S010,8,1005
S010,9,994
S010,10,1052
S011,1,839
S011,2,815
S011,3,821
S011,4,839
S011,5,812
S011,6,853
S011,7,856
S011,8,835
S011,9,800
S011,10,830
S012,1,754
S012,2,759
S012,3,724
S012,4,772
S012,5,793
S012,6,853
S012,7,847
S012,8,870
S012,9,918
S012,10,920
S013,1,895
S013,2,885
S013,3,868
S013,4,890
S013,5,901
S013,6,886
S013,7,893
S013,8,904
S013,9,897
S013,10,892
S014,1,766
S014,2,722
S014,3,749
S014,4,765
S014,5,737
S014,6,878
S014,7,904
S014,8,825
S014,9,898
S014,10,873
S015,1,792
S015,2,760
S015,3,747
S015,4,747
S015,5,775
S015,6,734
S015,7,747
S015,8,723
S015,9,741
S015,10,799
S016,1,812
S016,2,778
S016,3,779
S016,4,722
S016,5,748
S016,6,916
S016,7,1769
S016,8,966
S016,9,883
S016,10,886
S017,1,731
S017,2,812
S017,3,791
S017,4,806
S017,5,821
S017,6,761
S017,7,744
S017,8,796
S017,9,812
S017,10,805
S018,1,825
S018,2,821
S018,3,839
S018,4,798
S018,5,799
S018,6,1005
S018,7,2206
S018,8,946
S018,9,958
S018,10,2131
S019,1,776
S019,2,774
S019,3,722
S019,4,728
S019,5,678
S019,6,716
S019,7,749
S019,8,722
S019,9,753
S019,10,689
S020,1,819
S020,2,764
S020,3,805
S020,4,779
S020,5,779
S020,6,866
S020,7,916
S020,8,891
S020,9,853
S020,10,924
S021,1,895
S021,2,881
S021,3,932
S021,4,901
S021,5,898
S021,6,845
S021,7,868
S021,8,925
S021,9,913
S021,10,908
S022,1,837
S022,2,811
S022,3,798
S022,4,816
S022,5,836
S022,6,971
S022,7,983
S022,8,931
S022,9,2222
S022,10,960
S023,1,690
S023,2,690
S023,3,664
S023,4,694
S023,5,653
S023,6,660
S023,7,675
S023,8,683
S023,9,675
S023,10,695
S024,1,792
S024,2,807
S024,3,751
S024,4,833
S024,5,860
S024,6,928
S024,7,925
S024,8,963
S024,9,938
S024,10,944
S025,1,766
S025,2,867
S025,3,854
S025,4,823
S025,5,857
S025,6,883
S025,7,823
S025,8,898
S025,9,838
S025,10,818
S026,1,777
S026,2,758
S026,3,821
S026,4,801
S026,5,769
S026,6,924
S026,7,911
S026,8,936
S026,9,934
S026,10,952
S027,1,722
S027,2,706
S027,3,736
S027,4,704
S027,5,782
S027,6,690
S027,7,718
S027,8,738
S027,9,721
S027,10,707
S028,1,843
