store_id,arm,region,day_type,launch_week,units_sold
S000,treated,South,weekend,0,556.0
S001,control,North,weekend,0,454.0
S002,treated,West,weekday,0,626.0
S003,control,South,weekend,0,481.0
S004,treated,South,weekend,0,592.0
S005,control,West,weekday,1,471.0
S006,treated,South,weekday,0,609.0
S007,control,South,weekday,0,528.0
S008,treated,West,weekend,0,598.0
S009,control,West,weekday,0,468.0
S010,treated,West,weekday,1,610.0
S011,control,North,weekend,0,496.0
S012,treated,East,weekday,0,595.0
S013,control,South,weekend,0,516.0
S014,treated,West,weekend,1,595.0
S015,control,West,weekday,0,494.0
S016,treated,South,weekend,0,515.0
S017,control,North,weekday,0,536.0
S018,treated,East,weekday,0,624.0
S019,control,South,weekend,0,431.0
S020,treated,North,weekend,0,571.0
S021,control,South,weekend,0,507.0
S022,treated,East,weekend,0,543.0
S023,control,North,weekend,0,530.0
S024,treated,East,weekday,0,555.0
S025,control,West,weekday,0,459.0
S026,treated,South,weekend,1,559.0
S027,control,East,weekday,0,471.0
S028,treated,West,weekend,0,582.0
S029,control,West,weekday,0,532.0
S030,treated,South,weekend,0,581.0
S031,control,East,weekend,0,386.0
S032,treated,West,weekday,0,636.0
S033,control,North,weekday,0,483.0
S034,treated,North,weekend,1,565.0
S035,control,South,weekend,0,520.0
S036,treated,West,weekend,0,524.0
S037,control,West,weekend,0,567.0
S038,treated,East,weekday,0,510.0
S039,control,North,weekday,0,491.0
S040,treated,South,weekend,0,607.0
S041,control,North,weekend,1,505.0
S042,treated,North,weekend,1,562.0
S043,control,East,weekday,0,526.0
S044,treated,North,weekday,0,615.0
S045,control,South,weekend,0,562.0
S046,treated,West,weekday,0,582.0
S047,control,South,weekend,1,442.0
S048,treated,South,weekday,0,577.0
S049,control,North,weekend,0,514.0
S050,treated,East,weekend,0,529.0
S051,control,South,weekend,0,526.0
S052,treated,North,weekend,0,625.0
S053,control,North,weekend,0,491.0
S054,treated,South,weekday,0,630.0
S055,control,East,weekday,0,575.0
S056,treated,West,weekend,0,628.0
S057,control,North,weekday,0,459.0
S058,treated,North,weekday,0,624.0
S059,control,East,weekend,1,503.0
S060,treated,South,weekday,0,588.0
S061,control,East,weekday,0,463.0
S062,treated,West,weekend,1,526.0
S063,control,East,weekday,0,471.0
S064,treated,West,weekend,0,570.0
S065,control,East,weekend,0,506.0
S066,treated,South,weekday,0,605.0
S067,control,South,weekday,0,473.0
S068,treated,North,weekend,0,634.0
S069,control,East,weekday,0,444.0
S070,treated,South,weekend,0,595.0
S071,control,West,weekday,0,505.0
S072,treated,East,weekday,0,569.0
S073,control,West,weekend,0,518.0
S074,treated,East,weekend,0,639.0
S075,control,East,weekend,0,491.0
S076,treated,South,weekday,0,570.0
S077,control,West,weekday,0,469.0
S078,treated,North,weekday,0,632.0
S079,control,West,weekday,1,525.0
S080,treated,East,weekday,0,606.0
S081,control,East,weekend,0,494.0
S082,treated,West,weekend,0,652.0
S083,control,North,weekday,0,500.0
