customer_id,converted
C0000,0
C0001,0
C0002,0
C0003,1
C0004,0
C0005,0
C0006,0
C0007,0
C0008,0
C0009,0
C0010,0
C0011,0
C0012,0
C0013,0
C0014,0
C0015,0
C0016,0
C0017,0
C0018,0
C0019,0
C0020,1
C0021,1
C0022,0
C0023,0
C0024,0
C0025,0
C0026,0
C0027,0
C0028,0
C0029,0
C0030,0
C0031,1
C0032,1
C0033,0
C0034,0
C0035,0
C0036,0
C0037,0
C0038,0
C0039,0
C0040,1
C0041,0
C0042,0
C0043,0
C0044,0
C0045,1
C0046,0
C0047,1
C0048,1
C0049,0
C0050,1
C0051,0
C0052,0
C0053,0
C0054,0
C0055,1
C0056,1
C0057,0
C0058,1
C0059,1
C0060,1
C0061,0
C0062,0
C0063,0
C0064,1
C0065,0
C0066,0
C0067,0
C0068,1
C0069,0
C0070,0
C0071,0
C0072,0
C0073,0
C0074,0
C0075,0
C0076,0
C0077,0
C0078,0
C0079,0
C0080,0
C0081,0
C0082,0
C0083,0
C0084,0
C0085,0
C0086,0
C0087,1
C0088,0
C0089,0
C0090,0
C0091,1
C0092,0
C0093,0
C0094,1
C0095,1
C0096,0
C0097,0
C0098,0
C0099,0
C0100,0
C0101,0
C0102,0
C0103,1
C0104,1
C0105,0
C0106,0
C0107,1
C0108,0
C0109,1
C0110,0
C0111,1
C0112,0
C0113,0
C0114,1
C0115,1
C0116,0
C0117,0
C0118,0
C0119,0
C0120,0
C0121,0
C0122,0
C0123,0
C0124,0
C0125,0
C0126,1
C0127,1
C0128,1
C0129,0
C0130,0
C0131,0
C0132,0
C0133,0
C0134,0
C0135,1
C0136,0
C0137,0
C0138,1
C0139,0
C0140,0
C0141,0
C0142,1
C0143,1
C0144,0
C0145,1
C0146,1
C0147,1
C0148,0
C0149,0
C0150,1
C0151,1
C0152,1
C0153,0
C0154,0
C0155,0
C0156,0
C0157,0
C0158,0
C0159,1
C0160,0
C0161,0
C0162,0
C0163,0
C0164,0
C0165,0
C0166,0
C0167,1
C0168,0
C0169,0
C0170,0
C0171,0
C0172,0
C0173,0
C0174,0
C0175,0
C0176,1
C0177,0
C0178,1
C0179,1
C0180,1
C0181,0
C0182,1
C0183,0
C0184,0
C0185,0
C0186,0
C0187,0
C0188,0
C0189,0
C0190,0
C0191,0
C0192,0
C0193,0
C0194,0
C0195,1
C0196,0
C0197,0
C0198,0
C0199,0
C0200,0
C0201,0
C0202,0
C0203,0
C0204,0
C0205,0
C0206,1
C0207,0
C0208,0
C0209,0
C0210,1
C0211,0
C0212,1
C0213,0
C0214,1
C0215,0
C0216,1
C0217,0
C0218,1
C0219,1
C0220,1
C0221,0
C0222,0
C0223,0
C0224,0
C0225,0
C0226,0
C0227,0
C0228,0
C0229,1
C0230,1
C0231,0
C0232,0
C0233,0
C0234,1
C0235,0
C0236,1
C0237,0
C0238,1
C0239,0
C0240,0
C0241,1
C0242,0
C0243,0
C0244,0
C0245,0
C0246,0
C0247,0
C0248,0
C0249,0
C0250,0
C0251,1
C0252,0
C0253,0
C0254,0
C0255,0
C0256,0
C0257,0
C0258,0
C0259,0
C0260,1
C0261,0
C0262,0
C0263,0
C0264,0
C0265,0
C0266,0
C0267,0
C0268,0
C0269,0
C0270,0
C0271,0
C0272,0
C0273,0
C0274,1
C0275,0
C0276,0
C0277,0
C0278,0
C0279,0
C0280,0
C0281,0
C0282,1
C0283,0
C0284,0
C0285,0
C0286,0
C0287,0
C0288,0
C0289,1
C0290,0
C0291,0
C0292,0
C0293,1
C0294,0
C0295,0
C0296,0
C0297,0
C0298,1
C0299,0
C0300,0
C0301,0
C0302,1
C0303,1
C0304,0
C0305,0
C0306,0
C0307,0
C0308,1
C0309,0
C0310,0
C0311,0
C0312,1
C0313,1
C0314,1
C0315,1
C0316,0
C0317,0
C0318,1
C0319,0
C0320,0
C0321,0
C0322,0
C0323,0
C0324,0
C0325,0
C0326,0
C0327,0
C0328,0
C0329,0
C0330,0
C0331,1
C0332,0
C0333,1
C0334,0
C0335,0
C0336,0
C0337,0
C0338,0
C0339,1
C0340,0
C0341,0
C0342,1
C0343,0
C0344,0
C0345,0
C0346,0
C0347,0
C0348,0
C0349,0
C0350,0
C0351,1
C0352,0
C0353,0
C0354,0
C0355,0
C0356,0
C0357,1
C0358,1
C0359,0
C0360,0
C0361,0
C0362,1
C0363,0
C0364,0
C0365,0
C0366,0
C0367,1
C0368,0
C0369,0
C0370,0
C0371,0
C0372,1
C0373,0
C0374,0
C0375,1
C0376,0
C0377,0
C0378,1
C0379,0
C0380,1
C0381,0
C0382,1
C0383,0
C0384,0
C0385,0
C0386,0
C0387,0
C0388,0
C0389,0
C0390,0
C0391,0
C0392,0
C0393,0
C0394,0
C0395,1
C0396,0
C0397,0
C0398,0
C0399,0
C0400,0
C0401,0
C0402,0
C0403,0
C0404,1
C0405,1
C0406,0
C0407,0
C0408,0
C0409,0
C0410,0
C0411,0
C0412,0
C0413,0
C0414,0
C0415,0
C0416,0
C0417,1
C0418,0
C0419,0
C0420,0
C0421,1
C0422,0
C0423,0
C0424,0
C0425,1
C0426,0
C0427,0
C0428,0
C0429,1
C0430,0
C0431,0
C0432,0
C0433,0
C0434,0
C0435,0
C0436,0
C0437,0
C0438,0
C0439,1
C0440,0
C0441,1
C0442,0
C0443,0
C0444,0
C0445,0
C0446,0
C0447,0
C0448,0
C0449,1
C0450,0
C0451,0
C0452,0
C0453,1
C0454,1
C0455,0
C0456,0
C0457,1
C0458,1
C0459,0
C0460,0
C0461,0
C0462,0
C0463,0
C0464,1
C0465,0
C0466,1
C0467,0
C0468,0
C0469,0
C0470,1
C0471,0
C0472,1
C0473,0
C0474,0
C0475,0
C0476,0
C0477,0
C0478,0
C0479,0
C0480,0
C0481,0
C0482,1
C0483,0
C0484,0
C0485,0
C0486,0
C0487,1
C0488,1
C0489,0
C0490,0
C0491,0
C0492,0
C0493,0
C0494,0
C0495,0
C0496,0
C0497,0
C0498,0
C0499,1
C0500,0
C0501,0
C0502,0
C0503,0
C0504,1
C0505,0
C0506,0
C0507,0
C0508,1
C0509,0
C0510,1
C0511,0
C0512,1
C0513,0
C0514,0
C0515,0
C0516,0
C0517,1
C0518,0
C0519,0
C0520,1
C0521,0
C0522,0
C0523,0
C0524,1
C0525,0
C0526,1
C0527,0
C0528,0
C0529,0
C0530,1
C0531,0
C0532,0
C0533,1
C0534,0
C0535,0
C0536,1
C0537,0
C0538,0
C0539,0
C0540,0
C0541,0
C0542,0
C0543,0
C0544,0
C0545,0
C0546,0
C0547,0
C0548,0
C0549,0
C0550,0
C0551,0
C0552,0
C0553,1
C0554,0
C0555,0
C0556,0
C0557,0
C0558,1
C0559,1
C0560,0
C0561,0
C0562,0
C0563,0
C0564,0
C0565,1
C0566,0
C0567,0
C0568,0
C0569,0
C0570,1
C0571,1
C0572,0
C0573,0
C0574,0
C0575,0
C0576,0
C0577,0
C0578,0
C0579,0
C0580,0
C0581,0
C0582,1
C0583,0
C0584,0
C0585,1
C0586,1
C0587,0
C0588,1
C0589,0
C0590,1
C0591,0
C0592,0
C0593,0
C0594,0
C0595,0
C0596,0
C0597,0
C0598,0
C0599,0
