customer_id,arm
C0000,treated
C0001,control
C0002,treated
C0003,control
C0004,treated
C0005,control
C0006,treated
C0007,control
C0008,treated
C0009,control
C0010,treated
C0011,control
C0012,treated
C0013,control
C0014,treated
C0015,control
C0016,treated
C0017,control
C0018,treated
C0019,control
C0020,treated
C0021,control
C0022,treated
C0023,control
C0024,treated
C0025,control
C0026,treated
C0027,control
C0028,treated
C0029,control
C0030,treated
C0031,control
C0032,treated
C0033,control
C0034,treated
C0035,control
C0036,treated
C0037,control
C0038,treated
C0039,control
C0040,treated
C0041,control
C0042,treated
C0043,control
C0044,treated
C0045,control
C0046,treated
C0047,control
C0048,treated
C0049,control
C0050,treated
C0051,control
C0052,treated
C0053,control
C0054,treated
C0055,control
C0056,treated
C0057,control
C0058,treated
C0059,control
C0060,treated
C0061,control
C0062,treated
C0063,control
C0064,treated
C0065,control
C0066,treated
C0067,control
C0068,treated
C0069,control
C0070,treated
C0071,control
C0072,treated
C0073,control
C0074,treated
C0075,control
C0076,treated
C0077,control
C0078,treated
C0079,control
C0080,treated
C0081,control
C0082,treated
C0083,control
C0084,treated
C0085,control
C0086,treated
C0087,control
C0088,treated
C0089,control
C0090,treated
C0091,control
C0092,treated
C0093,control
C0094,treated
C0095,control
C0096,treated
C0097,control
C0098,treated
C0099,control
C0100,treated
C0101,control
C0102,treated
C0103,control
C0104,treated
C0105,control
C0106,treated
C0107,control
C0108,treated
C0109,control
C0110,treated
C0111,control
C0112,treated
C0113,control
C0114,treated
C0115,control
C0116,treated
C0117,control
C0118,treated
C0119,control
C0120,treated
C0121,control
C0122,treated
C0123,control
C0124,treated
C0125,control
C0126,treated
C0127,control
C0128,treated
C0129,control
C0130,treated
C0131,control
C0132,treated
C0133,control
C0134,treated
C0135,control
C0136,treated
C0137,control
C0138,treated
C0139,control
C0140,treated
C0141,control
C0142,treated
C0143,control
C0144,treated
C0145,control
C0146,treated
C0147,control
C0148,treated
C0149,control
C0150,treated
C0151,control
C0152,treated
C0153,control
C0154,treated
C0155,control
C0156,treated
C0157,control
C0158,treated
C0159,control
C0160,treated
C0161,control
C0162,treated
C0163,control
C0164,treated
C0165,control
C0166,treated
C0167,control
C0168,treated
C0169,control
C0170,treated
C0171,control
C0172,treated
C0173,control
C0174,treated
C0175,control
C0176,treated
C0177,control
C0178,treated
C0179,control
C0180,treated
C0181,control
C0182,treated
C0183,control
C0184,treated
C0185,control
C0186,treated
C0187,control
C0188,treated
C0189,control
C0190,treated
C0191,control
C0192,treated
C0193,control
C0194,treated
C0195,control
C0196,treated
C0197,control
C0198,treated
C0199,control
C0200,treated
C0201,control
C0202,treated
C0203,control
C0204,treated
C0205,control
C0206,treated
C0207,control
C0208,treated
C0209,control
C0210,treated
C0211,control
C0212,treated
C0213,control
C0214,treated
C0215,control
C0216,treated
C0217,control
C0218,treated
C0219,control
C0220,treated
C0221,control
C0222,treated
C0223,control
C0224,treated
C0225,control
C0226,treated
C0227,control
C0228,treated
C0229,control
C0230,treated
C0231,control
C0232,treated
C0233,control
C0234,treated
C0235,control
C0236,treated
C0237,control
C0238,treated
C0239,control
C0240,treated
C0241,control
C0242,treated
C0243,control
C0244,treated
C0245,control
C0246,treated
C0247,control
C0248,treated
C0249,control
C0250,treated
C0251,control
C0252,treated
C0253,control
C0254,treated
C0255,control
C0256,treated
C0257,control
C0258,treated
C0259,control
C0260,treated
C0261,control
C0262,treated
C0263,control
C0264,treated
C0265,control
C0266,treated
C0267,control
C0268,treated
C0269,control
C0270,treated
C0271,control
C0272,treated
C0273,control
C0274,treated
C0275,control
C0276,treated
C0277,control
C0278,treated
C0279,control
C0280,treated
C0281,control
C0282,treated
C0283,control
C0284,treated
C0285,control
C0286,treated
C0287,control
C0288,treated
C0289,control
C0290,treated
C0291,control
C0292,treated
C0293,control
C0294,treated
C0295,control
C0296,treated
C0297,control
C0298,treated
C0299,control
C0300,treated
C0301,control
C0302,treated
C0303,control
C0304,treated
C0305,control
C0306,treated
C0307,control
C0308,treated
C0309,control
C0310,treated
C0311,control
C0312,treated
C0313,control
C0314,treated
C0315,control
C0316,treated
C0317,control
C0318,treated
C0319,control
C0320,treated
C0321,control
C0322,treated
C0323,control
C0324,treated
C0325,control
C0326,treated
C0327,control
C0328,treated
C0329,control
C0330,treated
C0331,control
C0332,treated
C0333,control
C0334,treated
C0335,control
C0336,treated
C0337,control
C0338,treated
C0339,control
C0340,treated
C0341,control
C0342,treated
C0343,control
C0344,treated
C0345,control
C0346,treated
C0347,control
C0348,treated
C0349,control
C0350,treated
C0351,control
C0352,treated
C0353,control
C0354,treated
C0355,control
C0356,treated
C0357,control
C0358,treated
C0359,control
C0360,treated
C0361,control
C0362,treated
C0363,control
C0364,treated
C0365,control
C0366,treated
C0367,control
C0368,treated
C0369,control
C0370,treated
C0371,control
C0372,treated
C0373,control
C0374,treated
C0375,control
C0376,treated
C0377,control
C0378,treated
C0379,control
C0380,treated
C0381,control
C0382,treated
C0383,control
C0384,treated
C0385,control
C0386,treated
C0387,control
C0388,treated
C0389,control
C0390,treated
C0391,control
C0392,treated
C0393,control
C0394,treated
C0395,control
C0396,treated
C0397,control
C0398,treated
C0399,control
C0400,treated
C0401,control
C0402,treated
C0403,control
C0404,treated
C0405,control
C0406,treated
C0407,control
C0408,treated
C0409,control
C0410,treated
C0411,control
C0412,treated
C0413,control
C0414,treated
C0415,control
C0416,treated
C0417,control
C0418,treated
C0419,control
C0420,treated
C0421,control
C0422,treated
C0423,control
C0424,treated
C0425,control
C0426,treated
C0427,control
C0428,treated
C0429,control
C0430,treated
C0431,control
C0432,treated
C0433,control
C0434,treated
C0435,control
C0436,treated
C0437,control
C0438,treated
C0439,control
C0440,treated
C0441,control
C0442,treated
C0443,control
C0444,treated
C0445,control
C0446,treated
C0447,control
C0448,treated
C0449,control
C0450,treated
C0451,control
C0452,treated
C0453,control
C0454,treated
C0455,control
C0456,treated
C0457,control
C0458,treated
C0459,control
C0460,treated
C0461,control
C0462,treated
C0463,control
C0464,treated
C0465,control
C0466,treated
C0467,control
C0468,treated
C0469,control
C0470,treated
C0471,control
C0472,treated
C0473,control
C0474,treated
C0475,control
C0476,treated
C0477,control
C0478,treated
C0479,control
C0480,treated
C0481,control
C0482,treated
C0483,control
C0484,treated
C0485,control
C0486,treated
C0487,control
C0488,treated
C0489,control
C0490,treated
C0491,control
C0492,treated
C0493,control
C0494,treated
C0495,control
C0496,treated
C0497,control
C0498,treated
C0499,control
C0500,treated
C0501,control
C0502,treated
C0503,control
C0504,treated
C0505,control
C0506,treated
C0507,control
C0508,treated
C0509,control
C0510,treated
C0511,control
C0512,treated
C0513,control
C0514,treated
C0515,control
C0516,treated
C0517,control
C0518,treated
C0519,control
C0520,treated
C0521,control
C0522,treated
C0523,control
C0524,treated
C0525,control
C0526,treated
C0527,control
C0528,treated
C0529,control
C0530,treated
C0531,control
C0532,treated
C0533,control
C0534,treated
C0535,control
C0536,treated
C0537,control
C0538,treated
C0539,control
C0540,treated
C0541,control
C0542,treated
C0543,control
C0544,treated
C0545,control
C0546,treated
C0547,control
C0548,treated
C0549,control
C0550,treated
C0551,control
C0552,treated
C0553,control
C0554,treated
C0555,control
C0556,treated
C0557,control
C0558,treated
C0559,control
C0560,treated
C0561,control
C0562,treated
C0563,control
C0564,treated
C0565,control
C0566,treated
C0567,control
C0568,treated
C0569,control
C0570,treated
C0571,control
C0572,treated
C0573,control
C0574,treated
C0575,control
C0576,treated
C0577,control
C0578,treated
C0579,control
C0580,treated
C0581,control
C0582,treated
C0583,control
C0584,treated
C0585,control
C0586,treated
C0587,control
C0588,treated
C0589,control
C0590,treated
C0591,control
C0592,treated
C0593,control
C0594,treated
C0595,control
C0596,treated
C0597,control
C0598,treated
C0599,control
