customer_id,region,segment
C029,North,Enterprise
C053,North,SMB
C037,West,SMB
C048,West,SMB
C014,East,SMB
C028,West,Enterprise
C025,East,Enterprise
C047,South,SMB
C039,East,Enterprise
C004,East,SMB
C019,East,SMB
C023,East,Enterprise
C024,South,SMB
C005,East,SMB
C041,West,SMB
C045,East,SMB
C035,East,SMB
C020,West,Enterprise
C010,South,SMB
C013,North,Enterprise
C007,North,Enterprise
C006,East,Enterprise
C026,West,Enterprise
C011,West,SMB
C018,West,Enterprise
C022,North,SMB
C018,West,Enterprise
C047,South,Enterprise
C012,East,Enterprise
C016,West,Enterprise
C027,South,SMB
C037,West,Enterprise
C025,East,SMB
C056,West,Enterprise
C017,West,Enterprise
C031,West,Enterprise
C034,South,Enterprise
C015,North,SMB
C056,West,SMB
C028,West,SMB
C043,North,Enterprise
C033,East,SMB
C013,North,Enterprise
C032,North,Enterprise
C023,East,SMB
C049,South,Enterprise
C008,South,SMB
C030,South,Enterprise
C004,East,Enterprise
C002,West,Enterprise
C051,East,Enterprise
C059,North,SMB
C012,East,Enterprise
C054,East,Enterprise
C021,South,SMB
C000,North,Enterprise
C003,South,SMB
C052,East,SMB
C042,North,Enterprise
C038,West,SMB
C044,South,Enterprise
C031,West,Enterprise
C036,West,SMB
C040,West,SMB
C057,West,SMB
C006,East,Enterprise
C044,South,Enterprise
C058,West,Enterprise
C009,North,SMB
C050,West,SMB
C001,North,SMB
C033,East,Enterprise
C055,West,SMB
C046,West,SMB
