order_id,customer_id,revenue
O0000,C029,335.65
O0001,C001,413.63
O0002,C001,443.25
O0003,C050,199.87
O0004,C000,286.98
O0005,C027,396.17
O0006,C025,510.34
O0007,C007,237.16
O0008,C038,815.56
O0009,C044,222.55
O0010,C059,170.57
O0011,C011,174.44
O0012,C055,577.11
O0013,C003,512.67
O0014,C008,556.42
O0015,C035,696.1
O0016,C052,521.92
O0017,C053,601.73
O0018,C044,648.16
O0019,C001,233.96
O0020,C025,954.92
O0021,C048,331.83
O0022,C031,343.67
O0023,C011,460.89
O0024,C040,485.51
O0025,C005,298.42
O0026,C041,175.42
O0027,C001,658.28
O0028,C021,434.23
O0029,C017,382.09
O0030,C056,475.36
O0031,C043,348.68
O0032,C039,585.11
O0033,C029,180.41
O0034,C017,393.26
O0035,C051,708.07
O0036,C056,351.04
O0037,C013,693.56
O0038,C014,727.25
O0039,C018,632.83
O0040,C028,651.71
O0041,C015,115.37
O0042,C024,594.94
O0043,C058,530.35
O0044,C022,898.34
O0045,C056,566.11
O0046,C030,218.76
O0047,C020,524.88
O0048,C056,593.26
O0049,C026,131.61
O0050,C046,503.38
O0051,C018,479.15
O0052,C059,557.07
O0053,C044,769.64
O0054,C052,511.05
O0055,C002,239.04
O0056,C006,892.99
O0057,C004,378.2
O0058,C031,338.35
O0059,C024,304.04
O0060,C058,167.92
O0061,C014,332.34
O0062,C010,390.54
O0063,C050,475.96
O0064,C018,537.8
O0065,C044,206.73
O0066,C017,372.39
O0067,C032,141.18
O0068,C004,554.3
O0069,C039,932.86
O0070,C054,481.33
O0071,C041,286.49
O0072,C052,431.98
O0073,C046,663.88
O0074,C034,288.01
O0075,C055,60.34
O0076,C028,268.0
O0077,C008,401.38
O0078,C033,690.54
O0079,C037,484.28
O0080,C010,522.89
O0081,C008,574.57
O0082,C039,802.84
O0083,C026,422.41
O0084,C028,322.34
O0085,C047,59.72
O0086,C041,583.42
O0087,C053,726.77
O0088,C010,531.02
O0089,C045,388.6
O0090,C032,923.2
O0091,C002,855.68
O0092,C004,103.57
O0093,C021,446.38
O0094,C038,411.7
O0095,C009,177.49
O0096,C032,345.48
O0097,C059,554.23
O0098,C008,516.88
O0099,C008,638.52
O0100,C057,325.86
O0101,C014,974.61
O0102,C052,709.51
O0103,C021,322.69
O0104,C045,468.18
O0105,C003,596.81
O0106,C037,317.01
O0107,C052,919.84
O0108,C020,548.81
O0109,C038,546.75
O0110,C012,529.2
O0111,C009,526.51
O0112,C000,531.36
O0113,C029,576.94
O0114,C031,278.6
O0115,C004,389.81
O0116,C013,430.23
O0117,C036,866.51
O0118,C021,801.0
O0119,C013,415.27
O0120,C000,378.88
O0121,C002,466.22
O0122,C038,431.08
O0123,C006,479.22
O0124,C050,208.78
O0125,C033,422.27
O0126,C015,635.29
O0127,C038,179.84
O0128,C009,300.13
O0129,C019,400.16
O0130,C029,811.12
O0131,C038,288.93
O0132,C008,175.45
O0133,C021,692.09
O0134,C005,347.18
O0135,C007,727.49
O0136,C013,343.07
O0137,C018,551.82
O0138,C054,372.54
O0139,C023,953.68
O0140,C006,397.29
O0141,C054,133.18
O0142,C034,238.52
O0143,C006,627.1
O0144,C004,396.83
O0145,C005,624.95
O0146,C054,292.88
O0147,C033,627.79
O0148,C040,691.94
O0149,C057,494.62
O0150,C024,647.03
O0151,C054,461.78
O0152,C024,211.8
O0153,C042,350.72
O0154,C049,416.15
O0155,C004,517.51
O0156,C044,728.15
O0157,C048,527.07
O0158,C058,369.89
O0159,C041,491.34
O0160,C029,210.53
O0161,C008,630.78
O0162,C046,498.31
O0163,C027,245.58
O0164,C048,526.31
O0165,C002,290.0
O0166,C020,646.06
O0167,C048,724.33
O0168,C036,414.54
O0169,C043,432.22
O0170,C035,210.36
O0171,C048,283.79
O0172,C049,153.88
O0173,C045,592.83
O0174,C039,734.85
O0175,C016,170.42
O0176,C004,342.04
O0177,C047,751.68
O0178,C021,434.4
O0179,C014,255.56
O0180,C000,266.94
O0181,C008,523.25
O0182,C002,737.22
O0183,C023,323.37
O0184,C017,197.15
O0185,C029,716.56
O0186,C034,736.68
O0187,C017,393.07
O0188,C032,359.81
O0189,C036,820.18
O0190,C040,314.09
O0191,C036,592.32
O0192,C002,476.79
O0193,C014,165.29
O0194,C047,478.58
O0195,C037,198.1
O0196,C017,260.95
O0197,C021,244.37
O0198,C055,956.18
O0199,C044,802.71
O0200,C022,229.58
O0201,C017,250.75
O0202,C007,224.67
O0203,C047,586.68
O0204,C037,645.96
O0205,C024,282.2
O0206,C041,142.63
O0207,C033,158.01
O0208,C031,143.76
O0209,C040,537.44
O0210,C045,316.83
O0211,C031,465.93
O0212,C024,597.09
O0213,C015,212.84
O0214,C018,524.17
O0215,C058,925.1
O0216,C011,255.37
O0217,C005,453.03
O0218,C037,883.77
O0219,C019,518.52
O0220,C005,807.35
O0221,C032,190.26
O0222,C044,752.81
O0223,C001,475.01
O0224,C029,399.13
O0225,C009,930.94
O0226,C034,412.56
O0227,C047,779.4
O0228,C048,432.38
O0229,C047,573.35
O0230,C017,341.81
O0231,C038,359.41
O0232,C038,416.85
O0233,C054,433.7
O0234,C041,1193.03
O0235,C045,514.29
O0236,C005,114.39
O0237,C017,219.49
O0238,C022,1272.52
O0239,C038,780.06
