customer_id,tenure_z,usage_z,churned
K00000,-0.575,1.783,0
K00001,-0.622,0.849,0
K00002,0.08,0.801,0
K00003,1.252,-0.03,0
K00004,-0.324,0.203,0
K00005,-1.102,0.732,0
K00006,-0.799,0.136,1
K00007,1.777,-1.149,1
K00008,-0.35,-0.034,0
K00009,-1.184,-0.022,0
K00010,-0.302,-1.581,1
K00011,0.298,-2.041,1
K00012,0.287,-0.161,0
K00013,1.863,-0.238,1
K00014,-0.191,-0.092,1
K00015,-1.546,0.209,1
K00016,1.509,0.487,0
K00017,0.287,1.132,1
K00018,0.3,-1.16,0
K00019,-0.679,0.442,0
K00020,-1.036,1.428,0
K00021,1.581,1.292,1
K00022,-1.518,-1.084,0
K00023,-0.62,0.343,0
K00024,-1.147,0.322,1
K00025,1.444,-0.493,1
K00026,0.322,-1.222,1
K00027,-0.708,-0.307,1
K00028,0.713,1.22,0
K00029,1.945,-0.344,1
K00030,-0.963,-0.147,1
K00031,-0.894,-0.31,0
K00032,0.4,1.139,0
K00033,0.243,0.081,1
K00034,-1.136,-1.893,0
K00035,-0.638,-2.448,1
K00036,-0.019,-0.086,0
K00037,0.864,-0.551,0
K00038,-1.487,-0.586,0
K00039,0.672,1.508,1
K00040,0.508,1.234,0
K00041,2.059,0.253,0
K00042,-2.397,0.936,0
K00043,-0.341,1.478,1
K00044,-0.394,0.11,0
K00045,1.538,-0.452,0
K00046,-1.181,-1.62,0
K00047,-0.554,0.75,1
K00048,0.265,1.54,1
K00049,0.631,-1.042,1
K00050,0.508,-0.502,1
K00051,-1.298,-0.779,0
K00052,1.995,0.636,0
K00053,-0.696,-0.312,0
K00054,0.462,1.337,0
K00055,0.994,-1.284,1
K00056,-0.356,2.736,0
K00057,0.563,1.473,0
K00058,-1.539,-0.345,0
K00059,-0.122,-0.864,1
K00060,-0.547,-1.118,0
K00061,-1.581,0.325,0
K00062,-0.71,0.05,0
K00063,-1.068,-0.338,1
K00064,0.979,-0.401,0
K00065,-0.86,-0.08,0
K00066,-1.621,-0.218,0
K00067,-0.228,-0.585,1
K00068,-0.373,1.203,1
K00069,2.686,1.35,1
K00070,1.865,-0.171,1
K00071,0.173,0.555,1
K00072,-0.834,-0.562,1
K00073,2.397,0.677,1
K00074,0.291,-1.871,1
K00075,-1.812,0.251,0
K00076,0.411,0.44,1
K00077,-1.824,0.032,0
K00078,1.303,-0.513,1
K00079,0.42,0.224,1
K00080,-1.242,0.028,1
K00081,-0.675,1.64,0
K00082,-2.364,-1.261,0
K00083,1.808,-1.817,1
K00084,0.062,0.296,0
K00085,0.681,0.18,1
K00086,1.365,-0.218,0
K00087,-0.472,-0.353,0
K00088,-0.65,1.166,0
K00089,-0.555,1.83,0
K00090,0.288,-0.437,1
K00091,-0.944,1.505,1
K00092,-0.422,0.642,0
K00093,0.26,0.907,1
K00094,0.113,0.029,1
K00095,-0.656,0.041,1
K00096,-1.221,1.487,0
K00097,-0.654,-0.71,1
K00098,0.657,0.205,1
K00099,1.404,0.77,1
K00100,1.207,-0.546,0
K00101,-0.336,-0.789,1
K00102,0.67,-0.573,1
K00103,0.393,1.157,1
K00104,1.599,0.189,0
K00105,-0.871,-0.334,1
K00106,1.272,-0.762,1
K00107,0.411,0.662,0
K00108,-0.167,-0.003,0
K00109,2.683,-0.018,1
K00110,1.993,-0.938,0
K00111,-1.686,-0.326,1
K00112,0.14,-0.793,1
K00113,0.807,0.802,1
K00114,1.217,0.012,1
K00115,-1.31,-1.527,1
K00116,0.484,0.531,0
K00117,0.25,-0.327,1
K00118,-0.841,2.324,0
K00119,0.867,-0.135,1
K00120,-0.572,0.427,0
K00121,-0.046,-0.307,0
K00122,-1.064,-0.369,1
K00123,0.502,-0.002,1
K00124,0.541,0.132,1
K00125,-0.348,0.542,1
K00126,-0.934,2.01,0
K00127,0.002,0.723,0
K00128,0.276,1.098,0
K00129,0.188,-1.806,1
K00130,-0.276,1.888,0
K00131,1.102,-2.242,0
K00132,-0.378,0.576,0
K00133,0.069,1.028,1
K00134,1.704,0.142,1
K00135,-0.927,-1.009,1
K00136,0.037,2.654,0
K00137,0.313,1.038,0
K00138,-0.83,0.191,0
K00139,-1.513,2.004,0
K00140,-1.068,2.717,0
K00141,-2.342,-0.773,1
K00142,-0.007,0.413,0
K00143,-0.091,-2.053,1
K00144,0.761,-1.005,1
K00145,2.056,0.137,1
K00146,0.184,1.64,0
K00147,0.214,0.805,1
K00148,0.532,3.17,0
K00149,-0.546,0.719,1
K00150,-1.674,-2.15,0
K00151,-0.842,-0.672,1
