county_id,adopt_month
C000,17
C002,17
C003,17
C004,17
C005,9
C006,17
C008,13
C009,17
C011,17
C012,17
C013,13
C014,9
C015,13
C016,9
C017,9
C020,9
C025,17
C028,17
C029,17
C030,13
C031,9
C033,17
C034,9
C035,13
C036,17
C038,9
C041,9
C043,9
C044,13
C046,9
C047,9
C048,13
C049,17
C050,9
C051,13
C053,17
C054,9
C055,13
C056,17
C058,17
C060,13
C061,13
C062,13
C065,17
C067,9
C069,9
C075,17
C076,13
C077,9
C079,17
C084,13
C087,17
C089,9
C090,13
C091,17
C092,9
C095,17
C096,13
C097,13
C099,9
C100,13
C101,17
C102,17
C105,17
C108,9
C109,13
C110,9
C112,9
C113,17
C117,17
C118,9
C119,17
