worker_id,education,wage
0,graduate,91.5
1,college,75.3
2,highschool,50.4
3,graduate,92.1
4,graduate,69.2
5,highschool,51.8
6,college,41.6
7,college,67.4
8,highschool,44.6
9,college,79.1
10,college,76.8
11,graduate,65.4
12,highschool,36.2
13,college,60.2
14,college,72.6
15,graduate,
16,graduate,72.6
17,highschool,41.6
18,college,65.6
19,highschool,43.8
20,highschool,65.6
21,college,66.6
22,college,81.0
23,highschool,63.0
24,graduate,
25,highschool,52.1
26,graduate,
27,graduate,
28,highschool,52.5
29,highschool,52.8
30,graduate,
31,highschool,58.7
32,college,61.5
33,graduate,
34,highschool,43.6
35,college,57.1
36,highschool,41.1
37,college,66.5
38,graduate,95.7
39,highschool,49.7
40,highschool,57.1
41,highschool,60.0
42,graduate,87.8
43,college,81.4
44,graduate,
45,college,96.9
46,graduate,77.5
47,highschool,44.7
48,graduate,
49,highschool,46.2
50,college,49.9
51,graduate,
52,college,89.0
53,highschool,43.1
54,highschool,46.6
55,graduate,
56,highschool,57.9
57,college,72.2
58,highschool,44.2
59,highschool,50.3
60,graduate,65.3
61,graduate,88.4
62,highschool,36.1
63,graduate,
64,highschool,49.6
65,college,39.1
66,college,51.4
67,highschool,44.3
68,graduate,
69,college,57.1
70,graduate,90.4
71,college,60.0
72,college,69.5
73,highschool,50.4
74,college,59.3
75,college,76.7
76,highschool,44.4
77,highschool,55.7
78,college,54.1
79,college,86.8
80,college,69.8
81,graduate,
82,college,79.0
83,college,74.4
84,highschool,60.5
85,college,60.3
86,graduate,54.4
87,college,62.8
88,college,87.4
89,college,84.3
90,highschool,49.6
91,graduate,
92,college,58.7
93,highschool,47.5
94,college,75.7
95,highschool,42.7
96,highschool,47.2
97,college,78.9
98,college,51.1
99,graduate,78.1
100,graduate,95.7
101,college,71.5
102,highschool,55.5
103,graduate,85.4
104,college,81.9
105,college,57.0
106,highschool,51.6
107,highschool,41.5
108,college,77.1
109,college,68.8
110,highschool,39.8
111,college,67.2
112,graduate,
113,college,74.0
114,college,42.4
115,college,83.2
116,highschool,38.9
117,college,67.8
118,college,66.3
119,highschool,50.0
120,highschool,49.5
121,graduate,
122,graduate,87.2
123,highschool,58.7
124,graduate,
125,highschool,60.0
126,college,59.5
127,highschool,55.8
128,highschool,39.0
129,college,67.0
130,highschool,49.4
131,college,73.6
132,highschool,56.3
133,college,100.3
134,graduate,
135,college,79.8
136,college,69.8
137,college,60.1
138,graduate,
139,highschool,35.5
140,college,61.4
141,college,62.4
142,college,55.1
143,graduate,
144,college,85.1
145,highschool,52.3
146,highschool,47.5
147,highschool,46.8
148,highschool,37.0
149,graduate,96.1
150,college,79.3
151,college,58.8
152,graduate,
153,graduate,
