year,enrollment_rate,n_districts,source
2009,44.96,199,State Education Agency annual file
2010,48.29,217,State Education Agency annual file
2011,49.47,191,State Education Agency annual file
2012,51.19,232,State Education Agency annual file
2013,53.38,182,State Education Agency annual file
2014,55.38,195,State Education Agency annual file
2015,57.52,184,State Education Agency annual file
2016,60.3,198,State Education Agency annual file
2017,63.1,182,State Education Agency annual file
2018,66.4,186,State Education Agency annual file
2019,70.19,214,State Education Agency annual file
2020,73.64,191,State Education Agency annual file
2021,76.83,228,State Education Agency annual file
2022,79.92,237,State Education Agency annual file
2023,83.73,229,State Education Agency annual file
2024,88.06,183,State Education Agency annual file
