week,price,promo_flag,units_sold
1,12.93,0,5
2,14.08,0,5
3,9.56,0,5
4,12.11,0,5
5,13.91,0,5
6,12.92,0,5
7,11.8,0,5
8,13.34,0,5
9,10.78,1,6
10,11.43,0,5
11,14.23,0,6
12,14.19,0,5
13,12.9,1,5
14,17.36,1,6
15,11.7,0,4
16,13.75,0,5
17,16.47,0,4
18,17.68,0,4
19,14.93,0,4
20,12.28,0,5
21,13.92,0,4
22,13.0,0,4
23,14.92,0,4
24,15.76,0,4
25,14.16,0,4
26,14.37,0,4
27,13.79,0,4
28,14.64,1,6
29,12.5,0,4
30,10.91,0,5
31,16.25,0,4
32,14.74,0,5
33,13.93,0,4
34,14.5,0,5
35,19.38,0,3
36,14.71,0,5
37,12.84,0,5
38,14.09,1,6
39,14.7,1,5
40,17.17,0,4
41,19.36,0,4
42,12.2,0,5
43,11.23,0,5
44,10.78,0,4
45,16.62,1,6
46,8.46,0,5
47,19.6,1,4
48,9.22,0,5
49,14.08,0,5
50,14.15,0,5
51,16.87,0,4
52,14.16,0,5
53,10.1,0,5
54,14.57,0,5
55,9.09,0,5
56,13.48,0,4
57,11.38,0,5
58,11.17,0,5
59,10.46,0,5
60,16.54,0,4
61,12.93,0,5
62,9.2,0,6
63,10.19,0,5
64,15.38,0,4
65,15.41,0,5
66,11.75,0,5
67,12.45,0,5
68,11.94,0,5
69,15.63,0,4
70,15.71,0,4
71,16.73,0,5
72,13.7,0,5
73,13.84,0,5
74,10.83,0,5
75,17.56,0,4
76,10.15,0,6
77,15.65,0,4
78,9.3,0,5
79,11.51,1,6
80,12.76,0,4
81,13.44,0,5
82,13.47,0,4
83,11.18,0,5
84,14.45,0,4
85,18.99,1,5
86,11.46,0,5
87,12.05,0,5
88,11.8,0,5
89,15.28,0,6
90,15.02,0,5
91,11.09,0,5
92,15.64,0,4
93,15.7,0,4
94,12.56,0,5
95,18.69,0,4
96,12.9,0,5
97,17.01,0,4
98,13.84,1,5
99,16.19,0,4
100,10.99,0,5
101,11.52,0,4
102,15.22,0,4
103,12.8,1,6
104,10.98,0,5
105,16.55,0,4
106,14.19,0,4
107,14.07,0,5
108,9.45,0,6
109,11.24,0,6
110,11.05,0,6
111,16.9,1,5
112,16.76,0,4
113,12.46,0,4
114,9.06,0,6
115,12.79,0,4
116,15.83,0,4
117,10.23,0,5
118,12.57,0,5
119,11.29,0,4
120,14.14,0,4
121,12.7,0,4
122,10.0,0,6
123,18.17,0,4
124,14.33,0,5
125,20.43,0,3
126,15.56,0,4
127,13.01,0,5
128,11.63,0,5
129,19.55,0,4
130,20.79,0,4
131,8.3,0,5
132,10.89,0,5
133,9.93,0,6
134,10.46,0,6
135,16.14,0,4
136,12.22,1,6
137,14.3,0,5
138,12.48,1,5
139,16.1,0,4
140,17.7,1,5
141,14.3,0,4
142,11.04,0,5
143,16.36,0,4
144,11.39,1,7
145,12.75,0,5
146,16.19,0,4
147,13.47,0,5
148,12.24,0,5
149,18.05,0,4
150,13.69,0,4
151,15.47,0,4
152,11.71,0,5
153,17.96,0,4
154,11.84,1,5
155,10.96,0,5
156,12.99,0,5
157,15.74,0,5
158,13.81,0,5
159,18.74,0,5
160,12.32,0,5
