bid_id,quarter,avg_weekly_foot_traffic_index
BID001,2025-Q3,97.17
BID001,2025-Q4,98.0
BID001,2026-Q1,104.98
BID001,2026-Q2,107.91
BID002,2025-Q3,111.08
BID002,2025-Q4,118.65
BID002,2026-Q1,116.82
BID002,2026-Q2,122.36
BID003,2025-Q3,103.76
BID003,2025-Q4,101.89
BID003,2026-Q1,109.33
BID003,2026-Q2,113.25
BID004,2025-Q3,110.71
BID004,2025-Q4,113.1
BID004,2026-Q1,113.82
BID004,2026-Q2,114.8
BID005,2025-Q3,104.29
BID005,2025-Q4,106.74
BID005,2026-Q1,113.54
BID005,2026-Q2,112.43
BID006,2025-Q3,107.13
BID006,2025-Q4,113.54
BID006,2026-Q1,117.35
BID006,2026-Q2,112.61
BID007,2025-Q3,122.52
BID007,2025-Q4,123.5
BID007,2026-Q1,116.88
BID007,2026-Q2,124.74
BID008,2025-Q3,91.34
BID008,2025-Q4,90.86
BID008,2026-Q1,90.11
BID008,2026-Q2,95.05
BID009,2025-Q3,100.24
BID009,2025-Q4,101.82
BID009,2026-Q1,106.78
BID009,2026-Q2,107.63
BID010,2025-Q3,101.47
BID010,2025-Q4,105.3
BID010,2026-Q1,106.26
BID010,2026-Q2,104.68
BID011,2025-Q3,102.71
BID011,2025-Q4,103.9
BID011,2026-Q1,102.69
BID011,2026-Q2,107.84
BID012,2025-Q3,87.46
BID012,2025-Q4,87.25
BID012,2026-Q1,93.03
BID012,2026-Q2,92.04
BID013,2025-Q3,100.38
BID013,2025-Q4,100.57
BID013,2026-Q1,100.87
BID013,2026-Q2,104.63
BID014,2025-Q3,88.81
BID014,2025-Q4,90.39
BID014,2026-Q1,95.32
BID014,2026-Q2,95.45
BID015,2025-Q3,90.75
BID015,2025-Q4,91.17
BID015,2026-Q1,95.76
BID015,2026-Q2,95.43
BID016,2025-Q3,98.2
BID016,2025-Q4,96.15
BID016,2026-Q1,102.03
BID016,2026-Q2,106.62
BID017,2025-Q3,95.29
BID017,2025-Q4,94.06
BID017,2026-Q1,98.88
BID017,2026-Q2,98.47
BID018,2025-Q3,105.93
BID018,2025-Q4,112.64
BID018,2026-Q1,114.22
BID018,2026-Q2,116.99
BID019,2025-Q3,105.76
BID019,2025-Q4,104.78
BID019,2026-Q1,111.03
BID019,2026-Q2,112.58
BID020,2025-Q3,101.39
BID020,2025-Q4,104.26
BID020,2026-Q1,110.56
BID020,2026-Q2,110.71
BID021,2025-Q3,96.94
BID021,2025-Q4,99.06
BID021,2026-Q1,99.73
BID021,2026-Q2,102.77
BID022,2025-Q3,88.46
BID022,2025-Q4,89.86
BID022,2026-Q1,90.21
BID022,2026-Q2,90.5
BID023,2025-Q3,93.21
BID023,2025-Q4,96.47
BID023,2026-Q1,90.54
BID023,2026-Q2,94.71
BID024,2025-Q3,92.49
BID024,2025-Q4,91.17
BID024,2026-Q1,94.83
BID024,2026-Q2,89.84
BID025,2025-Q3,105.87
BID025,2025-Q4,108.74
BID025,2026-Q1,107.63
BID025,2026-Q2,119.46
BID026,2025-Q3,94.05
BID026,2025-Q4,96.5
BID026,2026-Q1,90.89
BID026,2026-Q2,94.63
BID027,2025-Q3,104.98
BID027,2025-Q4,110.09
BID027,2026-Q1,108.94
BID027,2026-Q2,111.29
BID028,2025-Q3,92.09
BID028,2025-Q4,91.51
BID028,2026-Q1,99.0
BID028,2026-Q2,101.46
BID029,2025-Q3,111.75
BID029,2025-Q4,110.1
BID029,2026-Q1,105.7
BID029,2026-Q2,113.33
BID030,2025-Q3,97.27
BID030,2025-Q4,100.56
BID030,2026-Q1,103.17
BID030,2026-Q2,104.34
BID031,2025-Q3,110.67
BID031,2025-Q4,110.95
BID031,2026-Q1,109.25
BID031,2026-Q2,108.55
BID032,2025-Q3,95.78
BID032,2025-Q4,106.11
BID032,2026-Q1,100.07
BID032,2026-Q2,102.49
BID033,2025-Q3,93.58
BID033,2025-Q4,97.6
BID033,2026-Q1,95.96
BID033,2026-Q2,101.14
BID034,2025-Q3,104.2
BID034,2025-Q4,105.41
BID034,2026-Q1,103.68
BID034,2026-Q2,108.09
BID035,2025-Q3,90.69
BID035,2025-Q4,95.95
BID035,2026-Q1,91.35
BID035,2026-Q2,96.91
BID036,2025-Q3,103.65
BID036,2025-Q4,105.18
BID036,2026-Q1,103.78
BID036,2026-Q2,107.43
BID037,2025-Q3,98.28
BID037,2025-Q4,103.05
BID037,2026-Q1,109.0
BID037,2026-Q2,104.92
BID038,2025-Q3,93.35
BID038,2025-Q4,95.42
BID038,2026-Q1,95.6
BID038,2026-Q2,98.06
BID039,2025-Q3,100.78
BID039,2025-Q4,100.74
BID039,2026-Q1,109.37
BID039,2026-Q2,105.55
BID040,2025-Q3,104.23
BID040,2025-Q4,103.96
BID040,2026-Q1,105.58
BID040,2026-Q2,102.8
