bid_id,pilot_enrolled,baseline_foot_traffic_index,avg_commercial_rent_per_sqft,resident_population,permit_readiness_score
BID003,1,103.77,46.31,41180,39.4
BID037,0,102.96,32.42,17525,9.0
BID036,0,104.01,40.67,35004,19.1
BID023,0,94.5,42.01,20259,2.8
BID009,0,105.35,39.62,28857,10.8
BID015,1,93.41,36.23,20256,41.6
BID026,0,95.49,29.09,6998,27.7
BID003,1,103.77,46.31,29649,39.4
BID031,1,109.51,28.31,15891,51.2
BID016,1,101.59,40.2,9104,42.5
BID032,1,98.81,35.8,35463,47.8
BID010,0,105.01,39.51,24736,15.9
BID030,0,101.43,30.07,26288,10.3
BID023,0,94.5,42.01,14586,2.8
BID038,1,93.73,44.18,18234,54.8
BID024,0,95.44,33.42,48099,11.5
BID016,1,101.59,40.2,12645,42.5
BID001,1,99.39,34.67,39882,53.3
BID020,1,104.88,36.23,18921,39.2
BID040,0,105.58,34.0,36303,7.8
BID012,1,91.16,40.33,45835,38.0
BID007,0,121.23,40.11,21740,19.3
BID004,0,113.39,43.46,17592,5.1
BID027,1,108.26,50.92,31698,53.4
BID028,1,95.53,34.03,13180,44.3
BID039,1,102.12,39.55,32956,48.3
BID020,1,104.88,36.23,13623,39.2
BID021,1,101.55,48.14,51450,41.4
BID001,1,99.39,34.67,28715,53.3
BID022,0,89.7,23.84,48862,14.1
BID006,1,111.96,50.06,16827,49.5
BID011,0,102.83,43.96,39582,23.7
BID002,0,118.12,36.34,26072,2.9
BID005,1,108.69,34.41,15070,36.9
BID035,1,96.99,42.61,31218,30.8
BID005,1,108.69,34.41,20931,36.9
BID033,0,96.85,40.26,37256,13.7
BID029,0,111.03,34.82,43166,15.5
BID025,1,108.44,43.16,54765,45.8
BID019,1,108.49,32.06,9855,26.3
BID008,0,92.64,40.04,14973,4.7
BID034,0,103.43,48.17,54653,16.0
BID013,0,101.37,44.71,30234,18.5
BID014,1,92.57,41.33,26323,40.7
BID018,1,110.25,26.45,50081,43.6
BID028,1,95.53,34.03,18306,44.3
BID017,0,97.24,42.07,21448,13.3
BID026,0,95.49,29.09,9720,27.7
