customer_id,region,arm,repeat_purchase_90d
C0320,Southeast,control,1
C1042,West,control,0
C0799,Southwest,control,0
C0580,Midwest,control,0
C0415,Southeast,treatment,1
C0495,Southeast,treatment,0
C0619,Midwest,control,0
C1362,Pacific-NW,control,1
C1261,West,treatment,0
C0531,Midwest,control,1
C0413,Southeast,treatment,1
C0882,Southwest,control,0
C0530,Midwest,control,0
C0936,Southwest,treatment,0
C0055,Northeast,control,0
C1287,West,treatment,0
C1124,West,control,1
C0114,Northeast,control,0
C1271,West,treatment,0
C1493,Pacific-NW,treatment,0
C0642,Midwest,control,0
C0228,Northeast,treatment,0
C0343,Southeast,control,0
C0667,Midwest,treatment,0
C0054,Northeast,control,0
C1518,Pacific-NW,treatment,0
C1046,West,control,0
C1098,West,control,1
C1085,West,control,0
C0439,Southeast,treatment,0
C1488,Pacific-NW,treatment,0
C0035,Northeast,control,0
C1560,Pacific-NW,treatment,0
C0020,Northeast,control,0
C0912,Southwest,treatment,0
C1485,Pacific-NW,treatment,0
C1357,Pacific-NW,control,0
C0645,Midwest,control,1
C0730,Midwest,treatment,0
C0010,Northeast,control,1
C0433,Southeast,treatment,0
C1045,West,control,0
C0108,Northeast,control,1
C1229,West,treatment,0
C0250,Northeast,treatment,1
C0426,Southeast,treatment,0
C0019,Northeast,control,0
C0539,Midwest,control,0
C0905,Southwest,control,0
C1529,Pacific-NW,treatment,0
C0987,Southwest,treatment,0
C0878,Southwest,control,1
C0884,Southwest,control,1
C0714,Midwest,treatment,0
C0983,Southwest,treatment,1
C0894,Southwest,control,0
C1175,West,treatment,1
C0162,Northeast,treatment,0
C0067,Northeast,control,0
C0382,Southeast,control,0
C1143,West,control,1
C0818,Southwest,control,1
C0142,Northeast,treatment,0
C0403,Southeast,treatment,0
C0318,Southeast,control,0
C0635,Midwest,control,0
C1360,Pacific-NW,control,0
C0705,Midwest,treatment,0
C1366,Pacific-NW,control,1
C0192,Northeast,treatment,0
C0573,Midwest,control,0
C0673,Midwest,treatment,1
C0996,Southwest,treatment,1
C0988,Southwest,treatment,0
C0726,Midwest,treatment,0
C0782,Southwest,control,0
C0316,Southeast,control,0
C0149,Northeast,treatment,0
C0490,Southeast,treatment,0
C1026,Southwest,treatment,0
C0220,Northeast,treatment,0
C1179,West,treatment,0
C0261,Southeast,control,1
C1461,Pacific-NW,treatment,0
C0083,Northeast,control,0
C0566,Midwest,control,0
C1084,West,control,1
C0447,Southeast,treatment,0
C1219,West,treatment,1
C0176,Northeast,treatment,1
C0153,Northeast,treatment,0
C0304,Southeast,control,0
C0902,Southwest,control,0
C1352,Pacific-NW,control,0
C0581,Midwest,control,0
C1198,West,treatment,0
C0679,Midwest,treatment,0
C1383,Pacific-NW,control,0
C1501,Pacific-NW,treatment,0
C0400,Southeast,treatment,0
C0785,Southwest,control,0
C0830,Southwest,control,0
C0747,Midwest,treatment,1
C1030,Southwest,treatment,0
C0462,Southeast,treatment,0
C0744,Midwest,treatment,0
C0361,Southeast,control,1
C0260,Northeast,treatment,1
C0423,Southeast,treatment,1
C0753,Midwest,treatment,0
C0334,Southeast,control,0
C1414,Pacific-NW,control,1
C0482,Southeast,treatment,0
C0588,Midwest,control,0
C1547,Pacific-NW,treatment,0
C0279,Southeast,control,1
C0745,Midwest,treatment,0
C0962,Southwest,treatment,0
C0761,Midwest,treatment,0
C1214,West,treatment,0
C1393,Pacific-NW,control,1
C1169,West,control,0
C0513,Southeast,treatment,1
C0183,Northeast,treatment,0
C1454,Pacific-NW,treatment,0
C0254,Northeast,treatment,1
C0897,Southwest,control,0
