account_id,arm,cohort,retained_90d,support_ticket_open
A0029,control,new,0,0
A0203,control,mature,1,0
A0283,control,mature,1,0
A0023,control,new,1,0
A0589,treatment,mature,1,0
A0310,treatment,new,1,0
A0514,treatment,mature,1,0
A0347,treatment,new,0,0
A0017,control,new,1,0
A0121,control,new,0,0
A0400,treatment,new,0,0
A0031,control,new,1,0
A0240,control,mature,0,0
A0563,treatment,mature,1,0
A0103,control,new,1,0
A0249,control,mature,1,0
A0285,control,mature,1,0
A0032,control,new,1,0
A0255,control,mature,1,1
A0420,treatment,new,0,1
A0245,control,mature,0,0
A0335,treatment,new,0,0
A0413,treatment,new,1,0
A0265,control,mature,1,1
A0447,treatment,new,1,0
A0200,control,mature,1,0
A0584,treatment,mature,1,0
A0109,control,new,1,1
A0128,control,new,1,0
A0425,treatment,new,0,0
A0444,treatment,new,1,1
A0320,treatment,new,0,1
A0312,treatment,new,1,0
A0373,treatment,new,0,0
A0397,treatment,new,1,0
A0325,treatment,new,0,0
A0520,treatment,mature,0,0
A0389,treatment,new,1,0
A0581,treatment,mature,1,0
A0209,control,mature,1,0
A0149,control,new,1,0
A0168,control,new,1,0
A0155,control,new,0,0
A0216,control,mature,1,0
A0600,treatment,mature,1,0
A0411,treatment,new,1,0
A0436,treatment,new,1,0
A0164,control,new,0,0
A0459,treatment,new,0,0
A0035,control,new,0,0
A0060,control,new,1,0
A0205,control,mature,1,0
A0286,control,mature,0,0
A0372,treatment,new,0,0
A0426,treatment,new,0,0
A0124,control,new,1,0
A0044,control,new,0,0
A0090,control,new,0,0
A0483,treatment,new,0,0
A0526,treatment,mature,1,0
A0269,control,mature,1,1
A0003,control,new,1,0
A0112,control,new,0,0
A0243,control,mature,1,0
A0204,control,mature,0,0
A0433,treatment,new,0,0
A0328,treatment,new,0,0
A0298,control,mature,0,0
A0234,control,mature,1,0
A0199,control,mature,0,0
A0047,control,new,1,0
A0555,treatment,mature,1,0
A0336,treatment,new,1,1
A0374,treatment,new,0,0
A0387,treatment,new,0,0
A0089,control,new,1,0
A0135,control,new,1,0
A0399,treatment,new,0,0
A0069,control,new,1,0
A0267,control,mature,1,0
A0277,control,mature,1,0
A0256,control,mature,0,0
A0333,treatment,new,1,0
A0329,treatment,new,1,0
A0018,control,new,1,0
A0041,control,new,0,0
A0236,control,mature,1,0
A0582,treatment,mature,1,1
A0337,treatment,new,1,0
A0416,treatment,new,1,0
A0173,control,new,1,0
A0307,treatment,new,1,0
A0370,treatment,new,1,0
A0102,control,new,1,0
A0222,control,mature,1,0
A0197,control,mature,0,1
A0042,control,new,1,0
A0431,treatment,new,0,0
A0123,control,new,0,0
A0568,treatment,mature,0,0
A0219,control,mature,1,0
A0311,treatment,new,1,0
A0147,control,new,1,0
A0022,control,new,1,0
A0453,treatment,new,0,0
A0334,treatment,new,1,0
A0131,control,new,0,0
A0138,control,new,1,0
A0371,treatment,new,1,0
A0494,treatment,new,0,0
A0417,treatment,new,1,0
A0217,control,mature,1,0
A0557,treatment,mature,0,0
A0550,treatment,mature,0,0
A0002,control,new,1,0
A0587,treatment,mature,0,0
A0186,control,new,0,0
A0005,control,new,1,1
A0078,control,new,0,0
A0198,control,mature,0,0
A0207,control,mature,1,0
A0301,treatment,new,1,0
A0591,treatment,mature,1,1
A0519,treatment,mature,1,0
A0533,treatment,mature,0,0
A0595,treatment,mature,1,0
A0410,treatment,new,1,1
A0403,treatment,new,0,0
A0178,control,new,1,0
A0117,control,new,1,0
A0057,control,new,1,1
A0195,control,new,1,0
A0006,control,new,0,0
A0392,treatment,new,1,0
A0036,control,new,0,0
A0593,treatment,mature,1,0
A0418,treatment,new,0,0
A0501,treatment,mature,0,0
A0575,treatment,mature,1,0
A0272,control,mature,1,0
A0472,treatment,new,1,0
A0321,treatment,new,1,1
A0159,control,new,1,0
A0004,control,new,0,0
A0068,control,new,1,0
A0263,control,mature,1,0
A0167,control,new,0,0
A0455,treatment,new,0,0
A0468,treatment,new,0,0
A0120,control,new,0,0
A0140,control,new,1,0
A0254,control,mature,0,0
A0462,treatment,new,1,0
A0438,treatment,new,0,0
A0229,control,mature,1,0
A0351,treatment,new,0,0
A0289,control,mature,1,0
A0355,treatment,new,1,0
A0545,treatment,mature,1,0
A0297,control,mature,0,1
A0408,treatment,new,0,0
A0074,control,new,0,0
A0012,control,new,1,0
A0309,treatment,new,1,0
A0189,control,new,0,0
A0179,control,new,1,0
A0225,control,mature,0,0
A0441,treatment,new,1,0
A0365,treatment,new,0,0
A0380,treatment,new,0,0
A0116,control,new,1,0
A0194,control,new,1,1
A0487,treatment,new,1,0
A0573,treatment,mature,1,0
A0059,control,new,1,0
A0599,treatment,mature,0,0
A0014,control,new,1,0
A0326,treatment,new,1,0
A0343,treatment,new,1,1
A0264,control,mature,1,0
A0262,control,mature,1,0
A0353,treatment,new,1,0
A0364,treatment,new,1,0
A0352,treatment,new,1,0
A0072,control,new,0,0
A0174,control,new,1,0
A0268,control,mature,0,0
A0214,control,mature,0,0
A0361,treatment,new,1,0
A0330,treatment,new,1,0
A0220,control,mature,1,0
A0437,treatment,new,1,0
A0043,control,new,0,0
A0488,treatment,new,1,0
A0030,control,new,1,0
A0502,treatment,mature,0,0
A0165,control,new,1,0
A0486,treatment,new,1,0
A0578,treatment,mature,1,0
A0375,treatment,new,0,0
A0040,control,new,1,0
A0066,control,new,0,0
A0318,treatment,new,0,0
A0192,control,new,0,0
A0362,treatment,new,1,0
A0091,control,new,1,0
A0415,treatment,new,0,0
A0067,control,new,0,0
A0156,control,new,1,0
A0345,treatment,new,1,0
A0024,control,new,1,0
A0535,treatment,mature,1,0
A0141,control,new,0,0
A0150,control,new,1,0
A0158,control,new,0,0
A0231,control,mature,1,1
A0163,control,new,1,0
A0564,treatment,mature,1,0
A0546,treatment,mature,1,0
A0570,treatment,mature,0,0
A0153,control,new,1,0
A0241,control,mature,0,0
A0376,treatment,new,0,0
A0127,control,new,0,0
A0027,control,new,0,0
A0466,treatment,new,1,0
A0048,control,new,1,0
A0395,treatment,new,1,0
A0450,treatment,new,1,0
A0095,control,new,0,0
A0497,treatment,mature,1,0
A0402,treatment,new,1,0
A0493,treatment,new,0,0
A0594,treatment,mature,0,0
A0144,control,new,1,0
A0251,control,mature,0,0
A0528,treatment,mature,1,0
A0442,treatment,new,1,0
A0122,control,new,1,1
A0475,treatment,new,0,0
A0193,control,new,1,0
A0525,treatment,mature,1,0
A0513,treatment,mature,1,0
A0270,control,mature,0,0
A0087,control,new,0,0
A0086,control,new,1,0
A0058,control,new,1,0
A0190,control,new,1,0
A0430,treatment,new,0,0
A0175,control,new,1,0
A0381,treatment,new,1,0
A0107,control,new,1,0
A0340,treatment,new,0,0
A0385,treatment,new,0,0
A0244,control,mature,1,0
A0358,treatment,new,1,0
A0390,treatment,new,0,0
A0246,control,mature,1,0
A0435,treatment,new,0,0
A0305,treatment,new,1,0
A0572,treatment,mature,1,0
A0304,treatment,new,1,0
A0313,treatment,new,0,0
A0223,control,mature,1,0
A0034,control,new,0,0
A0170,control,new,0,0
A0592,treatment,mature,1,1
A0460,treatment,new,0,0
A0504,treatment,mature,1,0
A0490,treatment,new,0,0
A0080,control,new,0,0
A0099,control,new,1,0
A0115,control,new,1,0
A0448,treatment,new,0,0
A0596,treatment,mature,1,0
A0529,treatment,mature,0,1
A0261,control,mature,1,0
A0449,treatment,new,1,0
A0238,control,mature,1,0
A0033,control,new,1,0
A0083,control,new,0,0
A0049,control,new,1,0
A0346,treatment,new,1,0
A0356,treatment,new,0,0
A0577,treatment,mature,1,0
A0339,treatment,new,1,0
A0401,treatment,new,1,0
A0148,control,new,1,0
A0013,control,new,1,0
A0554,treatment,mature,0,0
A0184,control,new,1,0
A0386,treatment,new,1,0
A0499,treatment,mature,1,0
A0524,treatment,mature,1,0
A0458,treatment,new,1,0
A0016,control,new,0,0
A0303,treatment,new,1,0
A0037,control,new,1,0
A0293,control,mature,0,0
A0162,control,new,1,0
A0457,treatment,new,0,0
A0440,treatment,new,0,0
A0478,treatment,new,1,0
A0512,treatment,mature,0,0
A0181,control,new,1,0
A0275,control,mature,0,0
A0114,control,new,0,0
A0015,control,new,1,0
A0210,control,mature,1,0
A0085,control,new,0,0
A0132,control,new,1,0
A0363,treatment,new,1,0
A0136,control,new,1,0
A0182,control,new,1,0
A0484,treatment,new,0,0
A0585,treatment,mature,1,0
A0276,control,mature,1,0
A0443,treatment,new,0,0
A0579,treatment,mature,0,0
A0151,control,new,1,0
A0354,treatment,new,1,0
A0026,control,new,1,0
A0051,control,new,0,0
A0515,treatment,mature,1,0
A0421,treatment,new,1,0
A0172,control,new,1,0
A0439,treatment,new,1,0
A0482,treatment,new,1,0
A0129,control,new,1,0
A0183,control,new,1,0
A0201,control,mature,1,1
A0422,treatment,new,1,0
A0467,treatment,new,1,0
A0300,control,mature,1,0
A0052,control,new,0,0
A0237,control,mature,0,0
A0028,control,new,1,0
A0405,treatment,new,0,0
A0548,treatment,mature,0,0
A0538,treatment,mature,1,0
A0348,treatment,new,1,0
A0516,treatment,mature,1,0
A0332,treatment,new,1,1
A0252,control,mature,1,0
A0284,control,mature,0,0
A0125,control,new,1,0
A0062,control,new,1,0
A0161,control,new,0,0
A0500,treatment,mature,0,1
A0271,control,mature,0,0
A0412,treatment,new,1,0
A0308,treatment,new,1,0
A0496,treatment,mature,1,0
A0111,control,new,1,0
A0187,control,new,1,0
A0316,treatment,new,0,1
A0541,treatment,mature,1,0
A0137,control,new,1,0
A0021,control,new,1,0
A0456,treatment,new,0,0
A0517,treatment,mature,1,0
A0218,control,mature,0,0
A0160,control,new,0,0
A0046,control,new,0,0
A0038,control,new,1,0
A0556,treatment,mature,0,0
A0597,treatment,mature,1,1
A0098,control,new,1,0
A0419,treatment,new,0,0
A0101,control,new,1,0
A0562,treatment,mature,1,1
A0552,treatment,mature,1,1
A0079,control,new,1,0
A0367,treatment,new,1,1
A0100,control,new,0,0
A0324,treatment,new,0,0
A0259,control,mature,1,0
A0113,control,new,0,0
A0050,control,new,0,0
A0469,treatment,new,0,0
A0507,treatment,mature,1,0
A0221,control,mature,0,0
A0537,treatment,mature,1,0
A0096,control,new,1,0
A0206,control,mature,0,0
A0342,treatment,new,1,0
A0522,treatment,mature,1,0
A0338,treatment,new,1,0
A0471,treatment,new,1,0
A0306,treatment,new,1,1
A0366,treatment,new,1,0
A0118,control,new,1,0
A0407,treatment,new,1,0
A0281,control,mature,1,1
A0247,control,mature,1,0
A0126,control,new,1,0
A0076,control,new,0,0
A0230,control,mature,1,0
A0213,control,mature,0,0
A0145,control,new,0,0
A0474,treatment,new,1,1
A0266,control,mature,0,0
A0369,treatment,new,0,0
A0202,control,mature,0,0
A0287,control,mature,0,1
A0464,treatment,new,1,0
A0063,control,new,1,0
A0092,control,new,1,0
A0583,treatment,mature,0,0
A0104,control,new,1,0
A0152,control,new,1,0
A0498,treatment,mature,1,0
A0056,control,new,0,0
A0481,treatment,new,1,0
A0406,treatment,new,1,1
A0586,treatment,mature,1,0
A0110,control,new,1,0
A0075,control,new,0,0
A0177,control,new,1,0
A0169,control,new,1,0
A0566,treatment,mature,0,0
A0019,control,new,1,0
A0317,treatment,new,1,0
A0302,treatment,new,1,0
A0260,control,mature,1,0
A0569,treatment,mature,1,0
A0505,treatment,mature,1,0
A0232,control,mature,1,0
A0171,control,new,1,0
A0088,control,new,1,1
A0384,treatment,new,0,1
A0055,control,new,0,0
A0429,treatment,new,1,0
A0188,control,new,1,1
A0378,treatment,new,1,0
A0576,treatment,mature,1,0
A0350,treatment,new,1,0
A0521,treatment,mature,1,0
A0489,treatment,new,1,0
A0294,control,mature,1,0
A0327,treatment,new,0,0
A0108,control,new,0,0
A0224,control,mature,1,0
A0349,treatment,new,1,1
A0379,treatment,new,0,0
A0077,control,new,0,0
A0208,control,mature,1,0
A0523,treatment,mature,1,0
A0105,control,new,1,0
A0452,treatment,new,0,0
A0588,treatment,mature,0,0
A0039,control,new,1,0
A0253,control,mature,1,0
A0273,control,mature,0,0
A0580,treatment,mature,1,0
A0344,treatment,new,0,0
A0547,treatment,mature,1,0
A0228,control,mature,1,0
A0212,control,mature,1,0
A0166,control,new,0,0
A0510,treatment,mature,1,0
A0549,treatment,mature,0,0
A0142,control,new,1,0
A0532,treatment,mature,0,0
A0282,control,mature,1,0
A0007,control,new,0,0
A0331,treatment,new,1,0
A0451,treatment,new,1,0
A0574,treatment,mature,1,0
A0288,control,mature,1,0
A0465,treatment,new,1,0
A0427,treatment,new,1,0
A0511,treatment,mature,1,0
A0001,control,new,1,0
A0154,control,new,1,0
A0428,treatment,new,0,0
A0598,treatment,mature,1,0
A0495,treatment,new,1,1
A0258,control,mature,1,0
A0534,treatment,mature,1,0
A0073,control,new,1,1
A0509,treatment,mature,1,0
A0139,control,new,0,0
A0567,treatment,mature,1,0
A0011,control,new,1,0
A0093,control,new,1,0
A0025,control,new,0,0
A0045,control,new,0,0
A0382,treatment,new,0,0
A0323,treatment,new,0,0
A0119,control,new,1,0
A0242,control,mature,1,0
A0274,control,mature,1,0
A0424,treatment,new,0,1
A0476,treatment,new,0,1
A0508,treatment,mature,0,0
A0130,control,new,1,0
A0296,control,mature,0,0
A0233,control,mature,1,1
A0477,treatment,new,0,0
A0279,control,mature,1,0
A0250,control,mature,0,0
A0543,treatment,mature,1,0
A0315,treatment,new,1,0
A0176,control,new,0,0
A0196,control,mature,1,0
A0010,control,new,1,0
A0020,control,new,0,0
A0065,control,new,1,0
A0423,treatment,new,0,0
A0292,control,mature,0,0
A0143,control,new,1,1
A0227,control,mature,1,0
A0383,treatment,new,0,0
A0590,treatment,mature,0,1
A0551,treatment,mature,0,0
A0248,control,mature,0,0
A0071,control,new,1,0
A0299,control,mature,0,1
A0377,treatment,new,0,1
A0278,control,mature,0,0
A0531,treatment,mature,1,0
A0491,treatment,new,1,0
A0393,treatment,new,1,0
A0571,treatment,mature,0,0
A0454,treatment,new,0,0
A0553,treatment,mature,1,0
A0185,control,new,0,0
A0565,treatment,mature,1,0
A0461,treatment,new,0,0
A0290,control,mature,1,0
A0539,treatment,mature,1,0
A0180,control,new,1,0
A0064,control,new,1,0
A0559,treatment,mature,1,0
A0106,control,new,0,1
A0434,treatment,new,1,0
A0257,control,mature,0,0
A0215,control,mature,0,0
A0070,control,new,1,0
A0191,control,new,0,0
A0314,treatment,new,0,1
A0544,treatment,mature,1,0
A0518,treatment,mature,0,1
A0226,control,mature,1,0
A0319,treatment,new,0,0
A0235,control,mature,0,0
A0404,treatment,new,1,0
A0409,treatment,new,1,0
A0446,treatment,new,1,0
A0530,treatment,mature,1,0
A0463,treatment,new,1,0
A0470,treatment,new,1,0
A0081,control,new,1,0
A0157,control,new,1,0
A0445,treatment,new,1,0
A0391,treatment,new,0,0
A0211,control,mature,0,0
A0097,control,new,0,0
A0414,treatment,new,1,0
A0396,treatment,new,1,0
A0388,treatment,new,1,0
A0146,control,new,0,1
A0341,treatment,new,0,0
A0506,treatment,mature,1,0
A0394,treatment,new,0,0
A0054,control,new,1,0
A0322,treatment,new,1,0
A0561,treatment,mature,1,0
A0061,control,new,1,0
A0084,control,new,0,0
A0432,treatment,new,1,0
A0560,treatment,mature,0,0
A0360,treatment,new,1,0
A0053,control,new,0,0
A0398,treatment,new,1,0
A0479,treatment,new,1,0
A0280,control,mature,1,0
A0239,control,mature,0,0
A0536,treatment,mature,1,0
A0008,control,new,0,0
A0295,control,mature,0,0
A0082,control,new,1,0
A0542,treatment,mature,1,0
A0540,treatment,mature,1,0
A0368,treatment,new,0,0
A0134,control,new,0,0
A0009,control,new,1,0
A0291,control,mature,1,0
A0094,control,new,1,0
A0473,treatment,new,0,0
A0558,treatment,mature,0,0
A0527,treatment,mature,0,0
A0485,treatment,new,1,0
A0480,treatment,new,0,0
A0492,treatment,new,1,0
A0503,treatment,mature,1,0
A0359,treatment,new,1,0
A0357,treatment,new,1,0
A0133,control,new,1,0
