application_id,application_quarter,credit_score,debt_to_income,loan_amount,applicant_tenure_years,defaulted
APP00000,2024-Q1,706,0.356,19348.0,1,0
APP00001,2024-Q1,642,0.252,12745.0,11,0
APP00002,2024-Q1,584,0.257,15695.0,9,0
APP00003,2024-Q1,723,0.277,16888.0,11,0
APP00004,2024-Q1,559,0.467,19726.0,7,1
APP00005,2024-Q1,628,0.248,15538.0,0,0
APP00006,2024-Q1,655,0.394,9247.0,8,0
APP00007,2024-Q1,610,0.453,25467.0,3,1
APP00008,2024-Q1,631,0.348,18597.0,7,0
APP00009,2024-Q1,689,0.266,22979.0,10,0
APP00010,2024-Q1,656,0.278,23233.0,4,0
APP00011,2024-Q1,777,0.422,10558.0,5,0
APP00012,2024-Q1,640,0.18,25601.0,1,0
APP00013,2024-Q1,647,0.469,17182.0,4,0
APP00014,2024-Q1,721,0.547,27088.0,7,1
APP00015,2024-Q1,712,0.184,18081.0,7,1
APP00016,2024-Q1,731,0.129,11797.0,2,0
APP00017,2024-Q1,634,0.328,16881.0,4,0
APP00018,2024-Q1,689,0.338,23505.0,8,0
APP00019,2024-Q1,587,0.525,24175.0,1,0
APP00020,2024-Q1,632,0.25,12350.0,7,0
APP00021,2024-Q1,614,0.355,7086.0,3,0
APP00022,2024-Q1,676,0.353,12204.0,3,1
APP00023,2024-Q1,720,0.125,13451.0,6,0
APP00024,2024-Q1,639,0.598,11956.0,3,0
APP00025,2024-Q1,646,0.387,2000.0,6,0
APP00026,2024-Q1,708,0.206,10215.0,2,1
APP00027,2024-Q1,613,0.207,26787.0,4,0
APP00028,2024-Q1,728,0.378,25669.0,6,1
APP00029,2024-Q1,541,0.493,20101.0,3,1
APP00030,2024-Q1,635,0.368,7373.0,1,0
APP00031,2024-Q1,653,0.46,12316.0,3,1
APP00032,2024-Q1,640,0.194,17314.0,9,0
APP00033,2024-Q1,624,0.28,15484.0,6,1
APP00034,2024-Q1,598,0.4,27575.0,4,1
APP00035,2024-Q1,537,0.352,17350.0,5,1
APP00036,2024-Q1,599,0.277,14536.0,8,0
APP00037,2024-Q1,680,0.166,23283.0,7,0
APP00038,2024-Q1,677,0.254,14599.0,7,0
APP00039,2024-Q1,761,0.31,15253.0,5,0
APP00040,2024-Q1,695,0.329,16273.0,1,1
APP00041,2024-Q1,750,0.245,16935.0,1,0
APP00042,2024-Q1,605,0.433,16743.0,11,1
APP00043,2024-Q1,598,0.28,17669.0,7,1
APP00044,2024-Q1,642,0.354,16442.0,10,0
APP00045,2024-Q1,680,0.218,9962.0,3,0
APP00046,2024-Q1,636,0.28,13460.0,10,0
APP00047,2024-Q1,636,0.342,23654.0,8,0
APP00048,2024-Q1,711,0.438,14024.0,6,0
APP00049,2024-Q1,626,0.196,22946.0,4,0
APP00050,2024-Q1,745,0.325,17530.0,9,0
APP00051,2024-Q1,697,0.508,28335.0,1,0
APP00052,2024-Q1,687,0.244,19416.0,8,0
APP00053,2024-Q1,604,0.311,21659.0,5,0
APP00054,2024-Q1,681,0.395,13376.0,4,0
APP00055,2024-Q1,668,0.282,25296.0,9,0
APP00056,2024-Q1,712,0.233,27818.0,5,0
APP00057,2024-Q1,627,0.299,13481.0,9,0
APP00058,2024-Q1,721,0.314,12041.0,11,0
APP00059,2024-Q1,507,0.457,14877.0,4,1
APP00060,2024-Q1,636,0.606,10047.0,7,1
APP00061,2024-Q1,757,0.285,23642.0,7,0
APP00062,2024-Q1,653,0.369,35338.0,11,0
APP00063,2024-Q1,633,0.324,16396.0,0,1
APP00064,2024-Q1,744,0.359,29877.0,4,0
APP00065,2024-Q1,630,0.428,26444.0,11,0
APP00066,2024-Q1,615,0.421,13002.0,11,0
APP00067,2024-Q1,674,0.242,18144.0,9,0
APP00068,2024-Q1,675,0.36,6451.0,7,0
APP00069,2024-Q1,672,0.318,14005.0,2,0
APP00070,2024-Q1,612,0.275,22546.0,6,0
APP00071,2024-Q1,625,0.45,19699.0,5,0
APP00072,2024-Q1,627,0.223,19581.0,5,0
APP00073,2024-Q1,706,0.339,24639.0,4,0
APP00074,2024-Q1,615,0.345,11681.0,2,1
APP00075,2024-Q1,642,0.291,15766.0,0,1
APP00076,2024-Q1,651,0.257,17324.0,5,0
APP00077,2024-Q1,657,0.235,7819.0,0,0
APP00078,2024-Q1,664,0.357,25907.0,0,0
APP00079,2024-Q1,657,0.218,12666.0,4,1
APP00080,2024-Q1,692,0.407,25880.0,0,0
APP00081,2024-Q1,584,0.403,16405.0,10,1
APP00082,2024-Q1,638,0.451,26771.0,11,1
APP00083,2024-Q1,714,0.313,14713.0,9,0
APP00084,2024-Q1,676,0.396,15831.0,3,0
APP00085,2024-Q1,681,0.417,28052.0,0,0
APP00086,2024-Q1,642,0.4,14153.0,0,1
APP00087,2024-Q1,650,0.366,20275.0,5,1
APP00088,2024-Q1,670,0.476,25660.0,6,0
APP00089,2024-Q1,744,0.404,20198.0,2,0
APP00090,2024-Q1,620,0.35,14474.0,8,0
APP00091,2024-Q1,720,0.344,23161.0,11,1
APP00092,2024-Q1,582,0.274,17753.0,8,0
APP00093,2024-Q1,620,0.395,9928.0,3,1
APP00094,2024-Q1,672,0.444,23593.0,5,0
APP00095,2024-Q1,657,0.351,26030.0,9,0
APP00096,2024-Q1,607,0.306,16954.0,7,0
APP00097,2024-Q1,659,0.428,22525.0,8,1
APP00098,2024-Q1,733,0.169,23147.0,10,0
APP00099,2024-Q1,599,0.426,9505.0,4,1
APP00100,2024-Q1,591,0.374,25559.0,3,1
APP00101,2024-Q1,613,0.404,22208.0,4,0
APP00102,2024-Q1,672,0.127,17387.0,11,1
APP00103,2024-Q1,694,0.351,16547.0,7,1
APP00104,2024-Q1,692,0.548,21320.0,4,0
APP00105,2024-Q1,701,0.463,10818.0,0,0
APP00106,2024-Q1,716,0.181,7644.0,1,0
APP00107,2024-Q1,618,0.334,16494.0,9,0
APP00108,2024-Q1,679,0.454,13148.0,9,0
APP00109,2024-Q1,766,0.373,18004.0,11,0
APP00110,2024-Q1,687,0.342,20674.0,8,0
APP00111,2024-Q1,803,0.224,13353.0,4,0
APP00112,2024-Q1,701,0.478,13928.0,5,0
APP00113,2024-Q1,620,0.216,20571.0,6,0
APP00114,2024-Q1,611,0.29,13991.0,7,0
APP00115,2024-Q1,659,0.425,13439.0,9,1
APP00116,2024-Q1,576,0.258,11583.0,5,0
APP00117,2024-Q1,555,0.271,13336.0,9,0
APP00118,2024-Q1,568,0.442,22487.0,8,1
APP00119,2024-Q1,680,0.393,25049.0,6,0
APP00120,2024-Q1,558,0.433,15262.0,0,1
APP00121,2024-Q1,651,0.253,18026.0,2,0
APP00122,2024-Q1,740,0.198,8037.0,7,0
APP00123,2024-Q1,588,0.339,16810.0,9,0
APP00124,2024-Q1,688,0.366,19505.0,8,0
APP00125,2024-Q1,735,0.345,21420.0,7,0
APP00126,2024-Q1,679,0.311,4880.0,9,0
APP00127,2024-Q1,579,0.226,18432.0,7,0
APP00128,2024-Q1,614,0.413,10190.0,1,0
APP00129,2024-Q1,683,0.247,24971.0,3,0
APP00130,2024-Q1,573,0.367,23757.0,2,0
APP00131,2024-Q1,525,0.502,9447.0,10,1
APP00132,2024-Q1,774,0.34,20700.0,4,0
APP00133,2024-Q1,617,0.171,14087.0,1,1
APP00134,2024-Q1,681,0.545,14552.0,4,0
APP00135,2024-Q1,568,0.238,22238.0,10,1
APP00136,2024-Q1,638,0.281,14473.0,1,0
APP00137,2024-Q1,719,0.387,14269.0,9,0
APP00138,2024-Q1,688,0.497,24813.0,11,1
APP00139,2024-Q1,646,0.398,21635.0,2,0
APP00140,2024-Q1,599,0.306,8482.0,6,1
APP00141,2024-Q1,769,0.271,21072.0,4,0
APP00142,2024-Q1,646,0.2,19766.0,2,0
APP00143,2024-Q1,533,0.365,21707.0,0,1
APP00144,2024-Q1,713,0.4,5171.0,1,1
APP00145,2024-Q1,553,0.559,10620.0,8,1
APP00146,2024-Q1,640,0.384,6137.0,3,1
APP00147,2024-Q1,649,0.509,19421.0,4,1
APP00148,2024-Q1,591,0.233,12475.0,8,0
APP00149,2024-Q1,661,0.431,21999.0,0,1
APP00150,2024-Q1,620,0.431,8841.0,10,1
APP00151,2024-Q1,680,0.33,4301.0,10,0
APP00152,2024-Q1,702,0.366,18318.0,9,0
APP00153,2024-Q1,676,0.429,11817.0,9,1
APP00154,2024-Q1,662,0.504,15653.0,2,1
APP00155,2024-Q1,618,0.381,25761.0,4,0
APP00156,2024-Q1,715,0.423,10846.0,9,0
APP00157,2024-Q1,612,0.613,15873.0,2,1
APP00158,2024-Q1,753,0.444,15917.0,6,0
APP00159,2024-Q1,655,0.267,11300.0,7,1
APP00160,2024-Q1,772,0.145,16684.0,10,0
APP00161,2024-Q1,640,0.298,17859.0,7,0
APP00162,2024-Q1,638,0.422,7350.0,2,0
APP00163,2024-Q1,676,0.103,3402.0,3,1
APP00164,2024-Q1,692,0.443,18463.0,2,0
APP00165,2024-Q1,737,0.405,19321.0,10,0
APP00166,2024-Q1,661,0.363,23423.0,2,0
APP00167,2024-Q1,692,0.315,23588.0,10,0
APP00168,2024-Q1,686,0.457,18941.0,7,0
APP00169,2024-Q1,599,0.396,15533.0,2,1
APP00170,2024-Q1,677,0.203,18145.0,10,0
APP00171,2024-Q1,566,0.27,29712.0,3,1
APP00172,2024-Q1,609,0.474,14537.0,8,1
APP00173,2024-Q1,637,0.368,22621.0,7,0
APP00174,2024-Q1,733,0.18,23636.0,5,0
