customer_id,tenure_months,monthly_spend,plan_tier,support_tickets_opened_90d,logins_per_week,churned
CUST00000,25,90.8,Pro,1,1,1
CUST00001,13,86.75,Pro,0,5,0
CUST00002,5,63.24,Premium,3,5,0
CUST00003,21,80.56,Pro,1,6,1
CUST00004,13,62.3,Pro,3,5,1
CUST00005,2,85.89,Pro,3,2,0
CUST00006,3,81.44,Basic,3,7,1
CUST00007,53,70.77,Basic,0,5,0
CUST00008,58,43.28,Basic,2,5,0
CUST00009,27,83.7,Basic,1,4,0
CUST00010,16,99.44,Basic,1,6,0
CUST00011,32,135.93,Basic,0,9,0
CUST00012,53,66.53,Basic,14,3,1
CUST00013,18,73.48,Basic,1,4,0
CUST00014,37,97.22,Pro,0,6,0
CUST00015,28,84.24,Premium,15,4,1
CUST00016,17,68.95,Basic,4,3,1
CUST00017,59,79.01,Basic,3,4,1
CUST00018,45,43.22,Basic,3,3,0
CUST00019,56,34.31,Basic,0,8,1
CUST00020,36,61.89,Premium,4,0,1
CUST00021,20,102.76,Pro,14,9,1
CUST00022,25,64.65,Basic,0,9,0
CUST00023,57,86.22,Basic,0,4,1
CUST00024,20,80.49,Basic,2,4,0
CUST00025,40,69.9,Pro,4,10,1
CUST00026,39,63.42,Pro,1,3,0
CUST00027,12,91.63,Pro,3,6,1
CUST00028,31,80.95,Basic,0,2,0
CUST00029,8,74.54,Premium,0,8,0
CUST00030,22,100.63,Basic,6,3,0
CUST00031,47,85.72,Basic,2,9,0
CUST00032,2,72.01,Pro,2,6,0
CUST00033,23,77.54,Basic,11,1,0
CUST00034,38,113.99,Pro,0,5,1
CUST00035,55,97.3,Pro,0,2,0
CUST00036,26,77.42,Premium,1,4,0
CUST00037,32,66.17,Premium,0,9,1
CUST00038,11,111.09,Pro,0,4,0
CUST00039,16,103.44,Basic,0,8,0
CUST00040,46,108.57,Basic,0,6,0
CUST00041,7,60.3,Pro,0,6,0
CUST00042,7,124.06,Pro,0,3,0
CUST00043,13,103.1,Pro,1,1,0
CUST00044,11,72.41,Pro,0,3,0
CUST00045,25,83.08,Pro,5,1,1
CUST00046,37,97.16,Pro,3,5,0
CUST00047,33,111.01,Basic,0,9,1
CUST00048,28,66.43,Basic,6,3,0
CUST00049,7,113.68,Basic,8,7,1
CUST00050,22,46.37,Pro,1,5,1
CUST00051,12,68.48,Premium,0,4,0
CUST00052,45,68.12,Basic,4,2,1
CUST00053,32,84.73,Pro,5,10,1
CUST00054,44,60.24,Basic,3,1,1
CUST00055,60,76.25,Basic,4,3,1
CUST00056,37,53.0,Pro,1,8,0
CUST00057,7,59.88,Basic,1,15,0
CUST00058,2,74.98,Basic,0,8,0
CUST00059,54,63.4,Basic,0,4,0
CUST00060,3,66.95,Pro,0,4,0
CUST00061,52,83.39,Premium,7,10,0
CUST00062,9,100.13,Pro,0,7,1
CUST00063,24,89.16,Basic,10,9,0
CUST00064,18,74.93,Premium,2,3,0
CUST00065,57,89.17,Basic,6,8,1
CUST00066,26,80.84,Basic,2,10,0
CUST00067,25,90.58,Premium,0,2,0
CUST00068,51,103.9,Pro,0,8,0
CUST00069,55,88.15,Basic,1,9,0
