sku,vendor,price,unit
SKU100,Acme Supply,23.8,each
SKU101,Northline Co,11.78,pallet
SKU102,Northline Co,214.33,each
SKU103,Northline Co,43.51,each
SKU104,Northline Co,42.32,each
SKU105,Acme Supply,27.51,pallet
SKU106,Acme Supply,190.57,pallet
SKU107,Bellwood Inc,128.32,each
SKU108,Northline Co,123.67,each
SKU109,Northline Co,179.57,pallet
SKU110,Northline Co,106.9,case
SKU111,Bellwood Inc,102.33,each
SKU112,Acme Supply,ERROR,each
SKU113,Acme Supply,20.49,each
SKU114,Bellwood Inc,65.35,pallet
SKU115,Northline Co,65.0,pallet
SKU116,Acme Supply,85.28,pallet
SKU117,Bellwood Inc,175.5,pallet
SKU118,Bellwood Inc,95.68,pallet
SKU119,Northline Co,119.15,pallet
SKU120,Northline Co,54.93,each
SKU121,Acme Supply,65.53,each
SKU122,Northline Co,150.48,pallet
SKU123,Northline Co,199.42,pallet
SKU124,Northline Co,103.68,case
SKU125,Northline Co,28.91,each
SKU126,Bellwood Inc,207.91,pallet
SKU127,Northline Co,145.53,each
SKU128,Northline Co,93.14,pallet
SKU129,Bellwood Inc,24.22,pallet
SKU130,Bellwood Inc,7.67,pallet
SKU131,Bellwood Inc,129.94,case
SKU132,Bellwood Inc,186.1,case
SKU133,Bellwood Inc,193.37,case
SKU134,Bellwood Inc,46.08,case
SKU135,Northline Co,180.0,pallet
SKU136,Acme Supply,124.75,pallet
SKU137,Acme Supply,148.24,case
SKU138,Acme Supply,73.95,case
SKU139,Bellwood Inc,111.82,pallet
