week,promo_week,revenue
1,0,39719.5
2,0,44991.51
3,0,37566.44
4,0,38307.23
5,0,47924.56
6,0,43770.81
7,0,38792.29
8,0,43210.38
9,0,39657.78
10,0,40306.26
11,1,126521.37
12,0,34871.81
13,0,34482.03
14,0,39797.81
15,0,50549.36
16,0,45216.11
17,0,38003.76
18,0,29952.84
19,0,48187.89
20,0,38407.52
21,0,40862.29
22,0,39221.74
23,0,41194.34
24,1,126280.23
25,0,45363.42
26,0,35769.84
27,0,38478.82
28,0,42753.23
29,0,44023.54
30,0,47278.02
31,0,46638.58
32,0,41737.08
33,0,34919.8
34,0,39467.41
35,0,39236.98
36,0,40837.79
37,0,40127.93
38,0,40168.45
39,0,40044.85
40,0,45228.79
41,0,40043.35
42,0,46301.14
43,0,41854.59
44,0,40964.99
45,0,41534.56
46,0,41657.64
47,1,119478.76
48,0,41947.89
49,0,37430.13
50,0,39132.69
51,1,135915.17
52,0,44475.81
