unit_id,region,treated,outcome
0,North,1,58.88
1,East,1,48.81
2,South,1,47.74
3,East,0,29.43
4,South,0,62.46
5,North,1,69.99
6,East,0,54.79
7,North,0,31.42
8,North,0,56.16
9,East,1,47.35
10,East,1,63.27
11,West,0,29.71
12,South,0,63.26
13,North,1,70.68
14,North,1,76.51
15,North,0,62.11
16,North,1,56.6
17,East,1,34.96
18,West,1,48.82
19,South,1,59.06
20,East,0,56.85
21,South,1,53.19
22,East,0,59.21
23,South,1,48.03
24,South,0,53.86
25,North,1,58.3
26,North,1,69.55
27,South,0,67.07
28,North,0,41.7
29,South,0,45.09
30,North,1,48.28
31,South,1,45.25
32,North,0,38.11
33,East,1,37.35
34,South,0,49.0
35,East,1,31.4
36,North,0,45.25
37,East,1,54.13
38,North,1,69.2
39,East,0,81.61
40,South,1,70.36
41,North,1,45.68
42,South,1,67.2
43,East,0,66.75
44,South,0,75.31
45,East,0,63.18
46,West,1,46.55
47,West,0,33.61
48,North,1,63.25
49,West,0,42.62
50,South,0,43.99
51,North,0,45.15
52,North,1,59.47
53,West,0,26.13
54,West,1,35.31
55,South,1,45.23
56,North,0,39.27
57,East,0,43.8
58,South,1,38.14
59,West,0,30.91
60,North,1,35.48
61,West,1,60.22
62,East,1,41.82
63,West,0,41.1
64,North,0,57.72
65,East,1,65.66
66,North,1,64.12
67,West,1,59.64
68,West,0,51.5
69,South,1,60.62
70,North,0,40.16
71,North,1,22.45
72,East,0,53.78
73,North,1,56.91
74,East,0,67.01
75,South,0,53.96
76,West,0,57.74
77,East,0,67.31
78,West,0,57.92
79,South,1,43.94
80,South,0,17.45
81,East,0,62.93
82,South,1,62.7
83,North,1,52.53
84,South,0,31.51
85,West,1,27.81
86,West,0,54.76
87,South,1,57.4
88,West,1,30.43
89,West,0,58.59
90,North,1,58.29
91,East,0,55.6
92,North,1,47.65
93,West,1,66.11
94,North,0,55.09
95,South,0,43.84
96,West,1,48.68
97,North,0,82.32
98,North,1,58.29
99,South,0,56.56
100,East,1,53.22
101,South,0,52.85
102,South,0,68.13
103,South,1,59.89
104,North,1,51.2
105,West,0,60.44
106,South,0,54.26
107,South,0,43.54
108,North,0,49.16
109,West,1,40.31
110,East,1,27.17
111,North,0,48.54
112,West,0,38.91
113,East,1,43.17
114,East,1,39.85
115,South,1,48.97
116,North,1,51.96
117,North,0,33.77
118,North,0,25.37
119,South,1,49.39
120,South,0,58.89
121,West,1,55.4
122,North,0,56.92
123,East,1,72.73
124,East,0,59.02
125,East,0,75.04
126,East,1,38.71
127,West,0,47.28
128,West,0,81.18
129,East,0,62.23
130,South,0,50.75
131,North,1,47.32
132,South,0,32.17
133,North,1,61.01
134,South,0,61.37
135,East,0,41.48
136,West,1,35.85
137,South,1,64.59
138,West,1,54.43
139,North,1,44.5
140,East,1,58.28
141,West,0,39.14
142,South,1,58.8
143,South,1,30.72
144,North,1,40.85
145,West,0,34.25
146,South,0,53.12
147,South,1,51.58
148,East,1,49.83
149,East,0,47.44
150,South,0,54.25
151,East,0,47.87
152,West,1,45.02
153,North,1,62.91
154,North,0,60.98
155,East,1,35.42
156,West,1,40.5
157,South,1,46.43
158,West,1,40.24
159,South,1,58.31
160,West,0,51.64
161,East,0,57.42
162,West,1,72.88
163,West,1,44.83
164,West,1,32.73
165,South,0,40.23
166,North,0,56.27
167,East,1,60.58
168,North,1,31.35
169,South,0,40.59
170,West,1,64.98
171,East,1,66.04
172,West,0,44.85
173,North,0,56.18
174,North,0,38.16
175,West,0,20.1
176,East,0,62.89
177,North,1,35.57
178,North,0,23.11
179,East,0,58.41
180,East,1,55.44
181,North,0,48.5
182,East,1,55.13
183,North,1,43.58
184,North,0,55.28
185,West,0,23.42
186,East,0,24.53
187,East,0,54.44
188,North,0,52.55
189,North,1,73.19
190,North,0,45.48
191,South,1,33.38
192,South,1,54.29
193,North,1,35.06
194,North,1,66.3
195,West,0,75.18
196,South,0,38.26
197,West,1,77.16
198,South,1,56.01
199,West,0,40.92
200,West,0,21.06
201,East,1,44.24
202,North,1,55.97
203,East,1,39.48
204,West,0,37.38
205,North,1,37.36
206,West,0,25.61
207,North,0,62.35
208,West,0,36.67
209,South,1,54.87
210,South,1,52.24
211,East,0,40.05
212,South,0,85.94
213,West,1,47.6
214,West,1,62.88
215,South,0,47.73
216,East,0,34.66
217,North,0,28.24
218,East,1,48.04
219,East,0,48.39
