sub_id,plan,price_eur
EU0000,basic,999
EU0001,pro,1999
EU0002,basic,1999
EU0003,basic,1999
EU0004,basic,2999
EU0005,pro,999
EU0006,pro,1999
EU0007,basic,999
EU0008,pro,999
EU0009,pro,1999
EU0010,basic,999
EU0011,basic,999
EU0012,basic,999
EU0013,pro,999
EU0014,pro,1999
EU0015,pro,2999
EU0016,pro,2999
EU0017,pro,2999
EU0018,basic,999
EU0019,basic,1999
EU0020,pro,1999
EU0021,pro,1999
EU0022,pro,999
EU0023,basic,2999
EU0024,basic,1999
EU0025,basic,999
EU0026,basic,999
EU0027,pro,1999
EU0028,pro,2999
EU0029,pro,999
EU0030,pro,2999
EU0031,pro,999
EU0032,pro,1999
EU0033,pro,999
EU0034,pro,2999
EU0035,basic,2999
EU0036,pro,1999
EU0037,pro,999
EU0038,basic,999
EU0039,pro,999
EU0040,basic,999
EU0041,pro,2999
EU0042,basic,2999
EU0043,pro,999
EU0044,basic,1999
EU0045,pro,2999
EU0046,pro,2999
EU0047,pro,999
EU0048,basic,2999
EU0049,pro,2999
EU0050,pro,999
EU0051,pro,2999
EU0052,pro,2999
EU0053,pro,1999
EU0054,pro,999
EU0055,basic,2999
EU0056,basic,2999
EU0057,pro,999
EU0058,pro,1999
EU0059,pro,2999
EU0060,pro,999
EU0061,pro,2999
EU0062,basic,1999
EU0063,basic,999
EU0064,basic,999
EU0065,pro,2999
EU0066,pro,2999
EU0067,pro,999
EU0068,basic,1999
EU0069,basic,1999
EU0070,pro,1999
EU0071,basic,1999
EU0072,pro,1999
EU0073,basic,2999
EU0074,pro,999
EU0075,basic,1999
EU0076,basic,999
EU0077,basic,999
EU0078,pro,999
EU0079,pro,2999
EU0080,pro,1999
EU0081,basic,999
EU0082,basic,2999
EU0083,basic,999
EU0084,basic,2999
EU0085,basic,1999
EU0086,basic,999
EU0087,pro,999
EU0088,pro,2999
EU0089,basic,1999
EU0090,basic,999
EU0091,basic,1999
EU0092,pro,999
EU0093,pro,2999
EU0094,pro,999
EU0095,basic,1999
EU0096,basic,2999
EU0097,basic,1999
EU0098,basic,1999
EU0099,pro,999
EU0100,pro,1999
EU0101,basic,2999
EU0102,basic,1999
EU0103,pro,999
EU0104,pro,999
EU0105,basic,999
EU0106,pro,2999
EU0107,basic,999
EU0108,pro,1999
EU0109,basic,999
EU0110,pro,999
EU0111,pro,999
EU0112,pro,999
EU0113,pro,2999
EU0114,pro,1999
EU0115,basic,1999
EU0116,basic,1999
EU0117,pro,2999
EU0118,pro,1999
EU0119,basic,2999
EU0120,pro,999
EU0121,pro,2999
EU0122,basic,1999
EU0123,basic,999
EU0124,pro,999
EU0125,basic,999
EU0126,pro,1999
EU0127,basic,1999
EU0128,basic,1999
EU0129,pro,2999
EU0130,basic,1999
EU0131,basic,1999
EU0132,pro,999
EU0133,pro,1999
EU0134,pro,1999
EU0135,basic,2999
EU0136,basic,999
EU0137,basic,999
EU0138,pro,999
EU0139,basic,999
EU0140,basic,1999
EU0141,pro,2999
EU0142,basic,1999
EU0143,pro,2999
EU0144,basic,1999
EU0145,basic,1999
EU0146,pro,1999
EU0147,basic,999
EU0148,pro,2999
EU0149,basic,1999
