sub_id,plan,price_usd
US0000,pro,19.99
US0001,basic,19.99
US0002,pro,29.99
US0003,pro,19.99
US0004,basic,19.99
US0005,basic,19.99
US0006,basic,19.99
US0007,basic,29.99
US0008,basic,9.99
US0009,pro,9.99
US0010,basic,9.99
US0011,basic,9.99
US0012,basic,19.99
US0013,pro,29.99
US0014,basic,29.99
US0015,basic,29.99
US0016,basic,19.99
US0017,basic,9.99
US0018,pro,19.99
US0019,pro,29.99
US0020,basic,29.99
US0021,pro,29.99
US0022,basic,29.99
US0023,pro,29.99
US0024,basic,29.99
US0025,pro,19.99
US0026,basic,19.99
US0027,pro,29.99
US0028,pro,19.99
US0029,basic,19.99
US0030,basic,29.99
US0031,basic,9.99
US0032,pro,9.99
US0033,pro,19.99
US0034,basic,29.99
US0035,basic,19.99
US0036,basic,9.99
US0037,pro,29.99
US0038,basic,19.99
US0039,basic,19.99
US0040,basic,29.99
US0041,basic,19.99
US0042,basic,19.99
US0043,pro,29.99
US0044,basic,29.99
US0045,pro,29.99
US0046,pro,9.99
US0047,pro,19.99
US0048,pro,9.99
US0049,pro,29.99
US0050,basic,9.99
US0051,pro,19.99
US0052,basic,29.99
US0053,pro,19.99
US0054,basic,9.99
US0055,pro,9.99
US0056,pro,19.99
US0057,basic,19.99
US0058,pro,9.99
US0059,pro,29.99
US0060,basic,9.99
US0061,pro,9.99
US0062,basic,29.99
US0063,basic,9.99
US0064,basic,19.99
US0065,pro,9.99
US0066,pro,9.99
US0067,basic,19.99
US0068,pro,29.99
US0069,pro,19.99
US0070,basic,29.99
US0071,basic,29.99
US0072,basic,29.99
US0073,basic,29.99
US0074,pro,9.99
US0075,basic,29.99
US0076,basic,9.99
US0077,basic,19.99
US0078,pro,19.99
US0079,basic,29.99
US0080,basic,9.99
US0081,pro,9.99
US0082,pro,29.99
US0083,pro,9.99
US0084,pro,29.99
US0085,pro,9.99
US0086,basic,9.99
US0087,pro,19.99
US0088,pro,19.99
US0089,pro,19.99
US0090,basic,19.99
US0091,basic,9.99
US0092,basic,9.99
US0093,basic,9.99
US0094,basic,29.99
US0095,basic,9.99
US0096,pro,29.99
US0097,basic,9.99
US0098,basic,29.99
US0099,basic,29.99
US0100,basic,9.99
US0101,basic,19.99
US0102,pro,19.99
US0103,pro,29.99
US0104,basic,29.99
US0105,pro,9.99
US0106,basic,29.99
US0107,pro,19.99
US0108,pro,29.99
US0109,basic,9.99
US0110,basic,29.99
US0111,basic,29.99
US0112,pro,29.99
US0113,pro,9.99
US0114,basic,9.99
US0115,pro,29.99
US0116,basic,29.99
US0117,pro,19.99
US0118,pro,29.99
US0119,basic,29.99
US0120,basic,29.99
US0121,pro,19.99
US0122,pro,9.99
US0123,basic,29.99
US0124,basic,9.99
US0125,pro,29.99
US0126,pro,9.99
US0127,basic,9.99
US0128,pro,19.99
US0129,pro,9.99
US0130,basic,9.99
US0131,basic,29.99
US0132,pro,9.99
US0133,pro,19.99
US0134,pro,19.99
US0135,pro,9.99
US0136,pro,19.99
US0137,pro,19.99
US0138,basic,19.99
US0139,pro,29.99
US0140,pro,29.99
US0141,basic,29.99
US0142,pro,9.99
US0143,basic,29.99
US0144,basic,19.99
US0145,pro,29.99
US0146,basic,9.99
US0147,pro,29.99
US0148,basic,9.99
US0149,basic,19.99
US0150,basic,9.99
US0151,basic,9.99
US0152,basic,9.99
US0153,pro,19.99
US0154,pro,19.99
US0155,basic,29.99
US0156,pro,9.99
US0157,basic,29.99
US0158,pro,19.99
US0159,pro,19.99
US0160,pro,29.99
US0161,basic,29.99
US0162,pro,29.99
US0163,pro,9.99
US0164,basic,29.99
US0165,basic,19.99
US0166,basic,19.99
US0167,basic,29.99
US0168,pro,29.99
US0169,pro,29.99
