customer_id,segment
P032,Enterprise
P007,Mid
P000,SMB
P031,Mid
P034,Mid
P023,Enterprise
P039,Mid
P021,Enterprise
P029,Mid
P043,Mid
P003,Mid
P040,Mid
P049,Enterprise
P004,Mid
P006,Mid
P030,Enterprise
P028,Mid
P014,SMB
P024,SMB
P029,Enterprise
P019,SMB
P037,Mid
P036,Mid
P019,Mid
P038,Mid
P002,Mid
P017,Enterprise
P028,Enterprise
P021,Mid
P042,Mid
P018,Mid
P022,SMB
P006,Mid
P017,Mid
P048,SMB
P005,Enterprise
P041,Mid
P031,Mid
P027,SMB
P003,Mid
P012,Enterprise
P002,Enterprise
P008,Mid
P046,SMB
P004,SMB
P044,Mid
P033,Mid
P047,SMB
P026,Mid
P013,Enterprise
P011,Enterprise
P001,Enterprise
P025,Mid
P016,SMB
P043,Mid
P015,Mid
P045,SMB
P042,SMB
P020,Enterprise
P035,Mid
P009,SMB
P010,Mid
