order_id,customer_id,revenue
Q0000,P044,480.16
Q0001,P040,234.47
Q0002,P023,661.72
Q0003,P033,767.11
Q0004,P033,230.87
Q0005,P023,231.73
Q0006,P020,391.09
Q0007,P048,804.6
Q0008,P022,303.53
Q0009,P042,458.01
Q0010,P019,244.55
Q0011,P012,99.28
Q0012,P042,794.16
Q0013,P028,130.04
Q0014,P029,566.16
Q0015,P047,603.86
Q0016,P004,213.57
Q0017,P039,267.0
Q0018,P010,644.76
Q0019,P018,310.94
Q0020,P041,1078.79
Q0021,P023,511.65
Q0022,P008,198.91
Q0023,P025,335.94
Q0024,P037,723.87
Q0025,P045,670.44
Q0026,P004,407.06
Q0027,P035,341.51
Q0028,P039,183.3
Q0029,P019,716.87
Q0030,P011,512.21
Q0031,P023,297.81
Q0032,P008,740.88
Q0033,P004,606.07
Q0034,P012,319.41
Q0035,P024,571.33
Q0036,P032,160.23
Q0037,P011,249.99
Q0038,P013,414.49
Q0039,P004,919.75
Q0040,P024,428.07
Q0041,P004,466.57
Q0042,P015,289.21
Q0043,P010,568.58
Q0044,P000,483.11
Q0045,P034,596.71
Q0046,P001,459.08
Q0047,P008,176.03
Q0048,P019,406.98
Q0049,P028,502.42
Q0050,P049,515.66
Q0051,P030,728.88
Q0052,P016,359.48
Q0053,P048,456.85
Q0054,P036,210.45
Q0055,P022,348.29
Q0056,P020,305.44
Q0057,P038,457.48
Q0058,P001,605.3
Q0059,P001,431.23
Q0060,P001,430.62
Q0061,P032,197.41
Q0062,P021,384.4
Q0063,P049,318.34
Q0064,P031,385.04
Q0065,P002,416.6
Q0066,P046,742.56
Q0067,P045,354.18
Q0068,P012,128.82
Q0069,P007,787.79
Q0070,P006,421.35
Q0071,P033,366.55
Q0072,P003,342.88
Q0073,P001,635.23
Q0074,P016,383.83
Q0075,P003,283.83
Q0076,P010,436.01
Q0077,P006,649.33
Q0078,P044,238.23
Q0079,P045,486.61
Q0080,P008,605.75
Q0081,P039,672.61
Q0082,P004,298.36
Q0083,P033,481.01
Q0084,P046,418.79
Q0085,P032,1150.96
Q0086,P011,111.23
Q0087,P014,231.9
Q0088,P045,150.33
Q0089,P026,747.25
Q0090,P003,213.45
Q0091,P024,619.98
Q0092,P025,234.04
Q0093,P047,687.52
Q0094,P043,223.42
Q0095,P022,142.86
Q0096,P013,643.04
Q0097,P037,586.54
Q0098,P045,589.69
Q0099,P017,850.07
Q0100,P006,333.52
Q0101,P046,666.67
Q0102,P011,374.13
Q0103,P042,591.02
Q0104,P047,303.23
Q0105,P049,204.39
Q0106,P038,235.62
Q0107,P011,439.6
Q0108,P016,332.49
Q0109,P043,706.91
Q0110,P016,755.57
Q0111,P023,273.51
Q0112,P032,515.73
Q0113,P025,432.98
Q0114,P042,440.35
Q0115,P027,520.28
Q0116,P030,632.34
Q0117,P004,379.99
Q0118,P032,586.01
Q0119,P044,489.11
Q0120,P022,769.26
Q0121,P030,420.33
Q0122,P014,562.76
Q0123,P005,252.76
Q0124,P020,486.09
Q0125,P036,179.2
Q0126,P016,246.84
Q0127,P005,814.28
Q0128,P014,453.46
Q0129,P019,771.36
Q0130,P023,421.35
Q0131,P033,412.88
Q0132,P005,587.74
Q0133,P023,249.49
Q0134,P038,650.47
Q0135,P003,211.72
Q0136,P046,580.0
Q0137,P031,552.87
Q0138,P025,197.61
Q0139,P018,367.69
Q0140,P022,352.78
Q0141,P019,636.57
Q0142,P034,403.06
Q0143,P008,214.66
Q0144,P035,307.44
Q0145,P009,216.29
Q0146,P047,317.88
Q0147,P049,327.84
Q0148,P009,158.02
Q0149,P030,766.98
Q0150,P042,473.14
Q0151,P029,266.75
Q0152,P030,166.75
Q0153,P039,540.25
Q0154,P002,439.96
Q0155,P019,557.13
Q0156,P002,240.04
Q0157,P007,676.84
Q0158,P026,805.66
Q0159,P030,542.07
Q0160,P044,338.59
Q0161,P020,810.9
Q0162,P040,672.87
Q0163,P020,135.43
Q0164,P002,275.12
Q0165,P004,462.83
Q0166,P042,445.41
Q0167,P021,461.34
Q0168,P010,577.18
Q0169,P002,173.99
Q0170,P010,328.72
Q0171,P045,615.13
Q0172,P007,1031.98
Q0173,P018,369.35
Q0174,P014,343.87
Q0175,P035,266.59
Q0176,P019,310.96
Q0177,P029,176.42
Q0178,P003,790.44
Q0179,P022,482.16
Q0180,P027,643.52
Q0181,P016,648.03
Q0182,P032,369.39
Q0183,P001,646.47
Q0184,P003,330.39
Q0185,P032,223.08
Q0186,P030,780.67
Q0187,P004,474.42
Q0188,P028,182.53
Q0189,P011,360.06
Q0190,P024,560.63
Q0191,P047,271.89
Q0192,P009,347.23
Q0193,P018,112.6
Q0194,P039,362.31
Q0195,P018,134.68
Q0196,P040,482.37
Q0197,P034,420.1
Q0198,P026,268.43
Q0199,P013,332.13
Q0200,P039,396.81
Q0201,P018,626.36
Q0202,P046,782.58
Q0203,P015,665.82
Q0204,P004,467.9
Q0205,P034,407.07
Q0206,P019,346.77
Q0207,P003,703.17
Q0208,P041,552.48
Q0209,P019,348.24
Q0210,P046,483.89
Q0211,P049,446.35
Q0212,P044,399.62
Q0213,P032,203.07
Q0214,P011,235.95
Q0215,P023,576.47
Q0216,P041,557.04
Q0217,P014,97.38
Q0218,P035,482.26
Q0219,P001,287.1
