facility_id,lat,lon,name,dea_no
F000,34.22089,-118.43001,Acme OTP 0,X9996347
F001,34.29921,-118.41992,Acme OTP 1,X6014962
F002,34.00055,-118.39035,Acme OTP 2,X8962008
F003,34.05435,-118.33352,Acme OTP 3,X2031616
F004,34.1619,-118.49203,Acme OTP 4,X1167095
F005,34.18011,-118.45829,Acme OTP 5,X6950613
F006,34.11525,-118.45505,Acme OTP 6,X8085844
F007,34.08828,-118.3786,Acme OTP 7,X3443389
F008,34.16033,-118.31918,Acme OTP 8,X3925031
F009,34.23314,-118.40664,Acme OTP 9,X4933937
F010,34.22067,-118.33507,Acme OTP 10,X4018944
F011,34.12105,-118.36237,Acme OTP 11,X1274159
F012,34.02452,-118.47338,Acme OTP 12,X1331555
F013,34.24453,-118.43215,Acme OTP 13,X1779073
F014,34.18385,-118.44541,Acme OTP 14,X2168551
F015,34.06374,-118.46184,Acme OTP 15,X7872407
F016,34.07583,-118.44832,Acme OTP 16,X4230741
F017,34.0453,-118.34517,Acme OTP 17,X3238306
F018,34.29545,-118.30652,Acme OTP 18,X8772754
F019,34.08716,-118.45272,Acme OTP 19,X1021139
F020,34.11769,-118.38406,Acme OTP 20,X9395327
F021,34.28275,-118.32224,Acme OTP 21,X9394554
F022,34.06384,-118.38582,Acme OTP 22,X9379910
F023,34.04941,-118.45106,Acme OTP 23,X3708201
F024,34.25536,-118.36779,Acme OTP 24,X2145852
F025,34.21184,-118.37769,Acme OTP 25,X3119844
F026,34.04063,-118.44498,Acme OTP 26,X2449789
F027,34.28129,-118.30178,Acme OTP 27,X5161872
F028,34.11137,-118.3693,Acme OTP 28,X9944024
F029,34.20305,-118.41187,Acme OTP 29,X3437933
F030,34.00084,-118.3916,Acme OTP 30,X7512416
F031,34.20676,-118.49929,Acme OTP 31,X6588791
F032,34.27964,-118.46967,Acme OTP 32,X8180897
F033,34.15441,-118.48915,Acme OTP 33,X8786688
F034,34.23957,-118.35672,Acme OTP 34,X1947226
F035,34.04621,-118.41207,Acme OTP 35,X8642182
F036,34.04338,-118.33419,Acme OTP 36,X4636565
F037,34.18508,-118.44188,Acme OTP 37,X7443105
F038,34.012,-118.37078,Acme OTP 38,X6182702
F039,34.169,-118.31352,Acme OTP 39,X2763329
F040,34.29751,-118.34041,Acme OTP 40,X6255207
F041,34.05734,-118.38853,Acme OTP 41,X8793289
F042,34.07347,-118.42018,Acme OTP 42,X9765708
F043,34.05299,-118.33769,Acme OTP 43,X7180840
F044,34.10907,-118.32742,Acme OTP 44,X9945724
F045,34.18186,-118.40464,Acme OTP 45,X2895997
F046,34.05718,-118.49841,Acme OTP 46,X7630414
F047,34.02452,-118.47338,Acme OTP 47,X2840550
F048,34.19273,-118.46502,Acme OTP 48,X3359939
F049,34.1249,-118.38488,Acme OTP 49,X8228523
F050,34.02696,-118.46013,Acme OTP 50,X8249579
F051,34.1947,-118.38385,Acme OTP 51,X6017804
F052,34.1631,-118.49533,Acme OTP 52,X5573599
F053,34.20724,-118.37781,Acme OTP 53,X3081430
F054,34.16156,-118.41366,Acme OTP 54,X1785091
F055,34.00807,-118.48342,Acme OTP 55,X8498156
F056,34.23004,-118.30929,Acme OTP 56,X8649254
F057,34.25965,-118.37842,Acme OTP 57,X4887791
F058,34.00608,-118.33955,Acme OTP 58,X5112254
F059,34.25458,-118.48191,Acme OTP 59,X4144200
