user_id,treated,converted
0,0,0
1,1,0
2,0,0
3,0,1
4,0,0
5,1,0
6,1,1
7,1,0
8,0,0
9,1,0
10,1,0
11,1,0
12,0,1
13,0,0
14,1,0
15,0,0
16,0,0
17,0,0
18,0,0
19,0,0
20,0,0
21,1,0
22,1,1
23,1,0
24,0,0
25,1,1
26,1,1
27,0,0
28,0,0
29,1,0
30,0,1
31,1,1
32,1,0
33,1,1
34,0,1
35,0,1
36,0,0
37,1,0
38,1,0
39,0,0
40,1,0
41,1,1
42,1,0
43,0,0
44,1,0
45,1,0
46,1,0
47,1,1
48,1,0
49,1,0
50,1,1
51,1,1
52,1,1
53,1,1
54,0,1
55,1,0
56,1,1
57,0,1
58,0,0
59,0,0
60,1,0
61,1,0
62,1,0
63,0,1
64,0,0
65,1,1
66,1,0
67,0,0
68,1,0
69,1,1
70,0,1
71,0,0
72,1,0
73,1,0
74,0,1
75,0,0
76,1,1
77,0,0
78,0,1
79,1,1
80,0,0
81,1,0
82,0,0
83,0,1
84,1,1
85,1,1
86,0,0
87,1,0
88,1,0
89,1,1
90,1,1
91,0,0
92,0,0
93,1,1
94,0,1
95,0,0
96,0,1
97,1,0
98,0,0
99,1,1
100,0,1
101,0,0
102,0,0
103,0,1
104,1,0
105,0,0
106,0,1
107,1,0
108,0,1
109,0,1
110,0,0
111,0,0
112,1,0
113,0,0
114,1,0
115,0,0
116,0,1
117,1,0
118,1,0
119,0,1
120,0,1
121,0,0
122,0,1
123,1,1
124,1,0
125,0,0
126,0,1
127,1,0
128,1,0
129,0,0
130,1,0
131,0,0
132,1,1
133,1,0
134,0,1
135,0,0
136,1,0
137,1,1
138,1,0
139,0,0
140,1,1
141,0,0
142,1,0
143,1,1
144,1,0
145,1,1
146,1,1
147,0,1
148,0,0
149,0,0
150,0,0
151,1,0
152,1,1
153,1,0
154,1,0
155,1,0
156,1,1
157,0,0
158,0,0
159,0,1
160,1,0
161,0,1
162,0,0
163,1,1
164,0,1
165,0,0
166,0,1
167,1,1
168,1,0
169,0,1
170,0,0
171,0,1
172,0,0
173,0,0
174,0,0
175,0,1
176,0,0
177,0,0
178,1,1
179,0,0
180,1,0
181,1,0
182,1,0
183,1,1
184,1,1
185,1,1
186,1,0
187,0,0
188,1,1
189,0,0
190,1,0
191,1,0
192,1,1
193,1,1
194,0,0
195,1,0
196,1,1
197,1,0
198,1,0
199,1,1
200,1,1
201,0,0
202,0,0
203,0,1
204,1,0
205,1,0
206,1,1
207,1,0
208,0,0
209,1,0
210,0,0
211,0,0
212,0,1
213,0,1
214,1,0
215,1,0
216,1,1
217,0,1
218,0,0
219,1,1
220,0,0
221,1,0
222,1,0
223,0,1
224,1,0
225,0,1
226,0,0
227,0,1
228,1,0
229,1,0
230,0,1
231,0,1
232,0,1
233,0,1
234,1,0
235,0,0
236,1,0
237,1,0
238,1,0
239,1,0
240,0,0
241,0,0
242,1,0
243,0,1
244,1,0
245,1,0
246,0,1
247,1,1
248,0,0
249,0,0
250,1,0
251,1,1
252,0,1
253,1,0
254,0,1
255,1,0
256,1,0
257,0,1
258,0,0
259,1,0
260,0,0
261,0,0
262,1,0
263,1,0
264,0,0
265,1,1
266,0,0
267,1,0
268,0,1
269,1,0
270,0,0
271,0,1
272,1,0
273,1,1
274,1,0
275,0,0
276,1,1
277,1,1
278,0,0
279,0,1
280,0,0
281,0,0
282,1,0
283,1,0
284,1,1
285,0,0
286,0,0
287,0,1
288,1,0
289,0,0
290,0,1
291,1,0
292,1,0
293,0,0
294,0,0
295,1,1
296,0,1
297,0,0
298,1,1
299,1,1
300,0,1
301,1,0
302,0,1
303,0,0
304,0,0
305,1,1
306,0,0
307,1,0
308,0,0
309,0,1
310,1,0
311,0,0
312,1,1
313,0,0
314,0,1
315,1,0
316,1,1
317,1,1
318,0,1
319,0,1
320,1,1
321,0,1
322,1,0
323,0,0
324,0,1
325,1,1
326,0,1
327,1,0
328,1,0
329,1,1
330,0,0
331,1,1
332,0,0
333,1,1
334,0,0
335,0,1
336,1,1
337,1,1
338,0,0
339,0,0
340,1,0
341,0,0
342,0,0
343,0,1
344,0,1
345,0,0
346,0,0
347,1,0
348,0,1
349,0,0
350,1,1
351,0,0
352,1,0
353,0,0
354,1,0
355,0,0
356,1,1
357,0,0
358,0,0
359,1,0
360,0,0
361,0,0
362,0,0
363,1,1
364,0,0
365,0,1
366,0,0
367,1,0
368,0,1
369,1,1
370,1,1
371,0,1
372,1,1
373,1,0
374,1,0
375,0,0
376,0,1
377,0,0
378,0,1
379,1,0
380,1,1
381,0,1
382,1,1
383,0,0
384,0,0
385,1,1
386,0,1
387,1,0
388,1,0
389,1,1
390,0,1
391,1,0
392,0,1
393,1,1
394,1,1
395,0,0
396,0,0
397,0,0
398,0,0
399,1,0
400,1,0
401,1,0
402,0,0
403,1,0
404,1,0
405,0,0
406,1,0
407,0,0
408,0,0
409,1,1
410,0,1
411,0,0
412,1,1
413,1,1
414,1,0
415,0,0
416,0,0
417,0,0
418,0,0
419,1,0
420,1,0
421,1,0
422,1,1
423,0,1
424,1,0
425,1,1
426,0,0
427,0,1
428,1,1
429,0,0
430,1,0
431,0,0
432,0,0
433,1,0
434,0,0
435,1,0
436,0,0
437,1,0
438,1,0
439,1,0
440,0,0
441,0,0
442,0,1
443,0,1
444,1,1
445,0,1
446,0,0
447,1,0
448,0,0
449,1,1
450,1,1
451,1,0
452,1,1
453,0,1
454,0,0
455,0,0
456,0,1
457,0,1
458,1,1
459,1,0
460,1,0
461,1,1
462,1,0
463,0,0
464,1,0
465,1,0
466,0,0
467,0,0
468,1,0
469,0,0
470,0,0
471,1,0
472,0,1
473,1,0
474,0,1
475,1,0
476,1,0
477,1,1
478,0,0
479,0,0
480,1,0
481,1,1
482,1,0
483,0,1
484,1,0
485,1,0
486,1,1
487,0,0
488,1,1
489,1,1
490,1,0
491,1,0
492,1,0
493,1,1
494,0,0
495,0,0
496,1,0
497,0,0
498,1,1
499,0,0
500,0,0
501,1,1
502,1,0
503,0,0
504,0,0
505,0,1
506,1,0
507,0,1
508,1,0
509,1,0
510,1,0
511,1,0
512,1,0
513,1,0
514,1,1
515,1,0
516,0,0
517,1,0
518,1,1
519,0,0
520,0,0
521,1,1
522,1,0
523,1,0
524,1,0
525,1,0
526,1,1
527,1,0
528,1,0
529,1,1
530,0,0
531,1,1
532,0,1
533,0,0
534,0,1
535,0,0
536,1,0
537,0,1
538,0,0
539,1,1
540,1,0
541,1,0
542,1,1
543,1,0
544,0,1
545,1,1
546,1,0
547,0,0
548,1,1
549,0,0
550,0,0
551,0,1
552,0,0
553,1,0
554,0,0
555,0,1
556,0,1
557,0,0
558,0,0
559,1,1
560,0,0
561,1,0
562,1,0
563,1,0
564,0,0
565,0,1
566,1,0
567,0,0
568,1,0
569,1,0
570,1,0
571,1,1
572,1,1
573,0,0
574,1,1
575,1,0
576,1,0
577,1,0
578,0,0
579,1,0
580,1,1
581,0,0
582,1,0
583,0,0
584,0,0
585,0,1
586,1,0
587,1,1
588,1,0
589,1,0
590,0,0
591,1,0
592,1,1
593,1,1
594,0,0
595,1,0
596,1,0
597,0,0
598,0,0
599,0,0
600,0,0
601,1,0
602,1,1
603,0,0
604,1,0
605,0,0
606,0,0
607,0,0
608,1,0
609,0,0
610,1,1
611,0,0
612,1,0
613,1,0
614,0,0
615,0,0
616,0,0
617,0,0
618,1,0
619,0,0
620,1,0
621,0,0
622,1,1
623,0,0
624,0,1
625,0,0
626,1,0
627,1,1
628,0,0
629,0,0
630,0,0
631,0,0
632,1,0
633,1,0
634,0,0
635,1,0
636,1,0
637,1,0
638,1,1
