city,year,treated,outcome
m_00,2018,1,47.2
m_00,2019,1,51.25
m_00,2020,1,52.67
m_00,2021,1,56.5
m_00,2022,1,62.52
m_00,2023,1,62.12
m_00,2024,1,65.22
m_01,2018,1,44.67
m_01,2019,1,49.81
m_01,2020,1,49.79
m_01,2021,1,52.43
m_01,2022,1,57.05
m_01,2023,1,58.33
m_01,2024,1,62.56
m_02,2018,1,46.84
m_02,2019,1,44.72
m_02,2020,1,49.37
m_02,2021,1,51.29
m_02,2022,1,56.18
m_02,2023,1,56.25
m_02,2024,1,62.61
m_03,2018,1,46.48
m_03,2019,1,47.57
m_03,2020,1,51.79
m_03,2021,1,54.55
m_03,2022,1,54.55
m_03,2023,1,58.25
m_03,2024,1,61.76
m_04,2018,1,52.75
m_04,2019,1,55.37
m_04,2020,1,55.59
m_04,2021,1,55.89
m_04,2022,1,61.16
m_04,2023,1,65.86
m_04,2024,1,65.95
m_05,2018,1,47.24
m_05,2019,1,51.26
m_05,2020,1,55.1
m_05,2021,1,52.73
m_05,2022,1,59.29
m_05,2023,1,59.97
m_05,2024,1,61.17
m_06,2018,1,54.49
m_06,2019,1,56.63
m_06,2020,1,60.0
m_06,2021,1,61.25
m_06,2022,1,66.25
m_06,2023,1,66.92
m_06,2024,1,73.44
m_07,2018,1,52.34
m_07,2019,1,55.3
m_07,2020,1,56.58
m_07,2021,1,61.6
m_07,2022,1,64.3
m_07,2023,1,63.13
m_07,2024,1,68.76
m_08,2018,0,54.94
m_08,2019,0,53.69
m_08,2020,0,54.05
m_08,2021,0,55.66
m_08,2022,0,57.51
m_08,2023,0,57.77
m_08,2024,0,58.16
m_09,2018,0,47.72
m_09,2019,0,47.42
m_09,2020,0,50.98
m_09,2021,0,50.36
m_09,2022,0,52.15
m_09,2023,0,56.31
m_09,2024,0,51.06
m_10,2018,0,55.28
m_10,2019,0,56.87
m_10,2020,0,57.09
m_10,2021,0,58.83
m_10,2022,0,60.25
m_10,2023,0,60.7
m_10,2024,0,63.59
m_11,2018,0,49.96
m_11,2019,0,48.58
m_11,2020,0,48.63
m_11,2021,0,50.59
m_11,2022,0,49.1
m_11,2023,0,53.85
m_11,2024,0,54.84
m_12,2018,0,47.22
m_12,2019,0,50.9
m_12,2020,0,50.88
m_12,2021,0,52.46
m_12,2022,0,50.9
m_12,2023,0,53.25
m_12,2024,0,54.49
m_13,2018,0,60.85
m_13,2019,0,64.05
m_13,2020,0,62.74
m_13,2021,0,64.41
m_13,2022,0,67.33
m_13,2023,0,63.38
m_13,2024,0,64.04
m_14,2018,0,50.1
m_14,2019,0,54.27
m_14,2020,0,50.58
m_14,2021,0,55.63
m_14,2022,0,53.22
m_14,2023,0,55.41
m_14,2024,0,53.87
m_15,2018,0,42.73
m_15,2019,0,45.15
m_15,2020,0,43.65
m_15,2021,0,43.74
m_15,2022,0,47.27
m_15,2023,0,42.08
m_15,2024,0,46.91
m_16,2018,0,50.91
m_16,2019,0,52.42
m_16,2020,0,55.0
m_16,2021,0,54.47
m_16,2022,0,53.01
m_16,2023,0,55.93
m_16,2024,0,54.45
m_17,2018,0,55.75
m_17,2019,0,55.92
m_17,2020,0,57.1
m_17,2021,0,56.58
m_17,2022,0,54.6
m_17,2023,0,56.69
m_17,2024,0,58.6
m_18,2018,0,56.14
m_18,2019,0,58.99
m_18,2020,0,56.03
m_18,2021,0,59.67
m_18,2022,0,55.03
m_18,2023,0,60.41
m_18,2024,0,58.87
m_19,2018,0,52.96
m_19,2019,0,53.1
m_19,2020,0,55.31
m_19,2021,0,57.08
m_19,2022,0,56.96
m_19,2023,0,59.99
m_19,2024,0,56.94
m_20,2018,0,49.75
m_20,2019,0,51.88
m_20,2020,0,53.65
m_20,2021,0,55.2
m_20,2022,0,53.64
m_20,2023,0,51.97
m_20,2024,0,54.23
m_21,2018,0,51.31
m_21,2019,0,53.11
m_21,2020,0,54.34
m_21,2021,0,52.22
m_21,2022,0,52.08
m_21,2023,0,51.95
m_21,2024,0,55.25
m_22,2018,0,59.03
m_22,2019,0,61.71
m_22,2020,0,58.74
m_22,2021,0,60.31
m_22,2022,0,61.42
m_22,2023,0,61.19
m_22,2024,0,62.53
m_23,2018,0,51.82
m_23,2019,0,53.62
m_23,2020,0,53.73
m_23,2021,0,54.62
m_23,2022,0,53.13
m_23,2023,0,54.71
m_23,2024,0,55.69
