tx_id,month,amount,type
R00000,2025-09,143.35,sale
R00001,2025-06,232.45,sale
R00002,2025-12,316.04,sale
R00003,2025-05,-152.12,refund
R00004,2025-12,583.66,sale
R00005,2025-09,-147.4,refund
R00006,2025-04,357.15,sale
R00007,2025-09,214.74,sale
R00008,2025-07,-143.3,refund
R00009,2025-06,224.37,sale
R00010,2025-02,574.02,sale
R00011,2025-06,345.85,sale
R00012,2025-03,285.61,sale
R00013,2025-01,-290.69,refund
R00014,2025-02,142.88,sale
R00015,2025-11,358.02,sale
R00016,2025-01,319.32,sale
R00017,2025-06,394.65,sale
R00018,2025-09,280.2,sale
R00019,2025-06,286.63,sale
R00020,2025-04,208.8,sale
R00021,2025-01,118.28,sale
R00022,2025-01,147.41,sale
R00023,2025-12,362.38,sale
R00024,2025-04,35.97,sale
R00025,2025-08,-354.85,refund
R00026,2025-04,-288.06,refund
R00027,2025-06,367.3,sale
R00028,2025-08,57.82,sale
R00029,2025-03,-259.89,refund
R00030,2025-05,192.58,sale
R00031,2025-12,118.72,sale
R00032,2025-03,281.73,sale
R00033,2025-09,-258.89,refund
R00034,2025-11,321.37,sale
R00035,2025-11,131.23,sale
R00036,2025-07,310.94,sale
R00037,2025-01,343.27,sale
R00038,2025-12,23.25,sale
R00039,2025-12,-356.52,refund
R00040,2025-02,176.84,sale
R00041,2025-04,109.24,sale
R00042,2025-03,201.84,sale
R00043,2025-03,211.05,sale
R00044,2025-02,-209.15,refund
R00045,2025-01,450.86,sale
R00046,2025-12,111.71,sale
R00047,2025-03,159.2,sale
R00048,2025-10,239.69,sale
R00049,2025-04,-40.11,refund
R00050,2025-11,294.42,sale
R00051,2025-04,662.07,sale
R00052,2025-01,260.82,sale
R00053,2025-08,721.56,sale
R00054,2025-05,-660.17,refund
R00055,2025-02,264.73,sale
R00056,2025-02,-311.15,refund
R00057,2025-01,163.8,sale
R00058,2025-08,303.1,sale
R00059,2025-10,179.82,sale
R00060,2025-10,123.33,sale
R00061,2025-11,295.65,sale
R00062,2025-11,-370.8,refund
R00063,2025-02,-60.85,refund
R00064,2025-06,363.49,sale
R00065,2025-10,227.19,sale
R00066,2025-12,393.89,sale
R00067,2025-11,55.14,sale
R00068,2025-07,390.33,sale
R00069,2025-04,176.12,sale
R00070,2025-09,-241.17,refund
R00071,2025-12,170.58,sale
R00072,2025-03,104.13,sale
R00073,2025-07,207.45,sale
R00074,2025-06,-379.62,refund
R00075,2025-03,236.18,sale
R00076,2025-11,23.15,sale
R00077,2025-09,-181.8,refund
R00078,2025-02,105.62,sale
R00079,2025-12,156.15,sale
R00080,2025-02,86.92,sale
R00081,2025-08,462.03,sale
R00082,2025-09,334.33,sale
R00083,2025-10,-530.43,refund
R00084,2025-01,113.91,sale
R00085,2025-07,466.77,sale
R00086,2025-08,433.95,sale
R00087,2025-12,572.13,sale
R00088,2025-09,337.71,sale
R00089,2025-01,140.74,sale
R00090,2025-06,419.99,sale
R00091,2025-03,180.02,sale
R00092,2025-06,129.98,sale
R00093,2025-05,976.01,sale
R00094,2025-06,688.15,sale
R00095,2025-01,235.7,sale
R00096,2025-11,539.12,sale
R00097,2025-07,288.23,sale
R00098,2025-06,219.79,sale
R00099,2025-04,275.47,sale
R00100,2025-05,-297.62,refund
R00101,2025-12,-396.52,refund
R00102,2025-12,-213.27,refund
R00103,2025-03,426.24,sale
R00104,2025-01,302.44,sale
R00105,2025-08,233.52,sale
R00106,2025-08,129.82,sale
R00107,2025-06,-112.71,refund
R00108,2025-11,177.11,sale
R00109,2025-01,-161.37,refund
R00110,2025-11,92.51,sale
R00111,2025-04,-251.69,refund
R00112,2025-05,156.03,sale
R00113,2025-11,219.1,sale
R00114,2025-01,536.68,sale
R00115,2025-02,-143.0,refund
R00116,2025-06,224.14,sale
R00117,2025-06,212.07,sale
R00118,2025-03,691.82,sale
R00119,2025-10,225.5,sale
R00120,2025-12,-163.11,refund
R00121,2025-11,402.49,sale
R00122,2025-03,662.5,sale
R00123,2025-07,164.65,sale
R00124,2025-08,142.03,sale
R00125,2025-09,486.87,sale
R00126,2025-11,-168.12,refund
R00127,2025-02,-365.75,refund
R00128,2025-10,182.7,sale
R00129,2025-05,-380.81,refund
R00130,2025-09,225.34,sale
R00131,2025-05,62.58,sale
R00132,2025-02,472.86,sale
R00133,2025-06,325.0,sale
R00134,2025-09,478.93,sale
R00135,2025-04,-240.42,refund
R00136,2025-12,-309.42,refund
R00137,2025-08,-133.06,refund
R00138,2025-05,352.57,sale
R00139,2025-09,518.5,sale
R00140,2025-03,-201.57,refund
R00141,2025-03,-195.19,refund
R00142,2025-10,405.69,sale
R00143,2025-02,-213.14,refund
R00144,2025-05,-217.58,refund
R00145,2025-03,-358.35,refund
R00146,2025-06,674.05,sale
R00147,2025-07,343.62,sale
R00148,2025-04,97.31,sale
R00149,2025-03,181.72,sale
R00150,2025-08,200.64,sale
R00151,2025-03,571.08,sale
R00152,2025-06,227.71,sale
R00153,2025-06,-82.26,refund
R00154,2025-09,169.42,sale
R00155,2025-09,142.85,sale
R00156,2025-08,199.25,sale
R00157,2025-09,-444.06,refund
R00158,2025-04,-260.62,refund
R00159,2025-12,137.0,sale
R00160,2025-04,65.57,sale
R00161,2025-08,312.22,sale
R00162,2025-03,179.45,sale
R00163,2025-09,190.02,sale
R00164,2025-02,-322.05,refund
R00165,2025-01,121.95,sale
R00166,2025-02,191.77,sale
R00167,2025-09,333.01,sale
R00168,2025-10,454.95,sale
R00169,2025-12,-414.36,refund
R00170,2025-05,-455.66,refund
R00171,2025-03,370.54,sale
R00172,2025-04,264.84,sale
R00173,2025-10,149.81,sale
R00174,2025-03,212.44,sale
R00175,2025-10,144.64,sale
R00176,2025-08,275.34,sale
R00177,2025-04,411.33,sale
R00178,2025-10,132.64,sale
R00179,2025-12,-213.73,refund
R00180,2025-08,-427.81,refund
R00181,2025-12,198.77,sale
R00182,2025-12,107.19,sale
R00183,2025-02,187.11,sale
R00184,2025-03,100.03,sale
R00185,2025-03,188.58,sale
R00186,2025-08,487.38,sale
R00187,2025-07,315.89,sale
R00188,2025-12,-409.97,refund
R00189,2025-01,124.98,sale
R00190,2025-04,321.97,sale
R00191,2025-05,603.95,sale
R00192,2025-10,456.4,sale
R00193,2025-10,-157.59,refund
R00194,2025-05,140.14,sale
R00195,2025-03,215.32,sale
R00196,2025-10,112.52,sale
R00197,2025-02,142.53,sale
R00198,2025-12,-606.13,refund
R00199,2025-06,418.54,sale
R00200,2025-10,476.36,sale
R00201,2025-07,231.25,sale
R00202,2025-02,336.39,sale
R00203,2025-12,-370.36,refund
R00204,2025-12,-350.5,refund
R00205,2025-04,58.26,sale
R00206,2025-07,439.94,sale
R00207,2025-09,-148.8,refund
R00208,2025-01,263.79,sale
R00209,2025-04,-313.26,refund
R00210,2025-07,139.71,sale
R00211,2025-11,29.26,sale
R00212,2025-11,52.28,sale
R00213,2025-03,148.75,sale
R00214,2025-07,231.77,sale
R00215,2025-03,377.06,sale
R00216,2025-07,300.82,sale
R00217,2025-03,207.48,sale
R00218,2025-01,227.87,sale
R00219,2025-10,342.83,sale
R00220,2025-03,67.61,sale
R00221,2025-09,-202.87,refund
R00222,2025-01,169.33,sale
R00223,2025-01,-424.09,refund
R00224,2025-11,63.37,sale
R00225,2025-08,138.49,sale
R00226,2025-11,-253.02,refund
R00227,2025-05,88.74,sale
R00228,2025-06,111.64,sale
R00229,2025-01,295.51,sale
R00230,2025-06,391.99,sale
R00231,2025-07,272.24,sale
R00232,2025-07,207.62,sale
R00233,2025-12,-145.95,refund
R00234,2025-04,121.97,sale
R00235,2025-11,283.31,sale
R00236,2025-06,280.0,sale
R00237,2025-05,394.22,sale
R00238,2025-08,136.67,sale
R00239,2025-05,464.99,sale
R00240,2025-08,148.17,sale
R00241,2025-04,-244.11,refund
R00242,2025-06,-221.17,refund
R00243,2025-11,165.06,sale
R00244,2025-10,321.41,sale
R00245,2025-09,472.25,sale
R00246,2025-10,130.16,sale
R00247,2025-11,129.26,sale
R00248,2025-05,348.11,sale
R00249,2025-04,319.34,sale
R00250,2025-05,-259.07,refund
R00251,2025-02,559.2,sale
R00252,2025-10,-114.55,refund
R00253,2025-07,385.36,sale
R00254,2025-10,-267.8,refund
R00255,2025-01,145.77,sale
R00256,2025-02,-133.05,refund
R00257,2025-05,138.83,sale
R00258,2025-11,-631.23,refund
R00259,2025-06,386.28,sale
R00260,2025-07,364.04,sale
R00261,2025-06,190.99,sale
R00262,2025-10,364.82,sale
R00263,2025-08,172.17,sale
R00264,2025-10,306.59,sale
R00265,2025-09,69.69,sale
R00266,2025-12,209.03,sale
R00267,2025-10,-311.96,refund
R00268,2025-12,396.81,sale
R00269,2025-06,148.5,sale
R00270,2025-07,135.03,sale
R00271,2025-12,347.79,sale
R00272,2025-11,145.48,sale
R00273,2025-04,165.56,sale
R00274,2025-03,377.3,sale
R00275,2025-02,243.21,sale
R00276,2025-08,-559.68,refund
R00277,2025-06,258.17,sale
R00278,2025-11,320.51,sale
R00279,2025-06,-88.86,refund
R00280,2025-09,158.59,sale
R00281,2025-05,161.71,sale
R00282,2025-06,203.45,sale
R00283,2025-08,214.41,sale
R00284,2025-09,438.09,sale
R00285,2025-01,143.37,sale
R00286,2025-12,-782.66,refund
R00287,2025-09,501.92,sale
R00288,2025-02,-442.48,refund
R00289,2025-01,544.14,sale
R00290,2025-09,-193.67,refund
R00291,2025-03,453.85,sale
R00292,2025-01,657.69,sale
R00293,2025-01,-336.43,refund
R00294,2025-02,148.07,sale
R00295,2025-02,174.5,sale
R00296,2025-12,182.4,sale
R00297,2025-02,-557.34,refund
R00298,2025-03,-197.38,refund
R00299,2025-01,-207.02,refund
R00300,2025-09,116.8,sale
R00301,2025-04,152.61,sale
R00302,2025-10,165.44,sale
R00303,2025-10,703.3,sale
R00304,2025-08,226.87,sale
R00305,2025-09,-333.58,refund
R00306,2025-09,103.26,sale
R00307,2025-02,150.54,sale
R00308,2025-02,-483.16,refund
R00309,2025-02,355.96,sale
R00310,2025-12,-151.4,refund
R00311,2025-07,-392.84,refund
R00312,2025-07,190.52,sale
R00313,2025-06,93.04,sale
R00314,2025-09,85.81,sale
R00315,2025-06,86.62,sale
R00316,2025-09,655.01,sale
R00317,2025-11,158.18,sale
R00318,2025-11,316.61,sale
R00319,2025-09,-728.79,refund
R00320,2025-05,-389.57,refund
R00321,2025-06,-365.97,refund
R00322,2025-06,-299.6,refund
R00323,2025-06,163.19,sale
R00324,2025-12,146.48,sale
R00325,2025-01,165.09,sale
R00326,2025-08,217.26,sale
R00327,2025-04,108.26,sale
R00328,2025-03,115.66,sale
R00329,2025-09,338.78,sale
R00330,2025-03,227.83,sale
R00331,2025-04,-321.07,refund
R00332,2025-08,569.3,sale
R00333,2025-12,179.74,sale
R00334,2025-03,566.31,sale
R00335,2025-08,97.86,sale
R00336,2025-12,459.99,sale
R00337,2025-01,376.56,sale
R00338,2025-07,253.0,sale
R00339,2025-10,192.84,sale
R00340,2025-03,-245.87,refund
R00341,2025-09,-152.81,refund
R00342,2025-10,-341.74,refund
R00343,2025-01,-140.06,refund
R00344,2025-05,255.96,sale
R00345,2025-05,809.08,sale
R00346,2025-05,368.05,sale
R00347,2025-02,257.77,sale
R00348,2025-12,431.8,sale
R00349,2025-08,545.65,sale
R00350,2025-04,678.29,sale
R00351,2025-10,385.44,sale
R00352,2025-01,180.95,sale
R00353,2025-07,229.79,sale
R00354,2025-06,163.92,sale
R00355,2025-11,-225.72,refund
R00356,2025-03,143.17,sale
R00357,2025-01,-610.5,refund
R00358,2025-12,254.01,sale
R00359,2025-09,-239.79,refund
R00360,2025-07,301.15,sale
R00361,2025-09,248.86,sale
R00362,2025-10,170.52,sale
R00363,2025-05,81.26,sale
R00364,2025-06,108.64,sale
R00365,2025-11,172.01,sale
R00366,2025-05,199.83,sale
R00367,2025-10,148.7,sale
R00368,2025-10,-358.04,refund
R00369,2025-03,-311.6,refund
R00370,2025-05,470.64,sale
R00371,2025-11,215.5,sale
R00372,2025-01,767.43,sale
R00373,2025-02,102.3,sale
R00374,2025-11,487.66,sale
R00375,2025-12,737.76,sale
R00376,2025-06,263.22,sale
R00377,2025-06,990.14,sale
R00378,2025-03,190.55,sale
R00379,2025-03,200.68,sale
R00380,2025-12,-263.81,refund
R00381,2025-08,169.54,sale
R00382,2025-05,86.29,sale
R00383,2025-06,607.52,sale
R00384,2025-10,246.58,sale
R00385,2025-07,113.01,sale
R00386,2025-02,382.36,sale
