city,year,treated,outcome
city_00,2018,1,101.43
city_00,2019,1,103.17
city_00,2020,1,106.21
city_00,2021,1,110.39
city_00,2022,1,113.41
city_00,2023,1,116.08
city_00,2024,1,115.55
city_01,2018,1,94.83
city_01,2019,1,99.92
city_01,2020,1,101.53
city_01,2021,1,103.65
city_01,2022,1,108.2
city_01,2023,1,111.09
city_01,2024,1,111.16
city_02,2018,1,103.48
city_02,2019,1,107.76
city_02,2020,1,111.25
city_02,2021,1,111.41
city_02,2022,1,118.74
city_02,2023,1,117.31
city_02,2024,1,124.05
city_03,2018,1,104.79
city_03,2019,1,110.58
city_03,2020,1,109.9
city_03,2021,1,111.41
city_03,2022,1,117.18
city_03,2023,1,118.27
city_03,2024,1,122.99
city_04,2018,1,105.19
city_04,2019,1,104.69
city_04,2020,1,108.35
city_04,2021,1,112.47
city_04,2022,1,115.74
city_04,2023,1,116.92
city_04,2024,1,121.96
city_05,2018,1,90.94
city_05,2019,1,93.62
city_05,2020,1,97.36
city_05,2021,1,102.19
city_05,2022,1,104.03
city_05,2023,1,108.9
city_05,2024,1,107.29
city_06,2018,1,96.93
city_06,2019,1,98.15
city_06,2020,1,100.69
city_06,2021,1,100.57
city_06,2022,1,108.68
city_06,2023,1,108.26
city_06,2024,1,114.26
city_07,2018,1,90.68
city_07,2019,1,97.75
city_07,2020,1,95.73
city_07,2021,1,98.92
city_07,2022,1,103.32
city_07,2023,1,103.13
city_07,2024,1,109.73
city_08,2018,1,99.6
city_08,2019,1,101.52
city_08,2020,1,106.0
city_08,2021,1,107.85
city_08,2022,1,111.49
city_08,2023,1,113.55
city_08,2024,1,119.32
city_09,2018,1,98.51
city_09,2019,1,97.93
city_09,2020,1,102.07
city_09,2021,1,104.25
city_09,2022,1,109.51
city_09,2023,1,113.86
city_09,2024,1,116.13
city_10,2018,0,113.53
city_10,2019,0,110.21
city_10,2020,0,114.48
city_10,2021,0,116.93
city_10,2022,0,117.06
city_10,2023,0,116.66
city_10,2024,0,117.59
city_11,2018,0,97.37
city_11,2019,0,100.03
city_11,2020,0,103.53
city_11,2021,0,105.59
city_11,2022,0,102.5
city_11,2023,0,103.74
city_11,2024,0,106.43
city_12,2018,0,102.6
city_12,2019,0,102.22
city_12,2020,0,106.11
city_12,2021,0,107.2
city_12,2022,0,103.43
city_12,2023,0,104.08
city_12,2024,0,108.85
city_13,2018,0,99.21
city_13,2019,0,101.27
city_13,2020,0,102.86
city_13,2021,0,105.48
city_13,2022,0,105.32
city_13,2023,0,106.22
city_13,2024,0,107.15
city_14,2018,0,100.96
city_14,2019,0,101.5
city_14,2020,0,103.84
city_14,2021,0,102.29
city_14,2022,0,101.43
city_14,2023,0,106.84
city_14,2024,0,106.98
city_15,2018,0,120.18
city_15,2019,0,118.72
city_15,2020,0,119.13
city_15,2021,0,124.64
city_15,2022,0,123.35
city_15,2023,0,119.59
city_15,2024,0,122.14
city_16,2018,0,101.46
city_16,2019,0,98.94
city_16,2020,0,96.5
city_16,2021,0,102.93
city_16,2022,0,99.62
city_16,2023,0,102.67
city_16,2024,0,100.65
city_17,2018,0,95.59
city_17,2019,0,92.76
city_17,2020,0,95.19
city_17,2021,0,98.69
city_17,2022,0,97.86
city_17,2023,0,101.12
city_17,2024,0,99.22
city_18,2018,0,88.3
city_18,2019,0,92.44
city_18,2020,0,94.11
city_18,2021,0,93.36
city_18,2022,0,95.37
city_18,2023,0,96.2
city_18,2024,0,92.71
city_19,2018,0,92.46
city_19,2019,0,93.83
city_19,2020,0,94.59
city_19,2021,0,94.87
city_19,2022,0,94.7
city_19,2023,0,96.88
city_19,2024,0,97.68
city_20,2018,0,98.89
city_20,2019,0,97.96
city_20,2020,0,99.11
city_20,2021,0,100.63
city_20,2022,0,99.7
city_20,2023,0,104.71
city_20,2024,0,100.63
city_21,2018,0,100.88
city_21,2019,0,104.13
city_21,2020,0,103.42
city_21,2021,0,104.97
city_21,2022,0,110.17
city_21,2023,0,106.88
city_21,2024,0,108.91
city_22,2018,0,98.54
city_22,2019,0,101.61
city_22,2020,0,94.85
city_22,2021,0,94.62
city_22,2022,0,96.82
city_22,2023,0,101.68
city_22,2024,0,99.93
city_23,2018,0,80.5
city_23,2019,0,84.26
city_23,2020,0,84.33
city_23,2021,0,88.21
city_23,2022,0,86.55
city_23,2023,0,86.3
city_23,2024,0,86.66
city_24,2018,0,91.78
city_24,2019,0,94.29
city_24,2020,0,97.18
city_24,2021,0,94.9
city_24,2022,0,96.46
city_24,2023,0,98.33
city_24,2024,0,101.25
city_25,2018,0,101.42
city_25,2019,0,103.25
city_25,2020,0,103.0
city_25,2021,0,103.84
city_25,2022,0,103.59
city_25,2023,0,107.65
city_25,2024,0,106.35
city_26,2018,0,95.69
city_26,2019,0,95.67
city_26,2020,0,93.16
city_26,2021,0,97.49
city_26,2022,0,96.47
city_26,2023,0,98.02
city_26,2024,0,100.85
city_27,2018,0,108.37
city_27,2019,0,108.32
city_27,2020,0,111.23
city_27,2021,0,107.38
city_27,2022,0,113.29
city_27,2023,0,112.78
city_27,2024,0,110.65
city_28,2018,0,87.66
city_28,2019,0,88.15
city_28,2020,0,87.33
city_28,2021,0,88.45
city_28,2022,0,91.73
city_28,2023,0,92.49
city_28,2024,0,91.99
city_29,2018,0,103.58
city_29,2019,0,101.66
city_29,2020,0,103.2
city_29,2021,0,106.46
city_29,2022,0,106.29
city_29,2023,0,108.05
city_29,2024,0,109.85
