user_id,event_date,event_type
U0001,2026-06-22,login
U0001,2026-06-28,login
U0001,2026-06-25,login
U0001,2026-06-23,viewed_dashboard
U0002,2026-06-04,login
U0002,2026-06-17,login
U0002,2026-06-01,login
U0002,2026-06-21,login
U0002,2026-06-06,login
U0003,2026-06-22,login
U0003,2026-06-07,login
U0003,2026-06-11,login
U0003,2026-06-11,login
U0003,2026-06-25,login
U0004,2026-06-21,login
U0004,2026-06-19,login
U0004,2026-06-21,login
U0005,2026-06-09,login
U0005,2026-06-14,login
U0005,2026-06-13,login
U0006,2026-06-12,login
U0006,2026-06-24,login
U0006,2026-06-14,login
U0006,2026-06-19,login
U0006,2026-06-28,created_report
U0006,2026-06-05,created_report
U0006,2026-06-09,created_report
U0007,2026-06-14,login
U0007,2026-06-09,viewed_dashboard
U0010,2026-06-05,login
U0010,2026-06-14,login
U0010,2026-06-26,viewed_dashboard
U0011,2026-06-07,login
U0011,2026-06-06,login
U0011,2026-06-03,login
U0011,2026-06-06,login
U0011,2026-06-12,login
U0012,2026-06-20,login
U0012,2026-06-02,login
U0012,2026-06-07,created_report
U0012,2026-06-18,created_report
U0013,2026-06-21,login
U0013,2026-06-22,created_report
U0013,2026-06-05,created_report
U0013,2026-06-05,created_report
U0013,2026-06-01,viewed_dashboard
U0015,2026-06-25,login
U0015,2026-06-01,login
U0015,2026-06-09,created_report
U0016,2026-06-05,login
U0016,2026-06-04,login
U0016,2026-06-02,login
U0016,2026-06-19,created_report
U0016,2026-06-24,viewed_dashboard
U0017,2026-06-15,login
U0017,2026-06-18,login
U0017,2026-06-13,login
U0017,2026-06-10,created_report
U0018,2026-06-10,login
U0018,2026-06-04,login
U0018,2026-06-04,login
U0018,2026-06-07,login
U0018,2026-06-18,login
U0018,2026-06-19,created_report
U0018,2026-06-04,created_report
U0018,2026-06-20,viewed_dashboard
U0019,2026-06-01,login
U0019,2026-06-02,login
U0019,2026-06-09,login
U0019,2026-06-07,login
U0021,2026-06-01,login
U0021,2026-06-17,login
U0021,2026-06-23,login
U0021,2026-06-19,login
U0021,2026-06-04,created_report
U0021,2026-06-05,created_report
U0022,2026-06-10,login
U0022,2026-06-12,created_report
U0023,2026-06-08,login
U0023,2026-06-14,login
U0024,2026-06-16,login
U0024,2026-06-25,created_report
U0024,2026-06-07,created_report
U0024,2026-06-12,created_report
U0024,2026-06-24,viewed_dashboard
U0025,2026-06-11,login
U0025,2026-06-11,viewed_dashboard
U0028,2026-06-05,login
U0028,2026-06-12,login
U0028,2026-06-11,login
U0029,2026-06-08,login
U0029,2026-06-28,login
U0029,2026-06-10,login
U0029,2026-06-01,created_report
U0029,2026-06-07,created_report
U0029,2026-06-24,created_report
U0029,2026-06-04,viewed_dashboard
U0030,2026-06-28,login
U0030,2026-06-15,login
U0031,2026-06-18,login
U0031,2026-06-16,login
U0031,2026-06-27,login
U0031,2026-06-04,created_report
U0031,2026-06-02,created_report
U0031,2026-06-13,created_report
U0031,2026-06-15,viewed_dashboard
U0032,2026-06-19,login
U0032,2026-06-04,created_report
U0033,2026-06-24,login
U0033,2026-06-10,login
U0033,2026-06-10,login
U0033,2026-06-24,login
U0033,2026-06-24,viewed_dashboard
U0034,2026-06-25,login
U0034,2026-06-01,login
U0034,2026-06-15,login
U0035,2026-06-22,login
U0035,2026-06-01,login
U0035,2026-06-02,created_report
U0035,2026-06-26,created_report
U0035,2026-06-13,created_report
U0036,2026-06-12,login
U0036,2026-06-12,login
U0036,2026-06-05,login
U0036,2026-06-17,viewed_dashboard
U0037,2026-06-10,login
U0037,2026-06-12,login
U0037,2026-06-21,created_report
U0038,2026-06-20,login
U0039,2026-06-20,login
U0039,2026-06-03,login
U0039,2026-06-16,login
U0039,2026-06-21,login
U0039,2026-06-03,login
U0039,2026-06-16,created_report
U0039,2026-06-07,created_report
U0039,2026-06-26,created_report
U0039,2026-06-15,viewed_dashboard
U0040,2026-06-28,login
U0040,2026-06-17,login
U0040,2026-06-20,login
U0040,2026-06-25,login
U0041,2026-06-16,login
U0041,2026-06-21,login
U0041,2026-06-22,login
U0041,2026-06-12,login
U0041,2026-06-17,viewed_dashboard
U0042,2026-06-26,login
U0042,2026-06-28,login
U0042,2026-06-04,login
U0042,2026-06-13,login
U0042,2026-06-15,login
U0042,2026-06-07,created_report
U0042,2026-06-04,created_report
U0042,2026-06-08,created_report
U0043,2026-06-05,login
U0043,2026-06-18,login
U0045,2026-06-08,login
U0045,2026-06-17,login
U0045,2026-06-24,login
U0045,2026-06-23,viewed_dashboard
U0046,2026-06-13,login
U0046,2026-06-24,created_report
U0046,2026-06-04,created_report
U0046,2026-06-27,created_report
U0046,2026-06-20,viewed_dashboard
U0047,2026-06-16,login
U0047,2026-06-28,created_report
U0047,2026-06-08,created_report
U0048,2026-06-18,login
U0048,2026-06-06,viewed_dashboard
U0049,2026-06-28,login
U0049,2026-06-12,login
U0049,2026-06-20,login
U0049,2026-06-28,login
U0049,2026-06-18,login
U0049,2026-06-23,created_report
U0050,2026-06-12,login
U0050,2026-06-22,login
U0050,2026-06-27,login
U0050,2026-06-12,viewed_dashboard
U0051,2026-06-13,login
U0051,2026-06-06,login
U0051,2026-06-04,login
U0051,2026-06-17,login
U0051,2026-06-15,login
U0051,2026-06-18,created_report
U0051,2026-06-13,created_report
U0051,2026-06-12,created_report
U0052,2026-06-08,login
U0052,2026-06-11,login
U0052,2026-06-23,login
U0052,2026-06-16,login
U0052,2026-06-25,created_report
U0052,2026-06-13,viewed_dashboard
U0053,2026-06-01,login
U0053,2026-06-02,login
U0053,2026-06-15,login
U0053,2026-06-05,created_report
U0053,2026-06-16,created_report
U0053,2026-06-07,created_report
U0055,2026-06-24,login
U0055,2026-06-06,created_report
U0057,2026-06-28,login
U0057,2026-06-28,login
U0057,2026-06-16,login
U0057,2026-06-11,login
U0057,2026-06-09,created_report
U0057,2026-06-14,created_report
U0057,2026-06-11,created_report
U0058,2026-06-10,login
U0058,2026-06-17,login
U0058,2026-06-28,created_report
U0058,2026-06-22,created_report
U0058,2026-06-21,created_report
U0058,2026-06-04,viewed_dashboard
U0059,2026-06-10,login
U0059,2026-06-15,login
U0059,2026-06-06,login
U0059,2026-06-05,created_report
U0060,2026-06-19,login
U0060,2026-06-27,login
U0062,2026-06-09,login
U0062,2026-06-16,login
U0062,2026-06-11,login
U0062,2026-06-18,login
U0062,2026-06-06,login
U0062,2026-06-25,created_report
U0063,2026-06-01,login
U0063,2026-06-26,login
U0063,2026-06-03,login
U0063,2026-06-24,login
U0063,2026-06-11,login
U0063,2026-06-15,created_report
U0064,2026-06-10,login
U0064,2026-06-27,login
U0064,2026-06-18,login
U0064,2026-06-05,created_report
U0064,2026-06-03,created_report
U0064,2026-06-16,created_report
U0064,2026-06-11,viewed_dashboard
U0065,2026-06-19,login
U0065,2026-06-16,login
U0065,2026-06-08,created_report
U0065,2026-06-13,created_report
U0065,2026-06-02,created_report
U0065,2026-06-27,viewed_dashboard
U0066,2026-06-27,login
U0066,2026-06-28,created_report
U0066,2026-06-17,created_report
U0066,2026-06-23,viewed_dashboard
U0067,2026-06-18,login
U0067,2026-06-24,login
U0067,2026-06-18,created_report
U0067,2026-06-05,viewed_dashboard
U0068,2026-06-05,login
U0068,2026-06-28,login
U0068,2026-06-18,created_report
U0068,2026-06-09,created_report
U0069,2026-06-19,login
U0069,2026-06-23,login
U0069,2026-06-11,login
U0069,2026-06-07,login
U0069,2026-06-03,login
U0071,2026-06-22,login
U0071,2026-06-10,login
U0071,2026-06-12,login
U0071,2026-06-14,login
U0071,2026-06-18,login
U0072,2026-06-25,login
U0072,2026-06-08,login
U0072,2026-06-20,created_report
U0072,2026-06-10,created_report
U0074,2026-06-20,login
U0074,2026-06-18,created_report
U0074,2026-06-05,created_report
U0074,2026-06-24,created_report
U0077,2026-06-22,login
U0077,2026-06-05,login
U0077,2026-06-19,viewed_dashboard
U0078,2026-06-21,login
U0078,2026-06-27,login
U0078,2026-06-24,created_report
U0078,2026-06-16,viewed_dashboard
U0080,2026-06-20,login
U0080,2026-06-17,login
U0080,2026-06-20,login
U0081,2026-06-16,login
U0081,2026-06-05,created_report
U0082,2026-06-08,login
U0082,2026-06-25,login
U0082,2026-06-11,created_report
U0083,2026-06-03,login
U0083,2026-06-15,login
U0083,2026-06-13,login
U0083,2026-06-20,login
U0083,2026-06-26,login
U0083,2026-06-19,created_report
U0083,2026-06-08,viewed_dashboard
U0084,2026-06-18,login
U0084,2026-06-24,login
U0084,2026-06-22,login
U0084,2026-06-24,login
U0084,2026-06-21,viewed_dashboard
U0087,2026-06-25,login
U0087,2026-06-12,viewed_dashboard
U0088,2026-06-26,login
U0088,2026-06-06,login
U0088,2026-06-08,login
U0088,2026-06-14,login
U0088,2026-06-15,login
U0088,2026-06-11,created_report
U0088,2026-06-11,created_report
U0088,2026-06-16,created_report
U0089,2026-06-25,login
U0089,2026-06-25,login
U0089,2026-06-24,login
U0089,2026-06-25,login
U0090,2026-06-12,login
U0090,2026-06-15,login
U0090,2026-06-19,created_report
U0090,2026-06-01,viewed_dashboard
U0091,2026-06-13,login
U0091,2026-06-17,login
U0091,2026-06-16,login
U0091,2026-06-28,login
U0092,2026-06-15,login
U0092,2026-06-24,login
U0092,2026-06-26,viewed_dashboard
U0093,2026-06-14,login
U0093,2026-06-13,login
U0093,2026-06-07,login
U0093,2026-06-19,created_report
U0093,2026-06-07,created_report
U0094,2026-06-26,login
U0094,2026-06-16,login
U0094,2026-06-17,created_report
U0094,2026-06-13,created_report
U0095,2026-06-03,login
U0095,2026-06-07,login
U0095,2026-06-12,created_report
U0095,2026-06-05,created_report
U0096,2026-06-23,login
U0096,2026-06-16,login
U0096,2026-06-02,created_report
U0096,2026-06-27,created_report
U0097,2026-06-22,login
U0097,2026-06-17,created_report
U0097,2026-06-25,viewed_dashboard
U0099,2026-06-11,login
U0099,2026-06-18,login
U0099,2026-06-12,login
U0099,2026-06-12,login
U0099,2026-06-13,login
U0099,2026-06-24,created_report
U0099,2026-06-21,created_report
U0099,2026-06-11,viewed_dashboard
U0100,2026-06-13,login
U0100,2026-06-21,login
U0100,2026-06-22,login
U0100,2026-06-03,created_report
U0100,2026-06-12,viewed_dashboard
U0101,2026-06-07,login
U0101,2026-06-17,login
U0101,2026-06-02,login
U0101,2026-06-17,created_report
U0102,2026-06-19,login
U0102,2026-06-21,login
U0102,2026-06-03,login
U0102,2026-06-13,login
U0102,2026-06-28,login
U0103,2026-06-22,login
U0103,2026-06-15,login
U0103,2026-06-25,login
U0103,2026-06-12,login
U0103,2026-06-15,created_report
U0103,2026-06-12,created_report
U0103,2026-06-09,created_report
U0104,2026-06-06,login
U0104,2026-06-13,login
U0104,2026-06-22,login
