order_id,customer_id,revenue
O00000,C0000,55.83
O00001,C0000,87.11
O00002,C0000,66.96
O00003,C0000,60.65
O00004,C0000,77.46
O00005,C0001,89.58
O00006,C0001,56.98
O00007,C0002,71.7
O00008,C0002,47.79
O00009,C0002,26.96
O00010,C0002,47.28
O00011,C0002,56.84
O00012,C0003,90.52
O00013,C0003,35.49
O00014,C0003,75.38
O00015,C0004,105.32
O00016,C0004,5.37
O00017,C0004,98.32
O00018,C0005,57.14
O00019,C0005,85.65
O00020,C0005,67.0
O00021,C0005,66.97
O00022,C0006,54.75
O00023,C0006,51.99
O00024,C0006,59.85
O00025,C0006,47.49
O00026,C0007,54.14
O00027,C0007,77.57
O00028,C0007,43.77
O00029,C0007,52.67
O00030,C0007,63.89
O00031,C0007,96.19
O00032,C0008,30.25
O00033,C0008,24.54
O00034,C0008,56.14
O00035,C0008,43.05
O00036,C0009,85.19
O00037,C0009,71.79
O00038,C0009,83.2
O00039,C0009,68.41
O00040,C0009,86.78
O00041,C0009,72.54
O00042,C0009,28.79
O00043,C0009,103.0
O00044,C0009,48.62
O00045,C0009,35.47
O00046,C0010,102.26
O00047,C0010,82.16
O00048,C0010,61.11
O00049,C0010,71.37
O00050,C0011,62.6
O00051,C0011,118.26
O00052,C0012,33.6
O00053,C0012,107.0
O00054,C0012,50.55
O00055,C0012,64.37
O00056,C0012,68.7
O00057,C0013,23.66
O00058,C0013,72.04
O00059,C0014,32.43
O00060,C0014,10.71
O00061,C0014,84.79
O00062,C0014,116.28
O00063,C0014,32.46
O00064,C0014,49.09
O00065,C0015,52.64
O00066,C0015,46.1
O00067,C0015,80.65
O00068,C0016,30.42
O00069,C0016,93.8
O00070,C0016,36.96
O00071,C0016,28.81
O00072,C0017,51.42
O00073,C0017,37.28
O00074,C0017,73.36
O00075,C0017,83.01
O00076,C0017,59.99
O00077,C0018,65.22
O00078,C0018,44.3
O00079,C0018,87.86
O00080,C0018,60.19
O00081,C0019,21.79
O00082,C0019,23.89
O00083,C0019,78.85
O00084,C0019,57.85
O00085,C0020,53.93
O00086,C0020,66.82
O00087,C0020,92.16
O00088,C0020,88.07
O00089,C0020,68.45
O00090,C0020,90.2
O00091,C0021,80.01
O00092,C0021,112.23
O00093,C0021,105.18
O00094,C0021,127.47
O00095,C0022,28.5
O00096,C0022,27.09
O00097,C0022,50.16
O00098,C0023,121.3
O00099,C0023,46.37
O00100,C0023,82.49
O00101,C0023,80.99
O00102,C0024,99.76
O00103,C0024,84.33
O00104,C0024,43.97
O00105,C0025,21.14
O00106,C0025,94.18
O00107,C0025,82.19
O00108,C0025,77.5
O00109,C0026,48.36
O00110,C0026,42.73
O00111,C0026,45.31
O00112,C0027,91.67
O00113,C0027,75.98
O00114,C0028,30.74
O00115,C0028,38.56
O00116,C0028,37.37
O00117,C0029,51.6
O00118,C0029,50.02
O00119,C0030,59.77
