user_id,segment,retained_30d
U0000,SMB,1
U0001,Enterprise,0
U0002,SMB,1
U0003,SMB,0
U0004,SMB,1
U0005,SMB,0
U0006,SMB,1
U0007,Enterprise,0
U0008,Enterprise,1
U0009,Enterprise,0
U0010,SMB,1
U0011,Enterprise,0
U0012,SMB,1
U0013,SMB,1
U0014,SMB,1
U0015,SMB,1
U0016,SMB,1
U0017,SMB,1
U0018,SMB,0
U0019,SMB,1
U0020,SMB,0
U0021,SMB,0
U0022,SMB,1
U0023,SMB,1
U0024,Enterprise,1
U0025,Enterprise,1
U0026,SMB,1
U0027,Enterprise,1
U0028,SMB,1
U0029,SMB,0
U0030,SMB,1
U0031,SMB,1
U0032,SMB,0
U0033,Enterprise,0
U0034,SMB,1
U0035,SMB,1
U0036,SMB,1
U0037,SMB,1
U0038,SMB,1
U0039,SMB,0
U0040,SMB,0
U0041,SMB,0
U0042,Enterprise,1
U0043,SMB,0
U0044,Enterprise,0
U0045,SMB,0
U0046,SMB,1
U0047,SMB,1
U0048,SMB,1
U0049,SMB,0
U0050,SMB,0
U0051,Enterprise,0
U0052,SMB,0
U0053,SMB,0
U0054,Enterprise,0
U0055,SMB,0
U0056,SMB,1
U0057,SMB,1
U0058,Enterprise,1
U0059,SMB,0
U0060,SMB,0
U0061,SMB,0
U0062,SMB,1
U0063,SMB,1
U0064,Enterprise,1
U0065,Enterprise,0
U0066,SMB,1
U0067,SMB,0
U0068,SMB,0
U0069,Enterprise,0
U0070,SMB,0
U0071,Enterprise,0
U0072,SMB,0
U0073,SMB,0
U0074,SMB,1
U0075,SMB,0
U0076,Enterprise,0
U0077,SMB,0
U0078,SMB,1
U0079,Enterprise,0
U0080,SMB,1
U0081,SMB,0
U0082,Enterprise,0
U0083,Enterprise,1
U0084,Enterprise,0
U0085,Enterprise,0
U0086,SMB,1
U0087,SMB,1
U0088,SMB,0
U0089,Enterprise,0
U0090,Enterprise,0
U0091,SMB,1
U0092,SMB,1
U0093,SMB,0
U0094,SMB,1
U0095,Enterprise,0
U0096,SMB,1
U0097,SMB,1
U0098,Enterprise,0
U0099,SMB,0
U0100,Enterprise,0
U0101,SMB,0
U0102,Enterprise,1
U0103,SMB,1
U0104,SMB,1
U0105,SMB,0
U0106,SMB,0
U0107,SMB,1
U0108,SMB,1
U0109,SMB,1
U0110,SMB,0
U0111,Enterprise,1
U0112,SMB,0
U0113,Enterprise,0
U0114,SMB,1
U0115,SMB,1
U0116,SMB,1
U0117,SMB,1
U0118,SMB,1
U0119,SMB,1
U0120,SMB,0
U0121,Enterprise,1
U0122,SMB,0
U0123,SMB,0
U0124,Enterprise,1
U0125,SMB,1
U0126,SMB,0
U0127,SMB,0
U0128,Enterprise,1
U0129,SMB,1
U0130,SMB,1
U0131,SMB,1
U0132,SMB,0
U0133,Enterprise,1
U0134,SMB,1
U0135,SMB,1
U0136,SMB,0
U0137,Enterprise,1
U0138,SMB,1
U0139,SMB,1
U0140,Enterprise,0
U0141,Enterprise,1
U0142,SMB,1
U0143,SMB,0
U0144,SMB,0
U0145,SMB,1
U0146,SMB,0
U0147,SMB,0
U0148,SMB,0
U0149,Enterprise,0
U0150,SMB,1
U0151,Enterprise,0
U0152,SMB,1
U0153,SMB,1
U0154,SMB,0
U0155,Enterprise,0
U0156,SMB,1
U0157,Enterprise,0
U0158,SMB,1
U0159,SMB,1
U0160,SMB,0
U0161,Enterprise,0
U0162,SMB,0
U0163,Enterprise,0
