county_id,year,employment,population,treated
CTY000,2019,1139.5,5038,1
CTY000,2020,1143.7,5038,1
CTY000,2021,1134.9,5038,1
CTY000,2022,1185.6,5038,1
CTY000,2023,1200.8,5038,1
CTY000,2024,1196.0,5038,1
CTY001,2019,900.0,33182,0
CTY001,2020,893.4,33182,0
CTY001,2021,898.7,33182,0
CTY001,2022,915.6,33182,0
CTY001,2023,927.0,33182,0
CTY001,2024,928.6,33182,0
CTY002,2019,1087.2,21163,1
CTY002,2020,1107.0,21163,1
CTY002,2021,1130.6,21163,1
CTY002,2022,1210.5,21163,1
CTY002,2023,1216.2,21163,1
CTY002,2024,1254.1,21163,1
CTY003,2019,838.0,13301,0
CTY003,2020,836.0,13301,0
CTY003,2021,834.7,13301,0
CTY003,2022,830.6,13301,0
CTY003,2023,830.5,13301,0
CTY003,2024,842.5,13301,0
CTY004,2020,1068.1,14182,1
CTY004,2021,1106.1,14182,1
CTY004,2022,1158.2,14182,1
CTY004,2023,1176.8,14182,1
CTY004,2024,1194.5,14182,1
CTY005,2019,1115.2,16575,0
CTY005,2020,1115.4,16575,0
CTY005,2021,1116.8,16575,0
CTY005,2022,1130.2,16575,0
CTY005,2023,1137.5,16575,0
CTY005,2024,1149.5,16575,0
CTY006,2019,1194.4,194096,1
CTY006,2020,1184.9,194096,1
CTY006,2021,1185.7,194096,1
CTY006,2022,1332.1,194096,1
CTY006,2023,1316.4,194096,1
CTY006,2024,1326.9,194096,1
CTY007,2019,843.0,87103,0
CTY007,2020,866.4,87103,0
CTY007,2021,874.6,87103,0
CTY007,2022,889.3,87103,0
CTY007,2023,881.5,87103,0
CTY007,2024,919.9,87103,0
CTY008,2019,1075.1,14421,1
CTY008,2020,1094.3,14421,1
CTY008,2021,1098.6,14421,1
CTY008,2022,1166.3,14421,1
CTY008,2023,1173.1,14421,1
CTY008,2024,1171.4,14421,1
CTY009,2019,905.2,53896,0
CTY009,2020,926.0,53896,0
CTY009,2021,929.0,53896,0
CTY009,2022,923.9,53896,0
CTY009,2023,934.1,53896,0
CTY009,2024,944.9,53896,0
CTY010,2019,1063.8,36203,1
CTY010,2020,1082.3,36203,1
CTY010,2021,1088.9,36203,1
CTY010,2022,1197.9,36203,1
CTY010,2023,1216.9,36203,1
CTY010,2024,1234.6,36203,1
CTY011,2020,1050.0,15578,0
CTY011,2021,1055.6,15578,0
CTY011,2022,1066.7,15578,0
CTY011,2023,1072.4,15578,0
CTY011,2024,1065.2,15578,0
