tx_id,month,amount,type
T00000,2025-04,491.57,sale
T00001,2025-10,282.53,sale
T00002,2025-05,226.26,sale
T00003,2025-08,-351.58,refund
T00004,2025-06,245.89,sale
T00005,2025-09,203.49,sale
T00006,2025-05,-389.78,refund
T00007,2025-02,203.24,sale
T00008,2025-04,-125.03,refund
T00009,2025-08,115.51,sale
T00010,2025-08,115.11,sale
T00011,2025-12,-188.96,refund
T00012,2025-03,420.84,sale
T00013,2025-06,-391.93,refund
T00014,2025-12,-569.86,refund
T00015,2025-02,290.96,sale
T00016,2025-09,288.6,sale
T00017,2025-12,355.49,sale
T00018,2025-12,254.13,sale
T00019,2025-09,371.87,sale
T00020,2025-11,333.04,sale
T00021,2025-03,289.03,sale
T00022,2025-10,-178.18,refund
T00023,2025-09,-517.9,refund
T00024,2025-07,-189.65,refund
T00025,2025-12,193.22,sale
T00026,2025-11,183.78,sale
T00027,2025-03,129.15,sale
T00028,2025-12,-376.14,refund
T00029,2025-11,618.96,sale
T00030,2025-05,751.2,sale
T00031,2025-09,282.97,sale
T00032,2025-10,-310.51,refund
T00033,2025-03,195.56,sale
T00034,2025-04,480.61,sale
T00035,2025-03,316.22,sale
T00036,2025-06,29.04,sale
T00037,2025-12,-290.84,refund
T00038,2025-05,-112.82,refund
T00039,2025-05,602.52,sale
T00040,2025-12,-343.94,refund
T00041,2025-06,367.33,sale
T00042,2025-01,371.17,sale
T00043,2025-08,286.05,sale
T00044,2025-10,199.63,sale
T00045,2025-06,171.45,sale
T00046,2025-12,519.95,sale
T00047,2025-01,372.97,sale
T00048,2025-11,110.44,sale
T00049,2025-04,193.0,sale
T00050,2025-10,104.98,sale
T00051,2025-06,529.91,sale
T00052,2025-08,237.46,sale
T00053,2025-10,287.46,sale
T00054,2025-11,587.42,sale
T00055,2025-08,31.61,sale
T00056,2025-08,331.06,sale
T00057,2025-06,255.52,sale
T00058,2025-01,649.23,sale
T00059,2025-03,610.97,sale
T00060,2025-02,404.46,sale
T00061,2025-10,112.41,sale
T00062,2025-02,-278.83,refund
T00063,2025-03,260.29,sale
T00064,2025-03,45.32,sale
T00065,2025-09,-99.9,refund
T00066,2025-04,59.03,sale
T00067,2025-06,338.69,sale
T00068,2025-09,227.14,sale
T00069,2025-07,-108.47,refund
T00070,2025-06,100.07,sale
T00071,2025-05,-400.69,refund
T00072,2025-12,450.42,sale
T00073,2025-03,121.69,sale
T00074,2025-10,324.93,sale
T00075,2025-03,-103.27,refund
T00076,2025-06,511.59,sale
T00077,2025-08,208.52,sale
T00078,2025-04,240.92,sale
T00079,2025-04,386.31,sale
T00080,2025-03,-251.12,refund
T00081,2025-01,139.28,sale
T00082,2025-04,318.26,sale
T00083,2025-03,331.54,sale
T00084,2025-08,-461.11,refund
T00085,2025-12,-325.29,refund
T00086,2025-01,29.64,sale
T00087,2025-09,509.34,sale
T00088,2025-05,287.64,sale
T00089,2025-07,-264.71,refund
T00090,2025-12,121.12,sale
T00091,2025-05,485.54,sale
T00092,2025-02,160.89,sale
T00093,2025-10,428.36,sale
T00094,2025-11,215.78,sale
T00095,2025-04,-388.14,refund
T00096,2025-07,222.55,sale
T00097,2025-08,428.8,sale
T00098,2025-02,263.09,sale
T00099,2025-01,-229.6,refund
T00100,2025-01,338.38,sale
T00101,2025-08,229.31,sale
T00102,2025-08,212.03,sale
T00103,2025-12,-475.59,refund
T00104,2025-08,114.46,sale
T00105,2025-09,198.56,sale
T00106,2025-06,284.78,sale
T00107,2025-01,225.44,sale
T00108,2025-05,69.64,sale
T00109,2025-08,-339.26,refund
T00110,2025-09,97.55,sale
T00111,2025-04,428.11,sale
T00112,2025-02,369.33,sale
T00113,2025-12,114.2,sale
T00114,2025-03,165.57,sale
T00115,2025-01,633.52,sale
T00116,2025-05,-430.09,refund
T00117,2025-01,122.8,sale
T00118,2025-08,435.4,sale
T00119,2025-02,237.5,sale
T00120,2025-04,191.6,sale
T00121,2025-05,259.65,sale
T00122,2025-09,189.82,sale
T00123,2025-11,-63.65,refund
T00124,2025-09,-516.47,refund
T00125,2025-07,347.09,sale
T00126,2025-03,345.23,sale
T00127,2025-08,279.66,sale
T00128,2025-09,990.28,sale
T00129,2025-01,117.27,sale
T00130,2025-07,543.88,sale
T00131,2025-03,311.09,sale
T00132,2025-02,-171.95,refund
T00133,2025-05,450.1,sale
T00134,2025-10,661.24,sale
T00135,2025-08,201.71,sale
T00136,2025-11,47.25,sale
T00137,2025-10,-191.43,refund
T00138,2025-05,445.09,sale
T00139,2025-07,65.11,sale
T00140,2025-04,115.82,sale
T00141,2025-04,186.46,sale
T00142,2025-08,641.06,sale
T00143,2025-03,366.54,sale
T00144,2025-05,253.78,sale
T00145,2025-06,248.9,sale
T00146,2025-07,192.39,sale
T00147,2025-04,161.79,sale
T00148,2025-03,-204.77,refund
T00149,2025-10,422.02,sale
T00150,2025-06,92.72,sale
T00151,2025-11,75.19,sale
T00152,2025-06,560.05,sale
T00153,2025-10,98.7,sale
T00154,2025-10,332.65,sale
T00155,2025-02,-252.61,refund
T00156,2025-10,90.37,sale
T00157,2025-10,316.14,sale
T00158,2025-08,212.1,sale
T00159,2025-01,162.53,sale
T00160,2025-11,372.32,sale
T00161,2025-02,123.65,sale
T00162,2025-11,169.34,sale
T00163,2025-09,242.07,sale
T00164,2025-05,145.7,sale
T00165,2025-04,236.42,sale
T00166,2025-07,236.61,sale
T00167,2025-10,-696.83,refund
T00168,2025-04,578.92,sale
T00169,2025-09,512.06,sale
T00170,2025-05,-332.26,refund
T00171,2025-08,-226.53,refund
T00172,2025-08,159.2,sale
T00173,2025-08,114.96,sale
T00174,2025-03,174.45,sale
T00175,2025-11,-469.49,refund
T00176,2025-07,135.64,sale
T00177,2025-10,186.37,sale
T00178,2025-05,147.11,sale
T00179,2025-01,164.38,sale
T00180,2025-12,-49.35,refund
T00181,2025-12,404.47,sale
T00182,2025-09,230.78,sale
T00183,2025-06,420.63,sale
T00184,2025-08,133.77,sale
T00185,2025-04,99.4,sale
T00186,2025-03,290.35,sale
T00187,2025-11,306.78,sale
T00188,2025-03,488.33,sale
T00189,2025-12,-387.62,refund
T00190,2025-08,-139.03,refund
T00191,2025-10,189.56,sale
T00192,2025-03,-468.99,refund
T00193,2025-09,392.93,sale
T00194,2025-09,541.21,sale
T00195,2025-01,305.58,sale
T00196,2025-12,-264.76,refund
T00197,2025-04,-65.71,refund
T00198,2025-09,-290.78,refund
T00199,2025-10,116.92,sale
T00200,2025-04,272.48,sale
T00201,2025-12,140.29,sale
T00202,2025-05,380.26,sale
T00203,2025-04,-313.78,refund
T00204,2025-08,200.59,sale
T00205,2025-10,614.25,sale
T00206,2025-12,-193.03,refund
T00207,2025-02,289.68,sale
T00208,2025-01,-276.31,refund
T00209,2025-09,909.5,sale
T00210,2025-12,122.27,sale
T00211,2025-05,-222.45,refund
T00212,2025-01,493.66,sale
T00213,2025-01,225.21,sale
