facility_id,lat,lon
F000,34.04256,-118.46928
F001,33.98855,-118.39978
F002,34.27695,-118.40614
F003,34.26812,-118.37874
F004,34.22152,-118.3718
F005,34.26455,-118.49402
F006,34.2941,-118.43678
F007,34.03347,-118.48875
F008,34.12823,-118.37969
F009,34.08216,-118.47903
F010,34.12044,-118.42758
F011,34.08669,-118.38958
F012,34.08809,-118.51444
F013,34.18314,-118.30108
F014,34.01274,-118.35553
F015,34.28978,-118.30624
F016,34.06214,-118.3684
F017,34.07588,-118.45949
F018,34.13961,-118.34733
F019,34.09903,-118.49637
F020,34.09264,-118.44437
F021,34.2088,-118.45849
F022,34.18253,-118.41586
F023,34.02921,-118.49644
F024,34.27543,-118.44121
F025,34.28095,-118.41245
F026,34.1892,-118.52048
F027,34.00985,-118.34499
F028,34.2294,-118.40961
F029,34.27361,-118.41045
F030,34.07768,-118.46298
F031,34.22862,-118.34015
F032,34.08347,-118.48324
F033,34.04868,-118.47349
F034,34.22638,-118.43983
F035,34.10864,-118.46071
F036,34.27295,-118.36664
F037,34.15092,-118.44004
F038,34.22987,-118.45535
F039,34.22261,-118.4902
F040,34.2748,-118.49677
F041,34.19785,-118.47689
F042,34.06128,-118.42798
F043,34.13336,-118.39545
F044,34.00572,-118.35761
F045,34.09074,-118.43969
F046,34.28143,-118.41911
F047,34.06474,-118.41687
F048,34.04288,-118.38425
F049,33.91111,-118.31578
F050,34.29709,-118.35704
F051,33.98868,-118.38218
F052,34.08849,-118.4411
F053,34.22905,-118.39195
F054,34.01352,-118.47925
F055,34.0364,-118.43854
F056,34.05947,-118.46974
F057,34.05001,-118.46075
F058,34.21516,-118.32732
F059,34.09839,-118.38303
F060,34.07739,-118.38456
F061,34.06349,-118.33507
F062,34.01602,-118.48502
F063,33.96272,-118.4681
F064,34.13513,-118.47953
F065,34.12266,-118.45002
F066,34.28189,-118.30888
F067,34.00285,-118.59313
F068,33.91569,-118.34241
F069,34.16247,-118.42597
F070,34.13023,-118.496
F071,34.0846,-118.3466
F072,34.03689,-118.35479
F073,34.10893,-118.40658
F074,34.02639,-118.3798
F075,34.19617,-118.5275
F076,34.10052,-118.34491
F077,34.05831,-118.42412
F078,34.29761,-118.46775
F079,34.21661,-118.39034
