sub_id,plan,price_eur
EU0000,basic,2999
EU0001,pro,999
EU0002,pro,2999
EU0003,basic,2999
EU0004,pro,2999
EU0005,basic,999
EU0006,pro,2999
EU0007,basic,1999
EU0008,pro,999
EU0009,pro,2999
EU0010,basic,2999
EU0011,pro,1999
EU0012,basic,999
EU0013,pro,1999
EU0014,basic,999
EU0015,basic,999
EU0016,basic,1999
EU0017,pro,1999
EU0018,basic,1999
EU0019,pro,2999
EU0020,pro,2999
EU0021,pro,2999
EU0022,pro,999
EU0023,basic,2999
EU0024,pro,999
EU0025,pro,1999
EU0026,pro,2999
EU0027,pro,2999
EU0028,basic,999
EU0029,pro,1999
EU0030,pro,999
EU0031,pro,999
EU0032,basic,2999
EU0033,basic,2999
EU0034,basic,1999
EU0035,pro,999
EU0036,pro,999
EU0037,basic,1999
EU0038,basic,2999
EU0039,basic,2999
EU0040,basic,999
EU0041,pro,2999
EU0042,basic,1999
EU0043,pro,2999
EU0044,pro,2999
EU0045,pro,2999
EU0046,pro,999
EU0047,basic,1999
EU0048,pro,999
EU0049,pro,1999
EU0050,pro,999
EU0051,basic,1999
EU0052,basic,1999
EU0053,basic,2999
EU0054,basic,999
EU0055,pro,999
EU0056,pro,1999
EU0057,basic,1999
EU0058,pro,1999
EU0059,basic,999
EU0060,basic,1999
EU0061,basic,999
EU0062,basic,2999
EU0063,pro,999
EU0064,pro,999
EU0065,pro,999
EU0066,pro,1999
EU0067,pro,999
EU0068,pro,999
EU0069,pro,2999
EU0070,pro,999
EU0071,pro,1999
EU0072,basic,1999
EU0073,pro,999
EU0074,pro,1999
EU0075,basic,999
EU0076,basic,1999
EU0077,pro,2999
EU0078,basic,999
EU0079,basic,1999
EU0080,pro,999
EU0081,basic,2999
EU0082,pro,2999
EU0083,pro,999
EU0084,pro,2999
EU0085,pro,999
EU0086,pro,999
EU0087,basic,2999
EU0088,pro,999
EU0089,pro,999
EU0090,pro,2999
EU0091,basic,2999
EU0092,basic,1999
EU0093,pro,1999
EU0094,pro,2999
EU0095,basic,999
EU0096,basic,999
EU0097,pro,1999
EU0098,pro,2999
EU0099,basic,1999
EU0100,pro,2999
EU0101,basic,1999
EU0102,pro,1999
EU0103,basic,2999
EU0104,basic,1999
EU0105,basic,999
EU0106,pro,2999
EU0107,pro,1999
EU0108,basic,999
EU0109,pro,2999
EU0110,basic,999
EU0111,pro,999
EU0112,basic,2999
EU0113,basic,2999
EU0114,basic,2999
EU0115,pro,1999
EU0116,pro,999
EU0117,pro,2999
EU0118,basic,1999
EU0119,pro,999
EU0120,pro,2999
EU0121,pro,999
EU0122,pro,1999
EU0123,basic,999
EU0124,pro,1999
EU0125,basic,1999
EU0126,pro,1999
EU0127,basic,999
EU0128,pro,1999
EU0129,pro,1999
EU0130,pro,999
EU0131,pro,1999
EU0132,basic,999
EU0133,pro,999
EU0134,pro,1999
EU0135,basic,2999
EU0136,pro,2999
EU0137,basic,999
EU0138,pro,1999
EU0139,pro,999
