sub_id,plan,price_usd
US0000,pro,19.99
US0001,pro,9.99
US0002,basic,9.99
US0003,basic,19.99
US0004,pro,29.99
US0005,pro,9.99
US0006,basic,19.99
US0007,basic,19.99
US0008,basic,29.99
US0009,pro,29.99
US0010,pro,19.99
US0011,basic,29.99
US0012,basic,29.99
US0013,basic,9.99
US0014,pro,9.99
US0015,basic,29.99
US0016,pro,19.99
US0017,pro,9.99
US0018,pro,9.99
US0019,basic,29.99
US0020,basic,29.99
US0021,pro,19.99
US0022,pro,9.99
US0023,pro,9.99
US0024,basic,19.99
US0025,pro,9.99
US0026,basic,9.99
US0027,basic,9.99
US0028,basic,19.99
US0029,basic,9.99
US0030,pro,9.99
US0031,basic,29.99
US0032,pro,9.99
US0033,basic,19.99
US0034,basic,29.99
US0035,basic,9.99
US0036,basic,19.99
US0037,basic,9.99
US0038,pro,9.99
US0039,pro,19.99
US0040,pro,19.99
US0041,pro,19.99
US0042,pro,19.99
US0043,pro,9.99
US0044,basic,9.99
US0045,pro,9.99
US0046,basic,9.99
US0047,pro,29.99
US0048,pro,29.99
US0049,pro,9.99
US0050,basic,29.99
US0051,pro,29.99
US0052,pro,9.99
US0053,pro,29.99
US0054,basic,29.99
US0055,basic,29.99
US0056,pro,19.99
US0057,pro,9.99
US0058,pro,19.99
US0059,pro,29.99
US0060,pro,9.99
US0061,pro,29.99
US0062,pro,19.99
US0063,pro,9.99
US0064,basic,19.99
US0065,basic,9.99
US0066,basic,29.99
US0067,basic,19.99
US0068,basic,19.99
US0069,basic,19.99
US0070,pro,9.99
US0071,pro,29.99
US0072,pro,29.99
US0073,pro,19.99
US0074,pro,19.99
US0075,pro,19.99
US0076,basic,19.99
US0077,pro,9.99
US0078,basic,19.99
US0079,pro,29.99
US0080,basic,9.99
US0081,basic,29.99
US0082,basic,19.99
US0083,basic,9.99
US0084,pro,19.99
US0085,basic,29.99
US0086,basic,19.99
US0087,basic,29.99
US0088,basic,9.99
US0089,pro,9.99
US0090,basic,19.99
US0091,basic,29.99
US0092,pro,19.99
US0093,pro,19.99
US0094,basic,9.99
US0095,pro,19.99
US0096,pro,9.99
US0097,basic,19.99
US0098,pro,19.99
US0099,basic,9.99
US0100,basic,29.99
US0101,basic,29.99
US0102,pro,9.99
US0103,pro,29.99
US0104,basic,19.99
US0105,basic,19.99
US0106,pro,19.99
US0107,basic,19.99
US0108,pro,9.99
US0109,pro,29.99
US0110,basic,29.99
US0111,basic,9.99
US0112,pro,29.99
US0113,pro,9.99
US0114,pro,9.99
US0115,basic,9.99
US0116,pro,19.99
US0117,pro,29.99
US0118,pro,9.99
US0119,pro,19.99
US0120,pro,29.99
US0121,pro,19.99
US0122,pro,19.99
US0123,pro,29.99
US0124,basic,29.99
US0125,pro,19.99
US0126,basic,29.99
US0127,pro,19.99
US0128,pro,29.99
US0129,basic,29.99
US0130,basic,29.99
US0131,pro,19.99
US0132,basic,19.99
US0133,pro,19.99
US0134,basic,19.99
US0135,basic,19.99
US0136,pro,19.99
US0137,pro,19.99
US0138,pro,29.99
US0139,basic,19.99
US0140,pro,19.99
US0141,pro,19.99
US0142,basic,29.99
US0143,basic,19.99
US0144,basic,19.99
US0145,basic,19.99
US0146,basic,9.99
US0147,pro,29.99
US0148,basic,19.99
US0149,basic,29.99
US0150,basic,29.99
US0151,basic,29.99
US0152,pro,29.99
US0153,basic,9.99
US0154,basic,9.99
US0155,pro,29.99
US0156,pro,9.99
US0157,pro,19.99
US0158,pro,29.99
US0159,basic,19.99
US0160,pro,19.99
US0161,basic,9.99
US0162,pro,9.99
US0163,pro,29.99
US0164,pro,29.99
US0165,pro,29.99
US0166,basic,9.99
US0167,pro,29.99
US0168,basic,29.99
US0169,basic,9.99
US0170,pro,9.99
US0171,pro,19.99
US0172,pro,29.99
US0173,pro,19.99
US0174,pro,9.99
US0175,basic,19.99
US0176,pro,29.99
US0177,pro,29.99
US0178,basic,29.99
US0179,pro,19.99
