participant_id,site,tenure_months,arm,engagement_score
P0001,Fairview,10,coaching,78.19
P0002,Fairview,34,coaching,84.37
P0003,Lakeshore,40,coaching,68.13
P0004,Fairview,5,coaching,69.79
P0005,Fairview,3,coaching,72.48
P0006,Lakeshore,29,control,67.33
P0007,Riverside,28,control,62.71
P0008,Fairview,17,control,70.87
P0009,Fairview,34,control,75.18
P0010,Fairview,51,coaching,74.49
P0011,Fairview,31,coaching,61.27
P0012,Riverside,8,control,67.64
P0013,Oakdale,52,control,65.72
P0014,Oakdale,41,coaching,72.03
P0015,Fairview,42,coaching,76.29
P0016,Riverside,32,control,55.39
P0017,Fairview,10,control,48.9
P0018,Oakdale,58,coaching,68.26
P0019,Riverside,51,coaching,73.64
P0020,Fairview,59,coaching,72.73
P0021,Lakeshore,38,coaching,72.92
P0022,Oakdale,15,control,65.72
P0023,Oakdale,22,control,67.1
P0024,Fairview,18,control,61.47
P0025,Riverside,36,control,72.6
P0026,Riverside,48,control,63.86
P0027,Fairview,23,control,74.75
P0028,Lakeshore,21,control,56.9
P0029,Oakdale,30,coaching,92.4
P0030,Fairview,26,coaching,76.19
P0031,Lakeshore,48,coaching,76.26
P0032,Lakeshore,18,control,65.02
P0033,Lakeshore,58,control,73.29
P0034,Riverside,56,control,66.75
P0035,Lakeshore,8,coaching,69.58
P0036,Oakdale,38,coaching,69.27
P0037,Lakeshore,26,control,69.95
P0038,Lakeshore,17,coaching,83.11
P0039,Oakdale,15,control,77.53
P0040,Lakeshore,19,control,64.06
P0041,Riverside,30,control,82.25
P0042,Lakeshore,6,coaching,72.67
P0043,Oakdale,49,coaching,80.2
P0044,Fairview,4,control,71.52
P0045,Oakdale,30,control,62.98
P0046,Oakdale,27,control,71.19
P0047,Riverside,13,control,67.77
P0048,Lakeshore,3,control,65.35
P0049,Lakeshore,36,control,55.38
P0050,Riverside,17,coaching,72.07
P0051,Fairview,44,coaching,59.22
P0052,Fairview,57,coaching,70.8
P0053,Lakeshore,17,coaching,80.79
P0054,Riverside,17,control,64.68
P0055,Oakdale,55,coaching,65.99
P0056,Riverside,38,coaching,74.09
P0057,Lakeshore,4,control,75.93
P0058,Lakeshore,40,control,69.18
P0059,Fairview,5,control,68.29
P0060,Fairview,9,coaching,70.74
P0061,Fairview,57,coaching,74.46
P0062,Fairview,23,coaching,59.16
P0063,Oakdale,36,coaching,97.05
P0064,Fairview,42,coaching,71.79
P0065,Oakdale,7,control,68.4
P0066,Oakdale,35,coaching,80.12
P0067,Fairview,4,control,66.44
P0068,Riverside,10,control,62.76
P0069,Riverside,43,coaching,73.65
P0070,Fairview,12,coaching,80.53
P0071,Oakdale,25,control,57.27
P0072,Lakeshore,28,control,75.79
P0073,Riverside,44,coaching,74.76
P0074,Fairview,23,coaching,59.44
P0075,Oakdale,58,control,60.72
P0076,Oakdale,57,coaching,72.19
P0077,Fairview,53,coaching,79.49
P0078,Oakdale,1,control,72.45
P0079,Oakdale,23,coaching,75.52
P0080,Oakdale,28,control,73.3
P0081,Oakdale,59,control,67.12
P0082,Oakdale,53,control,64.49
P0083,Fairview,7,control,73.61
P0084,Riverside,33,control,74.83
P0085,Fairview,29,coaching,81.65
P0086,Oakdale,43,coaching,62.54
P0087,Lakeshore,53,control,80.53
P0088,Riverside,12,coaching,76.84
P0089,Fairview,2,coaching,66.17
P0090,Lakeshore,20,control,64.45
P0091,Riverside,26,coaching,78.55
P0092,Riverside,44,coaching,70.73
P0093,Oakdale,47,control,68.21
P0094,Lakeshore,21,coaching,76.56
P0095,Fairview,16,control,66.16
P0096,Riverside,27,control,75.57
P0097,Riverside,5,control,70.76
P0098,Riverside,19,control,65.39
P0099,Oakdale,53,coaching,89.88
P0100,Riverside,4,coaching,73.49
P0101,Fairview,52,control,60.93
P0102,Riverside,30,coaching,79.92
P0103,Fairview,53,control,74.89
P0104,Lakeshore,28,coaching,74.56
P0105,Lakeshore,28,coaching,79.92
P0106,Riverside,18,control,63.25
P0107,Lakeshore,36,control,72.39
P0108,Riverside,23,coaching,72.86
P0109,Lakeshore,46,control,57.64
P0110,Lakeshore,4,control,72.94
P0111,Fairview,16,control,67.92
P0112,Fairview,15,control,60.32
P0113,Oakdale,58,coaching,67.29
P0114,Fairview,13,control,70.49
P0115,Fairview,44,control,81.5
P0116,Lakeshore,28,coaching,77.46
P0117,Riverside,46,coaching,64.42
P0118,Riverside,38,coaching,75.25
P0119,Oakdale,29,control,62.24
P0120,Lakeshore,5,control,71.15
P0121,Lakeshore,42,coaching,81.42
P0122,Lakeshore,49,coaching,74.62
P0123,Fairview,8,control,69.16
P0124,Riverside,37,coaching,71.89
P0125,Riverside,20,coaching,69.83
P0126,Riverside,18,control,60.82
P0127,Oakdale,44,coaching,77.15
P0128,Riverside,38,control,60.16
P0129,Oakdale,17,coaching,60.4
P0130,Riverside,37,coaching,94.87
P0131,Oakdale,30,coaching,72.88
P0132,Lakeshore,3,coaching,71.07
P0133,Lakeshore,1,coaching,64.17
P0134,Lakeshore,53,control,61.99
P0135,Riverside,23,coaching,74.46
P0136,Oakdale,4,coaching,74.67
P0137,Lakeshore,26,control,66.95
P0138,Riverside,58,control,77.03
P0139,Lakeshore,4,control,61.47
P0140,Riverside,56,control,69.75
P0141,Lakeshore,48,coaching,79.15
P0142,Oakdale,23,coaching,70.61
P0143,Lakeshore,53,coaching,82.01
P0144,Riverside,15,coaching,71.54
P0145,Fairview,38,coaching,66.34
P0146,Oakdale,41,coaching,65.84
P0147,Fairview,33,control,55.53
P0148,Lakeshore,27,control,65.28
P0149,Oakdale,26,control,59.82
P0150,Fairview,18,coaching,65.12
P0151,Oakdale,27,coaching,79.47
P0152,Lakeshore,2,coaching,68.66
P0153,Oakdale,15,coaching,69.6
P0154,Fairview,35,control,66.55
P0155,Oakdale,24,coaching,78.19
P0156,Oakdale,54,control,59.66
P0157,Riverside,11,coaching,69.07
P0158,Oakdale,55,coaching,78.6
P0159,Lakeshore,39,control,84.14
P0160,Fairview,20,coaching,79.43
P0161,Fairview,48,control,76.21
P0162,Riverside,15,control,63.5
P0163,Fairview,9,control,62.03
P0164,Fairview,44,coaching,71.11
P0165,Oakdale,17,control,69.34
P0166,Lakeshore,30,coaching,69.79
P0167,Oakdale,47,control,59.81
P0168,Riverside,30,control,66.19
P0169,Oakdale,30,coaching,75.51
P0170,Oakdale,53,control,62.16
P0171,Lakeshore,48,coaching,66.09
P0172,Riverside,55,control,59.73
P0173,Fairview,36,control,80.05
P0174,Riverside,6,control,65.26
P0175,Fairview,27,coaching,67.31
P0176,Fairview,58,control,74.98
P0177,Lakeshore,56,control,86.28
P0178,Oakdale,12,coaching,69.11
P0179,Riverside,13,control,55.23
P0180,Fairview,32,coaching,81.02
P0181,Lakeshore,25,coaching,66.98
P0182,Lakeshore,24,coaching,54.91
P0183,Riverside,34,coaching,77.49
P0184,Riverside,3,coaching,79.77
P0185,Fairview,19,coaching,74.58
P0186,Lakeshore,41,coaching,66.58
P0187,Oakdale,15,coaching,79.41
P0188,Oakdale,41,control,75.98
P0189,Oakdale,58,control,73.46
P0190,Lakeshore,26,control,49.73
P0191,Oakdale,56,coaching,80.39
P0192,Riverside,59,control,65.71
P0193,Oakdale,36,coaching,79.16
P0194,Lakeshore,11,coaching,72.15
P0195,Fairview,35,control,85.99
P0196,Riverside,45,control,70.23
P0197,Lakeshore,19,coaching,88.06
P0198,Oakdale,18,control,62.12
P0199,Fairview,54,coaching,62.23
P0200,Oakdale,54,control,69.15
P0201,Riverside,14,control,77.35
P0202,Lakeshore,44,control,54.77
P0203,Lakeshore,17,coaching,52.71
P0204,Riverside,5,coaching,78.01
P0205,Riverside,13,control,74.35
P0206,Fairview,4,control,57.65
P0207,Fairview,10,coaching,83.34
P0208,Riverside,17,control,73.05
P0209,Riverside,7,coaching,63.3
P0210,Fairview,28,control,63.43
P0211,Lakeshore,1,control,75.07
P0212,Lakeshore,22,control,77.88
P0213,Fairview,6,coaching,85.7
P0214,Fairview,59,control,75.83
P0215,Fairview,12,coaching,77.63
P0216,Lakeshore,46,control,58.81
P0217,Fairview,56,control,63.16
P0218,Fairview,31,coaching,73.51
P0219,Riverside,26,control,63.53
P0220,Riverside,6,control,67.34
P0221,Oakdale,36,coaching,73.66
P0222,Lakeshore,47,control,68.26
P0223,Lakeshore,33,control,70.21
P0224,Oakdale,50,control,67.2
P0225,Fairview,57,control,73.02
P0226,Riverside,18,control,66.76
P0227,Riverside,54,control,88.04
P0228,Fairview,1,control,83.65
P0229,Riverside,51,coaching,71.14
P0230,Riverside,32,coaching,66.63
P0231,Lakeshore,7,control,69.89
P0232,Riverside,17,control,73.06
P0233,Fairview,43,control,59.32
P0234,Lakeshore,14,coaching,74.0
P0235,Lakeshore,56,coaching,76.83
P0236,Lakeshore,49,control,73.55
P0237,Fairview,8,coaching,67.71
P0238,Oakdale,37,coaching,77.64
P0239,Lakeshore,55,control,78.34
P0240,Oakdale,6,coaching,75.8
P0241,Fairview,37,coaching,74.18
