order_id,store_id,category_raw,revenue
O0000,ST02,Lighting,235.32
O0001,ST10,Outdoor & Patio,427.01
O0002,ST07,Furniture,238.03
O0003,ST06,Lighting,217.44
O0004,ST08,Lighting,54.13
O0005,ST11,Decor,484.04
O0006,ST08,Decor,176.48
O0007,ST11,Furniture,218.99
O0008,ST07,Furniture,347.72
O0009,ST06,Lighting,374.98
O0010,ST01,Furniture,299.92
O0011,ST10,Outdoor & Patio,228.11
O0012,ST05,Rugs,150.55
O0013,ST02,Rugs,116.26
O0014,ST01,Decor,102.86
O0015,ST09,Decor,230.88
O0016,ST09,Rugs,774.51
O0017,ST07,Rugs,438.07
O0018,ST08,Lighting,161.54
O0019,ST07,Outdoor & Patio,195.25
O0020,ST02,Furniture,243.89
O0021,ST02,Furniture,332.56
O0022,ST04,Lighting,210.52
O0023,ST11,Rugs,230.41
O0024,ST11,Lighting,203.33
O0025,ST06,Lighting,113.59
O0026,ST06,Furniture,615.89
O0027,ST02,Furniture,145.03
O0028,ST03,Lighting,256.39
O0029,ST03,Furniture,117.49
O0030,ST06,Furniture,186.85
O0031,ST04,Outdoor & Patio,55.67
O0032,ST03,Furniture,523.86
O0033,ST07,Furniture,85.38
O0034,ST00,Decor,455.04
O0035,ST10,Rugs,150.95
O0036,ST10,Outdoor & Patio,198.0
O0037,ST11,Decor,140.82
O0038,ST00,Lighting,212.87
O0039,ST05,Outdoor & Patio,138.36
O0040,ST11,Furniture,245.91
O0041,ST06,Furniture,251.8
O0042,ST06,Decor,363.22
O0043,ST00,Furniture,190.39
O0044,ST02,Lighting,212.05
O0045,ST08,Rugs,247.47
O0046,ST07,Furniture,315.18
O0047,ST08,Lighting,92.13
O0048,ST10,Furniture,418.53
O0049,ST02,Decor,125.92
O0050,ST07,Lighting,198.88
O0051,ST11,Lighting,496.04
O0052,ST00,Furniture,191.42
O0053,ST06,Decor,125.67
O0054,ST06,Outdoor & Patio,194.79
O0055,ST08,Decor,178.55
O0056,ST04,Decor,300.89
O0057,ST01,Rugs,767.0
O0058,ST10,Rugs,338.72
O0059,ST11,Furniture,147.84
O0060,ST09,Lighting,115.26
O0061,ST07,Outdoor & Patio,472.71
O0062,ST03,Lighting,347.73
O0063,ST01,Outdoor & Patio,199.46
O0064,ST09,Rugs,419.16
O0065,ST01,Decor,441.91
O0066,ST02,Decor,245.33
O0067,ST10,Furniture,122.17
O0068,ST00,Decor,203.58
O0069,ST09,Lighting,362.36
O0070,ST03,Lighting,168.57
O0071,ST07,Lighting,86.69
O0072,ST05,Lighting,120.83
O0073,ST02,Furniture,108.51
O0074,ST10,Lighting,362.75
O0075,ST07,Outdoor & Patio,143.33
O0076,ST04,Outdoor & Patio,127.58
O0077,ST09,Decor,448.13
O0078,ST04,Lighting,370.56
O0079,ST03,Furniture,357.84
O0080,ST11,Decor,443.82
O0081,ST04,Decor,462.11
O0082,ST06,Lighting,197.21
O0083,ST06,Furniture,264.27
O0084,ST01,Decor,118.63
O0085,ST02,Furniture,161.44
O0086,ST03,Rugs,381.38
O0087,ST01,Decor,66.99
O0088,ST02,Outdoor & Patio,209.09
O0089,ST11,Lighting,213.05
O0090,ST09,Rugs,279.91
O0091,ST06,Outdoor & Patio,249.44
O0092,ST00,Rugs,100.02
O0093,ST11,Furniture,238.89
O0094,ST09,Rugs,306.29
O0095,ST06,Decor,225.21
O0096,ST00,Furniture,120.67
O0097,ST11,Furniture,258.51
O0098,ST00,Lighting,210.75
O0099,ST09,Lighting,212.6
O0100,ST06,Decor,492.27
O0101,ST04,Lighting,394.24
O0102,ST03,Furniture,158.31
O0103,ST11,Furniture,71.27
O0104,ST08,Decor,219.84
O0105,ST06,Decor,100.61
O0106,ST05,Lighting,202.55
O0107,ST04,Lighting,368.19
O0108,ST10,Lighting,230.0
O0109,ST04,Outdoor & Patio,206.68
O0110,ST04,Furniture,136.95
O0111,ST03,Furniture,347.93
O0112,ST08,Decor,297.61
O0113,ST05,Outdoor & Patio,394.52
O0114,ST05,Rugs,271.88
O0115,ST06,Rugs,297.66
O0116,ST02,Rugs,92.96
O0117,ST03,Furniture,312.82
O0118,ST01,Rugs,272.03
O0119,ST11,Decor,193.72
O0120,ST01,Decor,156.3
O0121,ST03,Outdoor & Patio,551.83
O0122,ST04,Decor,365.12
O0123,ST04,Decor,182.1
O0124,ST00,Furniture,314.32
O0125,ST09,Decor,509.42
O0126,ST09,Lighting,188.39
O0127,ST04,Lighting,424.76
O0128,ST02,Lighting,176.0
O0129,ST00,Rugs,184.92
O0130,ST02,Furniture,162.99
O0131,ST03,Furniture,147.6
