tx_id,month,amount
TX020026,2026-03,230.39
TX030093,2026-04,62.31
TX050039,2026-06,610.82
TX020017,2026-03,125.32
TX020085,2026-03,151.39
TX040066,2026-05,221.23
TX000038,2026-01,110.57
TX050001,2026-06,409.35
TX040069,2026-05,205.57
TX040002,2026-05,346.43
TX020096,2026-03,123.33
TX020003,2026-03,292.93
TX020110,2026-03,254.85
TX020075,2026-03,550.19
TX010055,2026-02,92.53
TX050083,2026-06,129.22
TX050025,2026-06,343.66
TX000078,2026-01,487.76
TX010031,2026-02,207.6
TX020051,2026-03,249.55
TX050034,2026-06,447.27
TX030032,2026-04,165.94
TX040008,2026-05,411.71
TX050084,2026-06,85.97
TX050033,2026-06,141.44
TX020038,2026-03,178.95
TX000036,2026-01,199.56
TX020027,2026-03,96.48
TX030062,2026-04,300.71
TX000043,2026-01,183.41
TX050011,2026-06,145.35
TX020015,2026-03,301.25
TX020107,2026-03,295.03
TX010000,2026-02,152.66
TX030102,2026-04,346.59
TX010077,2026-02,393.0
TX030033,2026-04,512.85
TX030070,2026-04,156.62
TX020048,2026-03,293.47
TX010052,2026-02,44.94
TX030082,2026-04,118.17
TX020098,2026-03,162.54
TX050040,2026-06,131.37
TX020095,2026-03,76.26
TX030074,2026-04,114.22
TX030000,2026-04,216.03
TX020066,2026-03,373.95
TX050013,2026-06,321.16
TX030067,2026-04,112.86
TX030088,2026-04,454.87
TX040012,2026-05,226.74
TX000071,2026-01,86.19
TX020035,2026-03,477.05
TX050015,2026-06,230.02
TX020050,2026-03,103.51
TX010083,2026-02,312.34
TX030009,2026-04,305.54
TX020047,2026-03,292.44
TX000061,2026-01,259.68
TX000049,2026-01,214.88
TX020094,2026-03,109.03
TX000050,2026-01,335.29
TX020042,2026-03,167.13
TX020041,2026-03,240.2
TX020110,2026-03,254.85
TX020033,2026-03,248.38
TX020101,2026-03,156.55
TX020056,2026-03,231.31
TX030101,2026-04,177.81
TX020060,2026-03,116.72
TX020085,2026-03,151.39
TX020097,2026-03,388.02
TX000067,2026-01,102.55
TX020021,2026-03,299.7
TX040078,2026-05,193.01
TX030035,2026-04,173.64
TX040019,2026-05,254.19
TX020109,2026-03,156.01
TX030008,2026-04,206.32
TX030064,2026-04,139.94
TX000035,2026-01,244.33
TX020046,2026-03,345.43
TX050053,2026-06,404.49
TX020036,2026-03,278.79
TX040063,2026-05,177.92
TX020105,2026-03,113.59
TX010063,2026-02,146.29
TX020069,2026-03,320.88
TX030018,2026-04,130.38
TX010051,2026-02,173.72
TX010057,2026-02,96.33
TX010025,2026-02,337.64
TX020051,2026-03,249.55
TX040057,2026-05,132.32
TX050061,2026-06,249.58
TX030005,2026-04,203.6
TX040047,2026-05,182.09
TX020062,2026-03,235.52
TX000076,2026-01,172.37
TX000046,2026-01,493.28
TX020081,2026-03,575.42
TX020068,2026-03,328.48
TX020043,2026-03,125.01
TX020074,2026-03,145.07
TX000045,2026-01,353.61
TX000003,2026-01,322.1
TX050038,2026-06,351.84
TX010071,2026-02,349.18
TX020083,2026-03,225.33
TX030079,2026-04,394.54
TX010049,2026-02,190.36
TX020060,2026-03,116.72
TX020005,2026-03,151.65
TX040023,2026-05,370.53
TX020087,2026-03,39.28
TX010034,2026-02,150.7
TX040048,2026-05,314.85
TX040011,2026-05,192.91
TX010005,2026-02,138.87
TX010032,2026-02,188.71
TX030016,2026-04,221.76
TX000064,2026-01,223.81
TX030055,2026-04,297.98
TX020111,2026-03,151.22
TX040045,2026-05,288.18
TX040029,2026-05,488.98
TX020028,2026-03,63.51
TX010006,2026-02,126.91
TX020064,2026-03,273.84
TX010079,2026-02,184.11
TX010040,2026-02,241.13
TX000033,2026-01,24.81
TX020062,2026-03,235.52
TX020084,2026-03,305.06
TX050037,2026-06,278.66
TX030001,2026-04,332.07
TX030069,2026-04,303.23
TX010003,2026-02,467.4
TX010080,2026-02,125.36
TX050070,2026-06,144.16
TX020019,2026-03,150.2
TX020006,2026-03,227.2
TX030027,2026-04,273.92
TX010035,2026-02,203.57
TX010028,2026-02,365.16
TX010020,2026-02,271.37
TX050075,2026-06,245.71
TX020052,2026-03,347.28
TX020074,2026-03,145.07
TX020007,2026-03,169.11
TX020012,2026-03,383.87
TX050074,2026-06,224.73
TX040039,2026-05,414.8
TX000016,2026-01,65.81
TX050045,2026-06,342.63
TX010009,2026-02,158.59
TX010033,2026-02,286.72
TX050067,2026-06,196.52
TX010030,2026-02,321.75
TX020061,2026-03,433.64
